date,open,high,low,close,volume
2024-03-04,15.7,16.15,14.81,14.81,65053048.0
2024-03-05,14.75,14.7657,14.29,14.67,43648031.0
2024-03-06,14.8,14.98,14.62,14.88,31408713.0
2024-03-07,14.85,15,14.81,14.9,23657347.0
2024-03-08,14.94,15.1482,14.66,14.68,28464450.0
2024-03-11,14.6,14.67,14.42,14.65,23617157.0
2024-03-12,14.19,14.38,13.8,13.96,48594880.0
2024-03-13,13.92,14.18,13.86,14,26375204.0
2024-03-14,13.96,14.03,13.78,13.99,24683836.0
2024-03-15,13.96,14.16,13.88,13.96,21113998.0
2024-03-18,13.98,14.17,13.86,14.11,23693799.0
2024-03-19,14.08,14.11,13.9,13.93,19305788.0
2024-03-20,13.96,14.58,13.92,14.57,33974564.0
2024-03-21,14.62,14.815,14.6,14.78,25527556.0
2024-03-22,14.71,14.88,14.645,14.82,16151685.0
2024-03-25,14.69,14.93,14.6299,14.92,21392361.0
2024-03-26,14.99,15.12,14.9,14.92,20898511.0
2024-03-27,15,15.3,14.9,15.3,24789339.0
2024-03-28,15.28,15.495,15.125,15.35,36396038.0
2024-04-01,15.42,15.61,15.3205,15.41,23249621.0
2024-04-02,15.062,15.11,14.36,14.4,34155377.0
2024-04-03,14.3,14.479,14.05,14.16,33357729.0
2024-04-04,14.24,14.35,13.76,13.83,47483608.0
2024-04-05,13.83,13.94,13.7,13.76,30632132.0
2024-04-08,13.82,14.08,13.74,13.9,28511013.0
2024-04-09,13.96,14.065,13.88,13.95,27841944.0
2024-04-10,14.01,14.145,13.3,13.41,49024127.0
2024-04-11,13.44,13.72,13.304,13.62,27814215.0
2024-04-12,13.24,13.2988,13.02,13.15,35571097.0
2024-04-15,13.28,13.47,12.9,12.94,27370907.0
2024-04-16,12.945,13.14,12.72,13.03,26251580.0
2024-04-17,13.45,13.97,13.38,13.89,52276289.0
2024-04-18,14.04,14.34,13.96,14.02,34861998.0
2024-04-19,13.88,14.275,13.86,14.11,27280344.0
2024-04-22,14.28,14.68,14.18,14.53,27730974.0
2024-04-23,13.962,14.4399,13.88,14.23,40197761.0
2024-04-24,14.22,14.33,13.82,13.92,40827926.0
