date,open,high,low,close,volume
2024-03-01,10.94,11.1899,10.5381,10.73,22696
2024-03-04,10.7,11.15,10.6701,10.75,1019
2024-03-05,10.74,10.8975,10.52,10.52,4189
2024-03-06,10.7,10.7261,10.52,10.52,736
2024-03-07,10.65,10.65,10.37,10.37,3834
2024-03-08,10.35,10.35,10.0101,10.33,3905
2024-03-11,10.42,10.7,10.42,10.52,7508
2024-03-12,10.0699,10.5,10.0699,10.31,6261
2024-03-13,10.7018,10.7018,10.55,10.55,3444
2024-03-14,10.7311,10.7311,10.55,10.55,512
2024-03-15,10.5,10.75,10.45,10.75,24055
2024-03-18,10.5974,10.5974,10.4,10.4,2621
2024-03-19,10.37,10.6,10.37,10.6,2956
2024-03-20,10.505,10.68,10.16,10.68,5160
2024-03-21,10.8745,10.8745,10.1801,10.55,5546
2024-03-22,10.42,10.7199,10.1463,10.48,2597
2024-03-25,10.45,10.45,10.45,10.45,1223
2024-03-26,10.44,10.5,10.32,10.5,2421
2024-03-27,10.31,10.59,10.2,10.51,3787
2024-03-28,10.5,10.5,10.0229,10.19,10496
2024-04-01,10.19,10.85,10.19,10.42,23307
2024-04-02,10.5,10.9,10.5,10.9,8325
2024-04-03,10.88,10.885,10.45,10.54,7331
2024-04-04,10.74,10.92,10.74,10.83,1432
2024-04-05,10.74,10.89,10.4601,10.89,5104
2024-04-08,10.78,10.92,10.4,10.76,6255
2024-04-09,10.8,10.8422,10.66,10.7,3565
2024-04-10,10.69,10.9,10.39,10.65,6846
2024-04-11,10.5101,10.68,10.5101,10.68,762
2024-04-12,10.6,10.6,10.35,10.46,2942
2024-04-15,10.4475,10.498,10.3,10.3,4480
2024-04-16,10.31,10.31,10.04,10.04,2498
2024-04-17,10.07,10.32,9.67,9.67,5352
2024-04-18,10.08,10.08,9.5941,9.85,10036
2024-04-19,9.99,9.99,9.99,9.99,578
2024-04-22,10,10.2146,9.6078,9.8,5970
2024-04-23,10.49,10.49,9.95,10.37,4037
2024-04-24,10.49,10.49,10.15,10.22,3091
2024-04-25,10.39,10.39,9.7456,10.37,7595
2024-04-26,10.11,10.39,10,10.39,2279
2024-04-29,10.06,10.4,10.06,10.4,7982
2024-04-30,9.83,10.2942,9.83,10.235,1481
2024-05-01,10.035,10.15,9.865,10.15,3233
2024-05-02,10.19,10.25,10.19,10.25,4521
2024-05-03,10.24,10.3,10.1,10.1,1282
2024-05-06,10.2027,10.35,10.05,10.05,5725
2024-05-07,10.11,10.3381,9.77,9.77,11754
2024-05-08,9.98,10.18,9.7813,10.18,8786
2024-05-09,10.15,10.15,9.9,10.15,5831
2024-05-10,9.95,10.3221,9.652,10.2364,26562
2024-05-13,10.3,10.4,10.29,10.32,13464
2024-05-14,10,10.22,10,10.16,5153
2024-05-15,10.4999,10.4999,10.2999,10.34,3580
2024-05-16,10.1149,10.4,10.02,10.31,12412
2024-05-17,10.22,10.3425,9.99,10.09,14572
2024-05-20,10.08,10.11,10.01,10.01,2346
2024-05-21,10.2933,10.39,10.0044,10.1,10683
2024-05-22,10.1432,10.3899,9.8854,10.25,4627
