date,open,high,low,close,volume
2024-03-01,5.38,5.565,5.315,5.52,3588475.0
2024-03-04,5.59,5.805,5.52,5.72,2589078.0
2024-03-05,5.7,5.82,5.685,5.8,2253637.0
2024-03-06,5.84,6.19,5.705,6.12,7943594.0
2024-03-07,6.18,6.41,6.095,6.16,6994985.0
2024-03-08,6.21,6.415,6.21,6.34,3093435.0
2024-03-11,6.34,6.34,6.1,6.18,3029575.0
2024-03-12,6.19,6.36,6.12,6.22,2497964.0
2024-03-13,6.23,6.27,6.13,6.26,2521921.0
2024-03-14,6.2,6.25,6.01,6.02,3001858.0
2024-03-15,5.98,6.08,5.89,5.99,3750695.0
2024-03-18,6.03,6.045,5.92,5.94,2879108.0
2024-03-19,5.94,6.19,5.88,6.19,2474665.0
2024-03-20,6.15,6.33,6.09,6.32,1858968.0
2024-03-21,6.29,6.44,6.15,6.19,3055993.0
2024-03-22,6.26,6.47,6.22,6.29,2862017.0
2024-03-25,6.31,6.51,6.29,6.39,2175297.0
2024-03-26,6.49,6.6185,6.48,6.5,2302658.0
2024-03-27,6.57,6.75,6.5,6.74,2842023.0
2024-03-28,6.74,6.76,6.51,6.6,5256275.0
2024-04-01,6.61,6.66,6.47,6.54,1901908.0
2024-04-02,6.5,6.51,6.365,6.44,2454993.0
2024-04-03,6.44,6.45,6.29,6.35,1916810.0
2024-04-04,6.4,6.45,6.27,6.28,1713668.0
2024-04-05,6.28,6.49,6.2,6.39,2387873.0
2024-04-08,6.38,6.39,6.16,6.22,1909777.0
2024-04-09,6.21,6.26,6.05,6.11,2206086.0
2024-04-10,6.04,6.09,5.895,6.04,2539259.0
2024-04-11,6.07,6.23,6.045,6.22,1505632.0
2024-04-12,6.225,6.225,5.98,6.02,1480260.0
2024-04-15,6.03,6.21,5.94,5.98,1805514.0
2024-04-16,5.92,6.245,5.91,6.16,1717389.0
2024-04-17,6.18,6.22,5.97,6.04,1629963.0
2024-04-18,6.03,6.21,6.01,6.2,2935796.0
2024-04-19,6.1999,6.29,6.1,6.27,3362707.0
2024-04-22,6.3,6.475,6.19,6.2,2257691.0
2024-04-23,6.23,6.63,6.23,6.54,2742017.0
2024-04-24,6.54,6.55,6.4201,6.46,1680019.0
2024-04-25,6.41,6.485,6.26,6.44,1472722.0
2024-04-26,6.47,6.6,6.4,6.55,1541513.0
2024-04-29,6.59,6.64,6.49,6.58,1086769.0
2024-04-30,6.51,6.68,6.5,6.52,2241683.0
2024-05-01,6.55,6.75,6.52,6.67,2810057.0
2024-05-02,6.71,6.75,6.6,6.74,1504750.0
2024-05-03,6.78,6.81,6.65,6.81,2904313.0
2024-05-06,6.9,6.94,6.76,6.91,2183424.0
2024-05-07,6.93,6.97,6.86,6.91,1940819.0
2024-05-08,6.9,6.91,6.72,6.86,2373586.0
2024-05-09,6.93,6.97,6.84,6.93,2952650.0
2024-05-10,8.2,9.02,7.96,8.81,11677108.0
2024-05-13,8.8,8.91,8.4233,8.79,5210481.0
2024-05-14,8.75,9.17,8.75,9.16,3755843.0
2024-05-15,9.27,9.33,9.05,9.1,3116972.0
2024-05-16,9.11,9.1567,8.97,9.06,2046859.0
2024-05-17,9.07,9.31,8.91,9.21,3611293.0
2024-05-20,9.23,9.59,9.22,9.41,4163196.0
2024-05-21,9.41,9.62,9.3101,9.6,3107957.0
2024-05-22,9.61,9.775,9.5,9.63,1889566.0
2024-05-23,9.65,9.76,9.425,9.47,2592130.0
2024-05-24,9.55,9.74,9.435,9.56,2301824.0
2024-05-28,9.62,9.73,9.49,9.51,2590004.0
2024-05-29,9.38,9.56,9.35,9.4,2774609.0
2024-05-30,9.4698,9.66,9.42,9.48,2810412.0
2024-05-31,9.52,9.64,9.4,9.55,2260494.0
2024-06-03,9.64,10,9.63,9.81,4461517.0
2024-06-04,9.87,10.15,9.815,10.09,4597337.0
2024-06-05,10.18,10.54,10.06,10.49,2897514.0
2024-06-06,10.64,10.855,10.52,10.58,2749136.0
2024-06-07,10.51,10.6001,10.39,10.47,1700485.0
2024-06-10,10.32,10.49,10.075,10.48,2433817.0
2024-06-11,10.42,10.55,10.28,10.5,2024985.0
2024-06-12,10.75,10.85,10.66,10.78,2320992.0
2024-06-13,10.75,10.84,10.57,10.78,1842312.0
2024-06-14,10.67,10.75,10.495,10.63,2271630.0
