date,open,high,low,close,volume
2024-03-01,6.303,6.657,6.15,6.6,27842.9667
2024-03-04,6.6,6.882,5.85,6.288,30808.1667
2024-03-05,6.3,6.501,5.703,5.751,31917.0667
2024-03-06,6.15,7.194,5.7,6.513,38174.4333
2024-03-07,6.291,6.636,6.09,6.465,15784.9
2024-03-08,6.561,7.014,6.321,6.681,19917.2333
2024-03-11,7.02,7.125,6.3,6.693,32819.7667
2024-03-12,6.72,6.72,6.342,6.429,15177.3333
2024-03-13,6.3,6.525,5.853,5.865,18269.3
2024-03-14,5.73,5.997,5.19,5.325,34174.7667
2024-03-15,5.565,5.727,5.433,5.433,20681.7667
2024-03-18,5.7,5.7,5.172,5.238,10029.3
2024-03-19,5.1,5.7,4.965,5.379,21500.9
2024-03-20,5.418,5.7,5.163,5.34,19577.2333
2024-03-21,5.7,5.7,5.319,5.391,15112.3667
2024-03-22,5.37,5.547,5.19,5.4,20633.7
2024-03-25,5.187,5.7,5.187,5.52,14544.9667
2024-03-26,5.547,5.58,5.25,5.334,11289.6333
2024-03-27,5.406,5.835,5.187,5.562,57721.4
2024-03-28,5.43,5.7,5.334,5.4,21201.1333
2024-04-01,5.7,5.7,5.34,5.343,26612.3667
2024-04-02,5.394,5.526,5.1,5.25,17298.8333
2024-04-03,5.091,5.19,5.01,5.016,14953.1333
2024-04-04,5.16,5.5797,5.16,5.52,42620.5333
2024-04-05,5.688,5.73,5.451,5.697,19770.4333
2024-04-08,6.09,6.09,5.403,5.61,10115.1667
2024-04-09,5.76,5.76,5.283,5.394,12797.4667
2024-04-10,5.448,5.694,5.253,5.298,15008.1333
2024-04-11,5.25,5.427,5.067,5.067,15883.1667
2024-04-12,5.34,5.34,4.77,4.95,28600.2667
2024-04-15,5.34,5.34,4.8525,4.89,11188.7667
2024-04-16,4.875,5.214,4.806,4.89,9697
2024-04-17,4.95,5.31,4.95,5.127,22362.6333
2024-04-18,5.1,5.454,4.83,5.34,10716.6
2024-04-19,4.95,5.34,4.848,4.992,13407.8333
2024-04-22,4.98,5.28,4.83,4.95,13155.1
2024-04-23,5.079,5.136,4.878,5.1,11380.8
2024-04-24,5.1,5.193,4.83,4.98,4830.6667
2024-04-25,4.8,5.01,4.8,4.914,12395.4333
2024-04-26,4.914,4.914,4.5,4.548,30380.9
2024-04-29,4.74,4.761,4.236,4.428,30136.7333
2024-04-30,4.335,4.38,3.6,3.741,44024.2
2024-05-01,3.639,3.99,3.639,3.864,21334.5
2024-05-02,3.99,3.99,3.33,3.45,55915.8
2024-05-03,3.63,3.63,3.126,3.213,48794.2
2024-05-06,3.3,3.42,3.06,3.099,48033.4333
2024-05-07,3.228,3.228,3.105,3.105,30427.8667
2024-05-08,3.27,3.27,3.117,3.123,39331.2333
2024-05-09,3.21,3.546,3.15,3.384,64470.5
2024-05-10,3.294,3.333,3.18,3.219,26537.1
2024-05-13,3.3,3.3,3.03,3.105,50117.2
2024-05-14,3.02,3.41,2.77,3.36,283949
2024-05-15,3.38,3.45,2.93,3.08,98441
2024-05-16,3.14,3.36,3,3.35,65571
2024-05-17,3.46,3.46,3.1673,3.25,45646
2024-05-20,3.2,3.3,3.05,3.06,34506
2024-05-21,3.06,3.128,3,3.09,24255
2024-05-22,3.08,3.84,3.06,3.46,166164
2024-05-23,3.45,3.495,3.15,3.15,43861
2024-05-24,3.21,3.5299,3.18,3.33,23589
2024-05-28,3.35,3.8485,3.3,3.72,48380
2024-05-29,3.61,4.13,3.5814,3.87,95085
2024-05-30,3.71,3.93,3.7,3.88,44449
2024-05-31,3.9,3.99,3.14,3.59,48524
2024-06-03,3.52,3.5606,3.3101,3.39,19180
2024-06-04,3.6,3.6,3.28,3.35,15255
2024-06-05,3.35,3.46,3.19,3.26,14520
2024-06-06,3.23,3.27,3.0701,3.23,22034
2024-06-07,3.24,3.36,3.23,3.36,12888
2024-06-10,3.43,3.52,3.32,3.52,11610
2024-06-11,3.555,3.6,3.337,3.58,13828
2024-06-12,3.6,3.67,3.43,3.65,23579
2024-06-13,3.6,3.93,3.6,3.89,24762
2024-06-14,3.95,3.97,3.71,3.78,12427
2024-06-17,3.75,3.75,3.3,3.35,23321
2024-06-18,3.34,3.39,3.2,3.27,16403
2024-06-20,3.26,3.49,3.26,3.38,25842
2024-06-21,3.39,3.39,2.95,2.95,42038
2024-06-24,3,3.28,2.7027,2.85,30344
2024-06-25,2.92,3.1,2.75,2.81,33169
2024-06-26,2.795,2.88,2.71,2.75,19864
2024-06-27,2.72,3.13,2.72,3.12,13927
2024-06-28,3.182,3.182,3.01,3.05,14516
2024-07-01,3.09,3.25,3.02,3.02,6276
2024-07-02,2.97,3.1,2.97,3.08,5497
2024-07-03,3.09,3.4704,2.99,3.31,30043
