date,open,high,low,close,volume
2024-03-01,5.63,5.84,5.425,5.81,1443208.0
2024-03-04,5.84,6.15,5.75,6.05,1038595.0
2024-03-05,5.98,6.185,5.755,6.01,817351
2024-03-06,6.09,6.285,6,6.2,491128
2024-03-07,6.24,6.3501,6.165,6.31,629993
2024-03-08,6.36,6.485,6.1,6.11,549666
2024-03-11,6.06,6.18,6.04,6.08,463140
2024-03-12,6.1,6.17,5.87,5.89,578882
2024-03-13,5.84,5.85,5.54,5.55,963005
2024-03-14,5.5,5.62,5.35,5.44,954846
2024-03-15,5.45,5.61,5.425,5.57,1918671.0
2024-03-18,5.47,5.58,5.32,5.33,1157276.0
2024-03-19,5.3,5.42,5.21,5.41,913219
2024-03-20,5.37,5.47,5.255,5.45,694435
2024-03-21,5.5,5.58,5.41,5.46,772717
2024-03-22,5.46,5.48,5.265,5.33,622073
2024-03-25,5.32,5.38,5.245,5.31,480245
2024-03-26,5.35,5.35,5.19,5.2,595761
2024-03-27,5.28,5.35,5.25,5.32,465326
2024-03-28,5.32,5.49,5.32,5.44,662621
2024-04-01,5.47,5.695,5.4,5.5,610197
2024-04-02,5.45,5.46,5.2,5.22,633815
2024-04-03,5.22,5.35,5.145,5.34,591695
2024-04-04,5.38,5.555,5.12,5.13,815619
2024-04-05,5.12,5.1496,5.02,5.03,678748
2024-04-08,5.08,5.0902,4.985,5.05,652860
2024-04-09,5.08,5.255,5.05,5.13,643993
2024-04-10,5,5.05,4.855,4.94,995762
2024-04-11,4.95,5.03,4.875,4.95,583308
2024-04-12,4.91,4.93,4.7,4.72,800139
2024-04-15,4.74,4.82,4.61,4.68,1091874.0
2024-04-16,4.62,4.73,4.61,4.63,720000
2024-04-17,4.65,4.82,4.6362,4.65,574627
2024-04-18,4.63,4.79,4.595,4.73,505212
2024-04-19,4.69,4.82,4.64,4.69,646111
2024-04-22,4.7,4.77,4.68,4.74,433847
2024-04-23,4.71,4.855,4.671,4.78,559569
2024-04-24,4.75,4.81,4.705,4.75,472098
2024-04-25,4.72,4.72,4.53,4.57,460220
2024-04-26,4.6,4.6,4.425,4.43,522930
2024-04-29,4.46,4.59,4.46,4.54,421311
2024-04-30,4.47,4.5,4.35,4.38,593198
