date,open,high,low,close,volume
2024-03-01,1.66,1.75,1.55,1.69,23324
2024-03-04,1.67,1.67,1.23,1.47,36955
2024-03-05,1.47,1.51,1.26,1.29,38655
2024-03-06,1.22,1.3,1.17,1.28,26917
2024-03-07,1.1816,1.94,1.1816,1.46,34754
2024-03-08,1.4157,1.8,1.4157,1.67,105260
2024-03-11,1.72,1.72,1.59,1.66,6273
2024-03-12,1.68,1.87,1.4183,1.5,47351
2024-03-13,1.54,1.77,1.46,1.47,5302
2024-03-14,1.54,1.6329,1.44,1.59,14331
2024-03-15,1.59,1.6,1.45,1.56,3566
2024-03-18,1.48,1.5999,1.48,1.54,10084
2024-03-19,1.4903,1.8,1.46,1.75,13467
2024-03-20,1.75,1.805,1.74,1.74,5568
2024-03-21,1.73,1.8571,1.645,1.67,54041
2024-03-22,1.67,1.85,1.66,1.83,17514
2024-03-25,1.81,1.89,1.64,1.83,18063
2024-03-26,1.8,2.22,1.8,2.06,26125
2024-03-27,1.96,2.25,1.96,2.14,29613
2024-03-28,2.2,2.24,2.0188,2.14,19005
2024-04-01,2.16,2.16,1.9601,2.075,5659
2024-04-02,2.02,2.08,1.84,2.02,16806
2024-04-03,1.98,2.05,1.9,2.05,9174
2024-04-04,2.11,2.1499,1.96,2,14457
2024-04-05,1.99,2.07,1.98,2.01,18343
2024-04-08,2.09,2.09,1.92,2.005,3008
2024-04-09,2.09,2.12,1.96,1.96,5151
2024-04-10,1.8125,2.19,1.7,2.19,16091
2024-04-11,2.19,2.19,2.05,2.15,7415
2024-04-12,1.97,2.18,1.97,2.17,5617
2024-04-15,1.99,2.16,1.95,2.09,16414
2024-04-16,2.2,2.24,2,2.13,13924
2024-04-17,2.05,2.15,1.96,2.12,9340
2024-04-18,2.06,2.16,2.06,2.14,1483
2024-04-19,2.16,2.16,2.0001,2.14,4252
2024-04-22,2.14,2.14,2.04,2.13,2032
2024-04-23,2.0568,2.13,2.0568,2.13,8260
2024-04-24,2.0001,2.13,2.0001,2.13,4690
2024-04-25,2.08,2.18,1.81,2,21566
2024-04-26,2.045,2.08,2,2.05,3137
2024-04-29,2.15,2.1684,2.0101,2.08,8016
2024-04-30,2,2.09,1.95,2,5999
2024-05-01,2.07,2.07,1.97,2.05,20901
2024-05-02,1.96,2.05,1.86,2.03,4528
2024-05-03,2.0006,2.0499,2,2,1287
2024-05-06,2.0199,2.1,1.915,1.9999,15858
2024-05-07,1.92,2.25,1.92,2.15,27021
2024-05-08,2.25,2.7178,2.17,2.5,49682
2024-05-09,2.5,2.8499,2.31,2.75,136538
