date,open,high,low,close,volume
2024-03-01,2.48,2.48,2.3801,2.45,4306
2024-03-04,2.39,2.52,2.39,2.46,2784
2024-03-05,2.4001,2.4001,2.37,2.37,2972
2024-03-06,2.37,2.39,2.23,2.3,3633
2024-03-07,2.2,2.35,2.17,2.26,25359
2024-03-08,2.2,2.25,2.17,2.25,14889
2024-03-11,2.2,2.2,2.17,2.17,40797
2024-03-12,2.17,2.2,2.17,2.2,40001
2024-03-13,2.2,2.4089,2.1589,2.3699,31279
2024-03-14,2.3,2.41,2.25,2.25,7485
2024-03-15,2.22,2.35,2.22,2.27,3402
2024-03-18,2.2662,2.3612,2.17,2.17,24251
2024-03-19,2.17,2.23,2.17,2.19,4927
2024-03-20,2.19,2.44,2.19,2.41,34024
2024-03-21,2.39,2.52,2.39,2.49,44215
2024-03-22,2.49,2.49,2.4,2.46,5864
2024-03-25,2.48,2.488,2.405,2.46,6571
2024-03-26,2.5,2.6,2.39,2.45,19526
2024-03-27,2.495,2.5999,2.46,2.55,24899
2024-03-28,2.52,2.58,2.52,2.57,2227
2024-04-01,2.59,2.59,2.41,2.515,23498
2024-04-02,2.37,2.43,2.29,2.37,2168
2024-04-03,2.41,2.4101,2.27,2.28,6972
2024-04-04,2.25,2.375,2.17,2.18,7883
2024-04-05,2.37,2.37,2.15,2.29,13804
2024-04-08,2.2,2.32,2.2,2.21,6177
2024-04-09,2.1,2.59,2.02,2.17,72945
2024-04-10,2.07,2.32,2.06,2.25,22327
2024-04-11,2.28,2.33,2.1,2.21,11452
2024-04-12,2.15,2.3117,2.11,2.12,32843
2024-04-15,2.185,2.185,2.11,2.11,511
2024-04-16,2.2,2.2,2.11,2.11,2430
2024-04-17,2.12,2.2,2.09,2.2,39238
2024-04-18,2.2,2.2,2.19,2.19,1210
2024-04-19,2.18,2.19,2.1,2.11,1409
2024-04-22,2.13,2.265,2.1,2.265,17132
2024-04-23,2.2147,2.3,2.21,2.25,3198
2024-04-24,2.25,2.37,2.18,2.19,2036
2024-04-25,2.16,2.25,2.16,2.17,578
2024-04-26,2.14,2.235,2,2.14,19937
2024-04-29,2.23,2.23,2.11,2.13,1006
2024-04-30,2.11,2.11,1.9,2.06,2704
2024-05-01,2.04,2.0597,2.005,2.005,2065
2024-05-02,2.01,2.155,2.01,2.12,1458
2024-05-03,2.025,2.07,2.025,2.07,1673
2024-05-06,2.09,2.09,1.93,1.93,3348
2024-05-07,2.06,2.06,1.94,1.94,7214
2024-05-08,2.03,2.03,1.97,2.01,16687
