date,open,high,low,close,volume
2024-03-01,6.2,6.96,6,6.7,134840.8
2024-03-04,7,7.2,6.8,6.9,147201.4
2024-03-05,7,7.198,6.2,6.69,44336.9
2024-03-06,5.87,6.12,5,5.7,290215.7
2024-03-07,5.799,6.294,5.601,5.822,72325
2024-03-08,5.801,6.1,5.8,6.079,60678.2
2024-03-11,5.88,6.7351,5.28,5.38,201655
2024-03-12,5.38,5.95,5.0501,5.29,196266
2024-03-13,5.3,5.37,4.79,4.79,182961
2024-03-14,4.8,4.86,4.245,4.4,244383
2024-03-15,4.49,4.6999,4.326,4.57,75358
2024-03-18,4.58,5.04,4.51,4.54,100486
2024-03-19,4.55,5.14,4.55,5.1,107687
2024-03-20,5.06,5.33,4.86,5.29,105022
2024-03-21,5.29,5.485,5.01,5.04,74153
2024-03-22,5.05,5.15,4.77,4.99,68743
2024-03-25,5.05,5.19,4.87,5.19,98131
2024-03-26,5.21,5.57,5.1985,5.32,57641
2024-03-27,5.41,5.65,5.3,5.33,101074
2024-03-28,5.33,5.4302,5.11,5.3,80919
2024-04-01,5.38,6.43,5.2098,6.35,228287
2024-04-02,6.05,7.07,5.73,6.44,324260
2024-04-03,6.4,7.24,6.39,6.66,252815
2024-04-04,6.64,6.88,6.3,6.55,143344
2024-04-05,6.52,6.52,6.2017,6.48,122086
2024-04-08,6.49,6.51,6.2001,6.33,73323
2024-04-09,6.32,6.39,6.04,6.1,86453
2024-04-10,6.02,6.1,5.72,5.83,71664
2024-04-11,5.89,5.965,5.62,5.91,115344
2024-04-12,5.89,6,5.63,5.75,95109
2024-04-15,5.76,5.9199,5.42,5.49,58463
2024-04-16,5.46,5.4991,5.17,5.37,40155
2024-04-17,5.28,5.37,5.19,5.23,32756
2024-04-18,5.29,5.29,5.07,5.07,89527
2024-04-19,5.13,5.21,5,5.15,63710
2024-04-22,5.07,5.25,4.72,5,95885
2024-04-23,5.08,5.46,5.08,5.35,22001
2024-04-24,5.36,5.435,4.865,4.88,65594
2024-04-25,4.88,4.99,4.56,4.88,71155
2024-04-26,5.0499,5.19,4.88,5.03,48580
2024-04-29,5.01,5.59,4.91,5.49,104467
2024-04-30,5.49,5.49,5.1,5.35,80174
2024-05-01,5.285,5.4758,5.01,5.33,86098
2024-05-02,5.47,5.4799,5.21,5.3,24562
2024-05-03,5.42,5.51,5.1,5.42,82327
2024-05-06,5.53,5.57,5.4,5.49,39927
2024-05-07,5.49,5.49,5.2,5.23,62826
2024-05-08,5.38,5.38,5,5.23,35737
2024-05-09,5.25,5.28,5.135,5.235,18753
2024-05-10,5.1261,5.33,5.1112,5.25,34730
2024-05-13,5.25,5.4999,5.09,5.26,35463
2024-05-14,5.21,5.3,4.94,5.24,26881
2024-05-15,5.27,5.447,5.1513,5.34,23942
2024-05-16,5.29,5.48,5.2,5.44,25243
2024-05-17,5.38,5.5,5.24,5.25,25990
2024-05-20,5.22,5.2768,5.1,5.16,46474
2024-05-21,5.24,5.245,4.73,5.15,69060
2024-05-22,5.1,5.11,4.75,4.8,116836
2024-05-23,4.8,4.9698,4.67,4.71,43650
2024-05-24,4.71,4.71,4.16,4.19,188941
2024-05-28,4.23,4.38,4.06,4.07,92752
2024-05-29,4.13,4.1599,3.8,4.02,405425
2024-05-30,3.89,4.1,3.82,4.06,45789
2024-05-31,4.06,4.35,4.0101,4.35,75746
2024-06-03,4.75,8.82,4.68,7.33,30867640.0
2024-06-04,7.33,8.19,6.68,6.68,1836803.0
2024-06-05,6.97,7.24,6.21,6.6,492432
2024-06-06,6.56,6.7306,6.09,6.31,204036
2024-06-07,6.22,6.3399,6.0301,6.14,103560
2024-06-10,6.16,6.49,6.05,6.12,116189
2024-06-11,6.14,6.67,6.05,6.53,224076
2024-06-12,6.98,8.95,6.63,6.86,3190512.0
2024-06-13,7.2,7.29,6.86,7.09,643423
2024-06-14,7.07,7.24,6.52,7.1,578232
2024-06-17,7.02,7.11,6.66,6.74,248630
2024-06-18,6.7,6.75,6.02,6.05,226135
2024-06-20,5.77,6.09,5.75,5.9,201886
2024-06-21,6.01,6.01,5.78,5.87,126346
2024-06-24,5.96,6.2403,5.8,5.93,151980
2024-06-25,5.94,5.99,5.645,5.72,123196
2024-06-26,5.73,5.85,5.4,5.57,273954
2024-06-27,5.62,5.62,5.37,5.45,162814
2024-06-28,5.55,5.92,5.14,5.45,221232
2024-07-01,5.45,5.45,5.17,5.41,178698
2024-07-02,5.38,5.455,5.07,5.155,144280
2024-07-03,5.12,5.26,5.03,5.09,61903
2024-07-05,5.03,5.16,4.8,5.025,276717
2024-07-08,5.14,5.21,4.85,4.88,179585
2024-07-09,4.88,5.09,4.81,5.01,125690
2024-07-10,4.95,5.13,4.92,5.06,159243
2024-07-11,5.1,5.25,5.0206,5.14,114647
2024-07-12,5.14,5.36,5.02,5.15,236639
2024-07-15,5.15,5.19,4.99,5.1,103045
2024-07-16,5.12,5.57,5.1,5.55,216084
2024-07-17,5.61,5.84,5.38,5.54,232629
2024-07-18,5.47,5.69,5.35,5.44,73677
2024-07-19,5.36,5.515,5.12,5.15,53753
2024-07-22,5.12,5.27,4.99,5.155,69795
2024-07-23,5.08,5.25,5.08,5.21,61979
2024-07-24,5.19,5.33,5.06,5.12,70650
2024-07-25,4.99,5.3,4.99,5.1,110899
2024-07-26,5.17,5.225,5.09,5.12,93984
2024-07-29,5.14,5.23,5.0256,5.21,76774
2024-07-30,5.21,5.45,5.145,5.38,302841
2024-07-31,5.4,5.48,5.05,5.07,95187
2024-08-01,5.13,5.16,4.87,5.07,105237
2024-08-02,4.93,5.03,4.635,4.69,142195
2024-08-05,4.39,4.66,4.31,4.36,147618
2024-08-06,4.36,4.52,4.29,4.35,76827
2024-08-07,4.47,4.4899,4.3,4.39,73425
2024-08-08,4.48,4.48,4.17,4.22,99068
2024-08-09,4.22,4.25,3.89,4.1,105232
2024-08-12,4.15,4.35,3.96,4.08,80258
2024-08-13,4.09,4.225,4.07,4.08,30062
2024-08-14,4.08,4.12,3.9,3.96,64531
2024-08-15,4.04,4.09,3.9,3.95,84685
2024-08-16,3.95,4.1,3.95,3.98,77411
2024-08-19,3.98,4.16,3.9501,4.14,40063
2024-08-20,4.14,4.37,4.12,4.19,58468
2024-08-21,4.31,4.35,4.1509,4.26,63726
2024-08-22,4.26,4.26,4.07,4.13,65210
2024-08-23,4.14,4.25,4.111,4.21,67057
2024-08-26,4.27,4.27,4.11,4.2,37433
2024-08-27,4.22,4.3299,4.1,4.2,39618
2024-08-28,4.14,4.23,4.095,4.17,41145
2024-08-29,4.16,4.505,4.14,4.42,80565
2024-08-30,4.49,4.49,4.1,4.23,102858
2024-09-03,4.27,4.27,3.9,3.95,72550
2024-09-04,3.94,4.0847,3.72,3.75,96173
2024-09-05,3.93,3.943,3.61,3.79,152712
2024-09-06,3.84,3.89,3.61,3.76,82801
2024-09-09,3.81,4.04,3.76,3.92,72902
2024-09-10,3.95,3.95,3.81,3.89,43035
