date,open,high,low,close,volume
2024-07-01,4.61,4.9,4.46,4.85,509353
2024-07-02,4.75,4.785,4.53,4.54,696117
2024-07-03,4.48,4.61,4.45,4.58,318283
2024-07-05,4.53,4.54,4.24,4.25,755324
2024-07-08,4.31,4.38,4.06,4.26,890592
2024-07-09,4.25,4.25,4.0051,4.11,858935
2024-07-10,4.15,4.38,4.14,4.37,505802
2024-07-11,4.35,4.7,4.35,4.66,669460
2024-07-12,4.74,4.85,4.675,4.69,572041
2024-07-15,4.74,5.03,4.69,4.9,589603
2024-07-16,4.9,5.245,4.8892,5.2,1124707.0
2024-07-17,5.03,5.11,4.8201,5.08,1189034.0
2024-07-18,5.22,5.2299,4.89,5,741039
2024-07-19,5.11,5.18,4.88,4.96,656465
2024-07-22,4.87,5.1,4.8,5.1,434123
2024-07-23,5.1,5.1,4.85,4.88,727930
2024-07-24,4.83,4.93,4.7,4.76,523283
2024-07-25,4.82,4.9,4.65,4.79,465410
2024-07-26,4.9,4.9,4.62,4.77,516008
2024-07-29,4.74,4.75,4.495,4.5,814227
2024-07-30,4.54,4.6,4.41,4.55,562694
2024-07-31,4.56,4.65,4.48,4.53,666250
2024-08-01,4.44,4.53,4.3,4.43,1096058.0
2024-08-02,4.25,4.44,4.172,4.32,1010152.0
2024-08-05,4.04,4.36,3.99,4.24,1133583.0
2024-08-06,4.52,5.005,4.39,4.91,1520331.0
2024-08-07,4.99,5.01,4.62,4.66,1123895.0
2024-08-08,4.79,4.9,4.58,4.73,881077
2024-08-09,4.77,4.9,4.47,4.645,963973
2024-08-12,4.57,4.72,4.51,4.56,645019
2024-08-13,4.7,4.8,4.55,4.79,773724
2024-08-14,4.76,4.94,4.67,4.78,843064
2024-08-15,4.84,4.87,4.74,4.84,856164
2024-08-16,4.84,4.9,4.7876,4.82,513883
2024-08-19,4.83,4.98,4.79,4.91,728223
2024-08-20,4.86,4.91,4.8,4.89,695969
2024-08-21,4.92,4.97,4.88,4.89,652783
2024-08-22,5.03,5.22,4.38,4.87,1831263.0
