date,open,high,low,close,volume
2024-03-01,18.63,18.9,18,18,13388
2024-03-04,18.27,18.9,17.55,18.63,8275.6667
2024-03-05,18.09,18.36,16.47,17.28,23824.3333
2024-03-06,17.82,18.45,17.73,18.18,13943.4444
2024-03-07,17.91,18.36,16.92,16.92,9531.5556
2024-03-08,16.65,17.9991,16.65,16.92,6937.2222
2024-03-11,16.92,17.5275,16.92,17.1,7709.7778
2024-03-12,16.83,17.55,16.47,17.28,9759
2024-03-13,17.55,19.8,16.74,18.27,45704.7778
2024-03-14,18.27,18.9,17.1,17.46,19938.8889
2024-03-15,17.3727,19.35,17.19,18,29285
2024-03-18,18.36,18.63,17.19,17.28,16963.4444
2024-03-19,17.82,17.82,16.47,16.56,13346.7778
2024-03-20,16.92,17.37,16.47,17.01,15117.2222
2024-03-21,16.74,17.1,16.2,16.47,7900.6667
2024-03-22,17.01,17.19,16.29,16.83,10674.8889
2024-03-25,17.37,17.37,15.93,16.38,6858.7778
2024-03-26,16.38,16.38,15.39,15.57,7232.6667
2024-03-27,15.795,15.795,14.85,15.615,3647.7778
2024-03-28,15.3,16.5465,15.21,16.11,3707.5556
2024-04-01,16.2,16.29,15.3,15.93,9932.3333
2024-04-02,16.11,16.11,15.1164,15.48,4900.3333
2024-04-03,15.75,16.65,15.57,16.47,5415.3333
2024-04-04,16.02,16.29,15.615,16.11,2697.5556
2024-04-05,15.93,16.56,15.66,15.93,3034.7778
2024-04-08,16.2,16.2,15.48,15.9336,2834.1111
2024-04-09,15.66,16.65,15.5799,16.65,4465.4444
2024-04-10,16.29,16.4979,15.975,16.11,1642.7778
2024-04-11,16.11,16.11,15.75,16.0191,1129.2222
2024-04-12,15.6618,15.84,14.67,15.12,3383.8889
2024-04-15,16.56,16.56,13.95,14.3559,6956.1111
2024-04-16,13.95,16.0848,13.32,13.32,9853.8889
2024-04-17,13.86,14.22,12.735,12.96,14516.4444
2024-04-18,12.78,14.6592,12.69,13.86,20274.1111
2024-04-19,14.4,14.4,12.51,12.78,7081.6667
2024-04-22,12.42,12.87,11.52,11.97,10798.6667
2024-04-23,11.7,13.5,11.7,12.33,31164.3333
2024-04-24,12.15,12.285,10.89,11.07,13259
2024-04-25,11.52,11.952,10.9791,11.52,9585.4444
2024-04-26,11.97,11.9835,11.25,11.52,6488.8889
2024-04-29,11.7,12.33,11.25,11.7,7355
2024-04-30,11.5623,12.06,10.8,10.98,10589.1111
2024-05-01,10.89,11.07,10.44,10.98,4785.1111
2024-05-02,10.98,12.06,10.8,11.25,9848.2222
2024-05-03,11.07,11.7,10.665,10.8,7999.7778
2024-05-06,10.71,11.52,10.17,11.43,16085.7778
