date,open,high,low,close,volume
2024-03-01,27.4,30.47,27.07,27.81,2718174.0
2024-03-04,35.508,37,29.8,31.07,8531973.0
2024-03-05,30.75,31.35,28.13,30.52,2328026.0
2024-03-06,31.2,32.4,28.15,30,3667364.0
2024-03-07,30.42,32.09,29.98,30.88,2321783.0
2024-03-08,30.93,32.56,30.58,31.18,2496230.0
2024-03-11,30.98,32.3,28.93,29.31,1670193.0
2024-03-12,29.51,29.57,27.88,28.46,1469182.0
2024-03-13,28.33,29.1299,27.67,27.97,1403757.0
2024-03-14,27.78,28.07,24.78,27.37,3237880.0
2024-03-15,28.01,28.24,25.34,27.54,5144664.0
2024-03-18,26.95,27.43,26.06,26.84,1387106.0
2024-03-19,26.7,27.155,25.4232,25.85,1150705.0
2024-03-20,25.53,25.85,24.22,25.19,1562781.0
2024-03-21,25.68,26.39,25.27,25.94,1067857.0
2024-03-22,25.92,26.26,24.77,25.13,1524430.0
2024-03-25,25.06,25.9,24.12,24.17,736479
2024-03-26,24.54,25,24.15,24.39,877054
2024-03-27,24.65,25.05,23.57,24.45,990720
2024-03-28,24.62,25.43,23.71,25.26,851564
2024-04-01,25.28,25.29,23.935,24.07,682474
2024-04-02,23.45,24.03,22.96,23.38,869928
2024-04-03,23.21,23.48,22.6,23.18,680710
2024-04-04,23.39,23.89,22.765,22.97,849227
2024-04-05,22.7,23.5,22.01,23.22,531819
2024-04-08,23.35,23.46,22.715,23.13,352016
2024-04-09,23.28,23.76,23.01,23.74,465327
2024-04-10,22.88,23.56,21.88,21.9,817247
2024-04-11,22.15,22.42,21.26,21.84,626703
2024-04-12,21.89,22.22,21.36,22.18,866406
2024-04-15,22.29,22.4,21.49,21.72,755309
2024-04-16,21.58,22.06,21.38,21.79,937636
2024-04-17,21.88,22.175,21.57,21.6,818940
2024-04-18,21.41,21.46,20.42,20.51,752571
2024-04-19,20.44,21.05,20.39,20.76,769330
2024-04-22,20.8,21.02,19.89,20.79,699672
2024-04-23,20.94,21.23,20.74,21,551478
2024-04-24,20.95,21.51,20.12,20.26,625505
2024-04-25,19.99,19.99,18.2,18.93,828667
2024-04-26,19.18,19.97,18.95,19.74,753132
2024-04-29,19.64,20.015,19.31,19.62,440843
2024-04-30,19.99,20.33,19.33,19.89,737209
2024-05-01,20,20.64,19.72,20.08,1043208.0
2024-05-02,20.44,20.44,19.64,19.71,434567
2024-05-03,20.32,20.75,19.63,19.66,540195
2024-05-06,19.93,22.26,19.93,22.11,895366
2024-05-07,22.18,22.2488,21.5425,22.02,499726
2024-05-08,21.57,21.91,20.58,21.02,572620
2024-05-09,21.2,21.21,20.54,20.8,386217
2024-05-10,21.35,21.45,19.59,19.65,563522
2024-05-13,19.66,21.455,19.46,20.62,554553
2024-05-14,21.12,21.51,20.27,20.3,622679
