date,open,high,low,close,volume
2024-03-01,301.36,304.625,297.24,300.01,645143
2024-03-04,301.53,310.365,299.41,308.04,614852
2024-03-05,303.78,305.025,296.14,299.49,572377
2024-03-06,304.99,306.5,302.485,303.79,370177
2024-03-07,308.17,312.77,306.5575,310.8,512514
2024-03-08,312.96,318.64,310.52,312.49,411623
2024-03-11,310.24,314.82,305.94,308.09,427395
2024-03-12,309.62,312.43,305.74,310.68,310067
2024-03-13,315,325.9,315,320.69,694784
2024-03-14,322.26,322.65,312.68,316.92,642533
2024-03-15,312.46,319.766,312.46,314.35,744761
2024-03-18,318.56,320.09,315.4,316.14,484404
2024-03-19,314.48,319.6825,312.61,317.2,397460
2024-03-20,317.98,329.41,317.88,329.14,596217
2024-03-21,331.01,335.4,321.03,321.27,454850
2024-03-22,320.07,324.04,315,319.42,456912
2024-03-25,318.17,323.21,316.19,319.28,380757
2024-03-26,322.39,323.45,317.13,319.94,414369
2024-03-27,325.1,328.2,324.27,327.9,404606
2024-03-28,329.38,329.9939,326.0701,327.92,367302
2024-04-01,327.01,328.09,313.055,319.65,562890
2024-04-02,312.41,312.51,300.78,312.07,829020
2024-04-03,309.19,314.435,309.15,310.11,527085
2024-04-04,310.38,319.45,308.19,314.95,649469
2024-04-05,311.95,322.305,311.95,317.58,595357
2024-04-08,318.91,321.97,316.35,320.06,644316
2024-04-09,322.52,330.92,322.21,330.25,600114
2024-04-10,322.56,328.77,320.48,327.82,776353
2024-04-11,328.36,331.635,319.55,324.9,515571
2024-04-12,319.89,323.97,311.4,314.97,631737
2024-04-15,319.62,319.81,302.95,304.74,534133
2024-04-16,302.28,308.91,297.64,305.1,472912
2024-04-17,307.52,307.52,296.9,300.14,563217
2024-04-18,304.3,308,298.23,301.34,396910
2024-04-19,302.99,304.75,296.5,298.98,512817
2024-04-22,300.87,303.65,297.17,300.82,441964
2024-04-23,302.55,312.43,299.96,311.88,617278
2024-04-24,310.65,315.77,306.31,313.78,1101900.0
2024-04-25,325,327.49,297.28,310.5,1646022.0
2024-04-26,311.2,324.39,307.9,309.02,724296
2024-04-29,308.45,313.29,303.46,304.82,506203
2024-04-30,300,300,282.01,282.38,1168930.0
2024-05-01,282.03,291.875,277.835,284.52,752916
2024-05-02,287.84,288.8,280.99,286.54,535105
2024-05-03,291.9,295.69,287.02,287.87,350169
2024-05-06,290.95,291.46,285.62,287.37,361303
2024-05-07,288.27,291.8,285.55,286.52,409926
2024-05-08,281.79,281.79,263.99,273.65,1218657.0
2024-05-09,274.41,280.62,272.53,280.39,567385
2024-05-10,280.71,282.73,266.5,271.7,719369
2024-05-13,273.23,276.74,270.855,272.74,453892
2024-05-14,274.63,281.4,273.62,278.08,442911
2024-05-15,282,282,275.56,280.32,531285
2024-05-16,279.88,283,273.37,273.56,528676
2024-05-17,274,274.7,268.35,271.5,585628
2024-05-20,269.74,272.17,266.52,267.44,819782
2024-05-21,265.45,267.2421,262.02,264.02,496446
2024-05-22,264.01,264.68,260.2201,261.12,458743
2024-05-23,261.53,262.19,249.725,252.39,904295
2024-05-24,253.31,257.97,252.39,255.62,831881
2024-05-28,255.62,257.07,251.72,253.77,721218
2024-05-29,250,254.415,250,252.76,749340
2024-05-30,253.7,260.22,251.945,256.5,1248666.0
2024-05-31,257.36,258.32,252.9,257.21,1009496.0
2024-06-03,257.21,259.526,253.88,254.53,787230
2024-06-04,253.26,254.48,246.335,248.91,891040
2024-06-05,250.82,257.29,248.1395,256.01,977163
2024-06-06,253.8,259.61,253.8,257.46,1105936.0
2024-06-07,253.61,260,252.585,255.54,782468
2024-06-10,252.64,257.01,252.34,255.7,849861
2024-06-11,254.3,255.7,252.37,253.28,481970
2024-06-12,259.61,267.689,258.54,266.13,1021581.0
2024-06-13,264.16,271.59,264.16,271.28,913246
2024-06-14,269.34,270.28,252.11,256.01,1060639.0
2024-06-17,251.42,253.62,244.6,245.52,1045169.0
2024-06-18,246.23,247.36,241.89,242.2,881285
2024-06-20,239.44,244.925,237.74,242.61,930557
