date,open,high,low,close,volume
2024-03-01,243.6,252,235.2,246.6,148.6467
2024-03-04,251.28,251.88,245.76,245.76,224.275
2024-03-05,251.76,255,240.3,246.6,263.8083
2024-03-06,245.7,257.4,240,253.44,300.05
2024-03-07,257.4,257.4,240.06,242.16,139.9367
2024-03-08,248.58,248.58,238.62,240.54,205.155
2024-03-11,250.8,250.8,240.6,240.9,155.4933
2024-03-12,241.02,245.94,231.96,233.28,214.3817
2024-03-13,240,240,216.36,218.34,336.3917
2024-03-14,223.56,228,189.9,210,303.1
2024-03-15,216,230.94,204.06,208.2,245.0817
2024-03-18,204,219.48,204,210,120.4967
2024-03-19,208.68,216,204,205.98,100.2167
2024-03-20,197.64,210.6,197.64,210.6,427.99
2024-03-21,213,213,204.24,205.86,68.3083
2024-03-22,213,213.42,204.3,210.6,123.6417
2024-03-25,210,214.578,183.54,184.8,389.0433
2024-03-26,198,199.62,180,185.4,425.8567
2024-03-27,186,197.88,181.2,187.8,156.4383
2024-03-28,190.44,192.06,174,180.66,585.7217
2024-04-01,185.82,185.82,150.6,159.06,882.925
2024-04-02,158.94,158.94,144,146.04,863.4717
2024-04-03,149.94,159.72,138.42,140.1,603.0417
2024-04-04,162,174,131.58,148.2,4119.54
2024-04-05,156,174,126,135.6,8769.4783
2024-04-08,134.1,154.8,114.12,129,13033.205
2024-04-09,129.6,152.7,105,107.7,30327.2667
2024-04-10,106.2,110.4,96.6,96.9,18744.0333
2024-04-11,96.3,96.513,67.8,68.91,37055.0667
2024-04-12,86.7,120,60.3,63,612067.5
2024-04-15,70.2,75,57.9,60,153778.4333
2024-04-16,57,57,48.6,50.4,43142.3333
2024-04-17,47.4,50.4,43.5,45,38038.0667
2024-04-18,45,46.2,38.4,46.2,29622.9333
2024-04-19,44.4,47.4,40.5,41.7,15892.1333
2024-04-22,40.2,46.8,38.1,42.6,24781.2
2024-04-23,44.4,49.8,40.8,42.6,26861.3333
2024-04-24,42,43.497,40.8,41.1,8801.2
2024-04-25,41.1,45.9,39,42.9,7441.9667
