date,open,high,low,close,volume
2024-03-01,82,83.726,77,79.4,1393.95
2024-03-04,78.2,79,71.8,76.6,1779.05
2024-03-05,79.6,79.6,72,73.4,3545
2024-03-06,74.2,74.998,64,68.2,7744
2024-03-07,70.6,70.6,56.6,61,3315.35
2024-03-08,59.4,60,53.6,59.98,2677.9
2024-03-11,60.6,60.6,52.602,54,1128.25
2024-03-12,53.4,58,53.4,55.8,2422
2024-03-13,55.4,61.8,55.4,60,691.4
2024-03-14,64.4,82,63.7,69.8,24513.75
2024-03-15,68.4,70,60.2,61.4,3117.75
2024-03-18,60.6,70.2,60.2,63.2,3077.5
2024-03-19,62.2,70,62.2,65.2,847.65
2024-03-20,65.8,66.1,62.8,63,567.25
2024-03-21,64.6,65,57.84,64.8,1340.9
2024-03-22,60.22,63.98,60,63.66,776.8
2024-03-25,61.8,61.8,55,56.4,2017.65
2024-03-26,58.2,59.8,55.328,58,1446.55
2024-03-27,58,58,50,55.4,1584.4
2024-03-28,55.8,61.4,55.236,60.4,1557.65
2024-04-01,61.2,63.4,57.6,60,2181.15
2024-04-02,60.6,60.6,57.2,59.8,1176.45
2024-04-03,57.6,59.674,55,55,1207.9
2024-04-04,57.8,60.6,54.214,55.5,3169.9
2024-04-05,56,57.6,54.6,56.2,2670.15
2024-04-08,56.8,56.8,53,54.5,3355.7
2024-04-09,58,58.356,51.902,53.2,4118.8
2024-04-10,51.6,55.224,50,54.162,2712.7
2024-04-11,55,58.2,55,55.4,2380.25
2024-04-12,56,59.598,55.802,57.2,1551.35
2024-04-15,59.2,62.398,57.4,58.782,3116.85
2024-04-16,58.8,59,54.6,55.598,3735.6
2024-04-17,57.336,57.594,53.2,57.018,1816.05
2024-04-18,56,61.08,53.6,57,2121.15
2024-04-19,58.6,59.998,56.2,59.954,1043.2
2024-04-22,60,60.8,58.2,60.426,1068.1
2024-04-23,62.4,63.4,57,59.7,1607.6
2024-04-24,61.2,62.8,61,62.336,547.6
2024-04-25,62.8,67,62.346,66.602,1181.65
2024-04-26,67.2,70.6,65,67.2,2129.6
2024-04-29,69,75.8,66.2,66.4,936
2024-04-30,66.8,70.1,59.8,64.6,3185.95
2024-05-01,64,67,63.4,67,858.55
2024-05-02,66.352,67.9,62.8,65.2,1446.7
2024-05-03,64,65.1,60.2,61.4,1625
2024-05-06,60.6,66.8,60.402,63,3012.9
2024-05-07,70,70,54.2,56.2,6124.8
2024-05-08,55,62.728,55,61.2,1485.7
2024-05-09,61,65.2,57.4,60.8,2201.2
2024-05-10,61.2,64.496,54.2,57.8,1612.85
2024-05-13,56,59,53.4,53.4,1298.85
2024-05-14,55.4,55.4,50.4,54,2137.15
2024-05-15,54.8,55.798,51.642,53.8,1138.65
2024-05-16,53.8,53.8,48,50.4,6888.6
2024-05-17,50,52.094,50,50,1116.45
2024-05-20,49.2,49.6,44.8,46.2,2070.05
2024-05-21,46.4,48.8,44.8,45,1147.55
2024-05-22,45.4,51.092,45.008,50.8,2251.35
2024-05-23,55,56,46.202,47.8,12023.05
2024-05-24,47.6,50,43.8,46.7,6023.35
2024-05-28,45,46.3,40.694,41.2,4124.95
2024-05-29,40.2,44.2,37,37.6,3829.75
2024-05-30,40,45,37,42.4,3027.25
2024-05-31,44.2,46.8,42.6,45.6,3871.65
