date,open,high,low,close,volume
2024-03-01,2.02,2.02,1.9,1.92,11694
2024-03-04,1.93,2.06,1.8906,1.8948,18462
2024-03-05,1.84,1.98,1.81,1.86,36313
2024-03-06,1.89,2.08,1.86,1.875,23172
2024-03-07,1.84,1.984,1.8,1.8,63860
2024-03-08,1.83,1.9,1.73,1.78,68982
2024-03-11,1.8481,1.85,1.71,1.71,46714
2024-03-12,1.775,1.81,1.73,1.76,7767
2024-03-13,1.74,1.9644,1.74,1.76,10023
2024-03-14,1.85,1.94,1.7501,1.77,5581
2024-03-15,1.8,1.86,1.8,1.83,5180
2024-03-18,1.9421,1.9421,1.7999,1.81,6547
2024-03-19,1.76,1.8655,1.76,1.78,4077
2024-03-20,1.8383,1.8383,1.7901,1.8352,4942
2024-03-21,1.8298,1.9445,1.8297,1.87,12847
2024-03-22,1.8999,1.9299,1.8555,1.91,6752
2024-03-25,1.89,2,1.8515,1.89,23877
2024-03-26,1.87,1.9699,1.851,1.9399,5328
2024-03-27,1.91,2.0499,1.91,2,21785
2024-03-28,2.04,2.0869,1.85,1.85,30125
2024-04-01,1.86,2.14,1.86,1.97,43201
2024-04-02,1.96,2.18,1.96,2.14,47448
2024-04-03,2.1,2.208,2.1,2.18,14772
2024-04-04,2.28,2.44,2.23,2.38,63563
2024-04-05,2.42,2.4392,2.3,2.33,16490
2024-04-08,2.4,2.4393,2.35,2.43,20319
2024-04-09,2.45,2.5,2.3701,2.42,28238
2024-04-10,2.4,2.52,2.4,2.4642,25086
2024-04-11,2.54,2.55,2.46,2.52,15949
2024-04-12,2.52,2.54,2.4704,2.53,26968
2024-04-15,2.55,2.55,2.31,2.33,38585
2024-04-16,2.28,2.28,2.22,2.2498,10598
2024-04-17,2.29,2.29,2.23,2.27,2003
2024-04-18,2.37,2.37,2.21,2.22,7554
2024-04-19,2.36,2.39,2.253,2.3,6850
2024-04-22,2.4,2.42,2.31,2.315,13809
2024-04-23,2.29,2.38,2.29,2.38,10065
2024-04-24,2.35,2.36,2.2597,2.26,42546
2024-04-25,2.3,2.3618,2.22,2.35,14443
2024-04-26,2.31,2.3317,2.25,2.29,10614
2024-04-29,2.25,2.34,2.23,2.3174,3771
2024-04-30,2.31,2.31,2.2406,2.29,3322
2024-05-01,2.25,2.39,2.22,2.22,7280
2024-05-02,2.2899,2.2899,2.2,2.2,10751
2024-05-03,2.2014,2.3799,2.2014,2.26,49479
2024-05-06,2.25,2.37,2.2,2.28,9335
2024-05-07,2.35,2.35,2.2111,2.28,14757
2024-05-08,2.2394,2.25,2.21,2.235,14963
2024-05-09,2.2,2.2946,2.2,2.25,7752
2024-05-10,2.27,2.34,2.18,2.31,26647
2024-05-13,2.18,2.35,2.18,2.2,19615
2024-05-14,2.23,2.2997,2.1799,2.1799,6685
2024-05-15,2.2,2.22,2.14,2.16,14602
2024-05-16,2.17,2.18,2.1361,2.15,170770
2024-05-17,1.46,1.56,1.42,1.44,613312
2024-05-20,1.42,1.49,1.36,1.43,234559
2024-05-21,1.42,1.45,1.39,1.44,48075
2024-05-22,1.43,1.4369,1.39,1.41,26977
2024-05-23,1.44,1.44,1.3,1.37,79682
2024-05-24,1.33,1.38,1.31,1.32,40774
2024-05-28,1.33,1.4,1.28,1.35,82296
2024-05-29,1.3,1.3,1,1.05,225487
2024-05-30,1.05,1.25,1,1.21,209624
2024-05-31,1.13,1.21,1.1,1.15,109057
2024-06-03,1.24,1.24,1.12,1.18,44935
2024-06-04,1.19,1.19,1.11,1.19,27395
2024-06-05,1.19,1.2429,1.1701,1.2,55335
2024-06-06,1.22,1.24,1.185,1.2,19972
2024-06-07,1.2,1.2399,1.1319,1.2,45710
2024-06-10,1.18,1.23,1.1,1.12,32363
2024-06-11,1.14,1.2,1.09,1.12,14258
2024-06-12,1.11,1.1515,1.09,1.12,8484
2024-06-13,1.12,1.125,1.08,1.095,11687
2024-06-14,1.08,1.1001,1.05,1.1,36180
2024-06-17,1.09,1.09,1,1.055,106617
2024-06-18,1.04,1.0799,1.02,1.07,25266
2024-06-20,1.09,1.09,1.05,1.07,13163
2024-06-21,1.06,1.0667,1.0101,1.02,8576
2024-06-24,1.03,1.09,1.03,1.05,15522
2024-06-25,1.07,1.07,1.04,1.0507,24254
2024-06-26,1.05,1.0571,1.05,1.05,19688
2024-06-27,1.05,1.06,1.05,1.05,15578
2024-06-28,1.09,1.09,1.05,1.05,29504
2024-07-01,1.05,1.06,1.05,1.0511,16693
2024-07-02,1.06,1.07,1.05,1.05,26605
2024-07-03,1.05,1.06,1.05,1.05,12529
2024-07-05,1.05,1.06,1.05,1.06,19423
2024-07-08,1.06,1.07,1.05,1.05,18065
2024-07-09,1.04,1.07,1.04,1.04,20333
2024-07-10,1.05,1.1099,1.0395,1.095,45029
2024-07-11,1.1,1.1399,1.075,1.09,25949
2024-07-12,1.1082,1.11,1.08,1.1,31651
2024-07-15,1.09,1.1,1.05,1.0895,84629
2024-07-16,1.0703,1.11,1.0703,1.1008,25694
2024-07-17,1.11,1.2,1.0976,1.19,74030
2024-07-18,1.19,1.21,1.16,1.16,15105
2024-07-19,1.15,1.17,1.1,1.11,11088
2024-07-22,1.1,1.19,1.1,1.17,33776
2024-07-23,1.14,1.2,1.14,1.19,29546
2024-07-24,1.21,1.21,1.18,1.195,30615
2024-07-25,1.1,1.2,1.1,1.175,30756
2024-07-26,1.17,1.1999,1.17,1.17,14488
2024-07-29,1.18,1.19,1.126,1.13,15748
2024-07-30,1.1507,1.16,1.15,1.15,10058
2024-07-31,1.1401,1.18,1.1137,1.17,23280
2024-08-01,1.1201,1.16,1.1201,1.1236,12254
2024-08-02,1.124,1.1368,1.03,1.03,79977
2024-08-05,1.01,1.012,0.98,0.9904,32580
2024-08-06,0.99,0.9999,0.98,0.9852,33125
2024-08-07,0.9905,0.9981,0.9802,0.9802,11558
2024-08-08,0.99,0.9998,0.9851,0.9925,8955
2024-08-09,0.9975,1.045,0.9975,1.01,25430
2024-08-12,0.99,1.03,0.99,1.02,13145
2024-08-13,0.9901,1.04,0.9901,1.02,3937
2024-08-14,1.03,1.03,0.99,1.01,14287
2024-08-15,0.985,1.0099,0.98,0.985,20275
2024-08-16,0.9867,1,0.986,0.986,12455
2024-08-19,1,1.0023,0.82,0.8762,99869
2024-08-20,0.9,0.93,0.844899,0.8601,117108
2024-08-21,0.8972,0.909,0.8,0.82145,66360
2024-08-22,0.835,0.8799,0.83,0.83,23935
2024-08-23,0.83,0.91,0.811,0.836,39721
2024-08-26,0.95,0.98,0.802,0.85,57234
2024-08-27,0.9,0.968,0.8644,0.8752,39310
2024-08-28,0.8724,0.8812,0.86,0.86,16735
2024-08-29,0.86,0.874,0.64,0.671,429658
2024-08-30,0.685,0.9,0.685,0.830086,319787
2024-09-03,0.8,0.832746,0.768,0.792,42858
2024-09-04,0.805,0.834,0.805,0.8189,18213
2024-09-05,0.8217,0.83,0.77,0.7809,31361
2024-09-06,0.79,0.82,0.75,0.75,7765
2024-09-09,0.7549,0.827,0.7021,0.7115,53511
2024-09-10,0.76,0.8,0.7201,0.771,101496
2024-09-11,0.771,0.8,0.771,0.8,10244
2024-09-12,0.799,0.8875,0.7795,0.869,154149
2024-09-13,0.85,0.8798,0.83,0.839899,26935
2024-09-16,0.84,0.8779,0.801,0.818,15603
2024-09-17,0.82,0.86,0.8,0.811,10087
2024-09-18,0.813,0.9,0.8,0.847,19646
2024-09-19,0.83,0.9,0.83,0.8858,50593
2024-09-20,0.89,0.89,0.7619,0.7619,56618
2024-09-23,0.8,0.8594,0.8,0.8435,26858
2024-09-24,0.82,0.859,0.8101,0.8549,32138
2024-09-25,0.85,0.8678,0.8088,0.8381,11006
2024-09-26,0.856,0.8655,0.812,0.825193,6107
2024-09-27,0.81,0.8697,0.8,0.8444,10640
2024-09-30,0.83,0.83,0.764,0.7801,63608
2024-10-01,0.78,0.78,0.71,0.774,25783
2024-10-02,0.75,0.792249,0.7301,0.740129,16097
2024-10-03,0.7268,0.7529,0.72,0.7368,11967
2024-10-04,0.725,0.73,0.7,0.7197,22149
2024-10-07,0.74,0.7499,0.7194,0.74,20588
2024-10-08,0.72,0.75,0.72,0.7301,31384
2024-10-09,0.8,0.8,0.731,0.7656,56861
2024-10-10,0.78,0.7965,0.7605,0.7965,20657
2024-10-11,0.7715,0.82,0.7715,0.8002,24909
2024-10-14,0.828,0.8769,0.82,0.8701,38191
2024-10-15,0.84,0.88,0.835,0.835,8872
2024-10-16,0.88,0.88,0.87,0.8738,52357
2024-10-17,0.8799,0.8865,0.871,0.87318,9896
2024-10-18,0.88,0.88,0.838,0.838,40449
2024-10-21,0.84,0.884,0.838,0.858999,20438
2024-10-22,0.88,1,0.88,0.975001,136698
2024-10-23,1.06,1.24,1.02,1.19,165816
2024-10-24,1.19,1.19,1.0487,1.05,72357
2024-10-25,1.04,1.1,1,1.0302,35401
2024-10-28,1.01,1.05,1.01,1.0201,18777
2024-10-29,1.04,1.12,1.01,1.06,46555
2024-10-30,1.09,1.09,0.9837,1.02,28160
2024-10-31,1.01,1.04,0.925,0.99,43699
2024-11-01,0.9877,1.0502,0.927,0.985,12169
2024-11-04,1.02,1.03,0.9515,0.99,21370
2024-11-05,0.97,0.995,0.94,0.9422,25733
2024-11-06,0.9893,0.9893,0.928,0.9556,35563
2024-11-07,0.925,0.998,0.9101,0.95,57901
2024-11-08,0.95,0.96,0.91,0.95,17745
2024-11-11,1,1,0.8823,0.8901,45955
2024-11-12,0.88,0.94,0.88,0.889,53447
2024-11-13,0.96,0.998,0.8403,0.8407,93680
2024-11-14,0.92,0.98,0.86,0.8992,37074
2024-11-15,0.89,0.98,0.8518,0.880351,96820
2024-11-18,0.85,0.94,0.83,0.85,664383
2024-11-19,0.85,0.8501,0.7806,0.799,139018
2024-11-20,0.821,0.84,0.808,0.8249,28991
2024-11-21,0.85,0.88,0.8155,0.849,36901
2024-11-22,0.85,1.32,0.80993,1.24,1279628.0
2024-11-25,0.9768,1.0699,0.91,0.93,702044
2024-11-26,0.965,1.0254,0.889695,0.9019,337666
2024-11-27,0.9118,0.9118,0.86,0.888,107062
2024-11-29,0.9,0.9898,0.89,0.939,448268
2024-12-02,0.99,1,0.8651,0.87,555197
2024-12-03,0.8787,0.9287,0.851,0.8875,87968
2024-12-04,0.9,0.93,0.8621,0.88,128197
2024-12-05,0.86,0.92,0.81,0.859,243051
2024-12-06,0.841,0.92,0.825501,0.868,94839
2024-12-09,0.868,0.9199,0.8475,0.88,59637
2024-12-10,0.8832,1.11,0.86,0.9921,1266754.0
2024-12-11,1.76,2.5,1.47,1.93,201923074.0
2024-12-12,2.28,3.2,2.11,2.2,80033154.0
2024-12-13,2.61,2.87,2.23,2.31,39844650.0
2024-12-16,2.44,2.97,2.03,2.73,12654572.0
2024-12-17,2.4,2.44,1.98,2.07,6109676.0
2024-12-18,2.38,2.56,2.07,2.22,10249841.0
2024-12-19,2.12,2.39,1.8801,2,3191896.0
2024-12-20,1.94,2.14,1.8589,1.98,2127827.0
2024-12-23,2.1,2.5477,2.03,2.47,5198847.0
2024-12-24,3,4.35,2.95,4.04,25011321.0
2024-12-26,3.71,5.43,3.35,5.12,20259708.0
2024-12-27,5.68,6.28,4.5796,5.71,12735844.0
2024-12-30,5.89,6.43,5.14,5.155,13822707.0
2024-12-31,5.24,5.55,4.61,5.14,7051139.0
2025-01-02,4.99,5.54,4.28,5.01,6789631.0
2025-01-03,4.83,4.95,4.13,4.27,5933319.0
2025-01-06,4.66,4.88,3.89,3.98,7076794.0
2025-01-07,3.55,3.8488,3.1,3.63,6213912.0
2025-01-08,2.52,2.63,1.96,2.28,9505520.0
2025-01-10,2.21,2.78,2.17,2.4,4479812.0
2025-01-13,2.12,2.25,1.7905,1.81,3537018.0
2025-01-14,1.85,2.03,1.78,1.96,2672081.0
2025-01-15,2.15,2.35,2.03,2.13,4016058.0
2025-01-16,2.29,2.595,2.21,2.49,3678555.0
2025-01-17,2.44,2.4698,2.03,2.03,2145529.0
2025-01-21,2.06,2.23,2.01,2.17,2084872.0
2025-01-22,2.17,2.249,1.95,1.95,1706741.0
2025-01-23,1.94,2.06,1.92,1.95,1001108.0
2025-01-24,1.96,2.1383,1.89,1.93,1344703.0
2025-01-27,1.78,1.845,1.665,1.76,1600276.0
2025-01-28,1.83,1.86,1.76,1.79,444838
2025-01-29,1.82,1.93,1.81,1.87,652702
2025-01-30,1.97,2.04,1.8607,1.96,889681
2025-01-31,1.96,2.12,1.95,1.97,885055
2025-02-03,1.8,1.93,1.76,1.82,700832
2025-02-04,1.86,2.19,1.825,2.06,1154284.0
