date,open,high,low,close,volume
2024-02-28,11.45,11.53,11.26,11.34,131255
2024-02-29,11.43,11.51,11.14,11.22,256996
2024-03-01,11.19,11.22,11.04,11.13,152747
2024-03-04,11.12,11.3999,11.06,11.12,178360
2024-03-05,11.12,11.33,10.98,11.06,258447
2024-03-06,11.13,11.305,11.02,11.23,175040
2024-03-07,11.29,11.34,11.18,11.24,104132
2024-03-08,11.31,11.34,11.01,11.14,110207
2024-03-11,11.13,11.1609,11.09,11.15,77220
2024-03-12,11.15,11.2,11.005,11.17,171773
2024-03-13,11.18,11.26,11.14,11.21,157301
2024-03-14,11.22,11.22,10.98,11.1,197919
2024-03-15,11.06,11.17,11.01,11.07,339104
2024-03-18,11.07,11.285,11.07,11.2,423886
2024-03-19,11.21,11.48,11.21,11.4,336500
2024-03-20,11.42,11.65,11.32,11.59,202361
2024-03-21,11.6,11.88,11.47,11.52,330227
2024-03-22,11.54,11.585,11.43,11.49,197614
2024-03-25,11.49,11.71,11.45,11.71,267768
2024-03-26,11.75,11.765,11.58,11.63,294454
2024-03-27,11.74,11.77,11.43,11.45,138735
2024-03-28,11.48,11.56,11.39,11.45,141480
2024-04-01,11.49,11.49,11.12,11.12,114761
2024-04-02,11.04,11.0994,10.85,10.99,146567
2024-04-03,10.99,11.17,10.94,10.97,254202
2024-04-04,11.01,11.19,10.9223,11.1,265029
2024-04-05,11.1,11.32,11.07,11.31,302000
2024-04-08,11.36,11.76,11.36,11.73,335218
2024-04-09,11.74,12.14,11.67,12.01,218948
2024-04-10,11.8,12.0999,11.49,12.06,321947
2024-04-11,12.01,12.2699,11.85,11.95,226395
2024-04-12,11.95,11.95,11.22,11.25,238769
2024-04-15,11.21,11.27,10.74,10.76,243186
2024-04-16,10.76,10.88,10.58,10.69,189537
2024-04-17,10.74,10.79,10.57,10.59,110434
2024-04-18,10.58,10.7,10.43,10.57,343723
2024-04-19,10.53,10.7,10.48,10.62,231660
2024-04-22,10.62,10.63,10.45,10.48,119595
2024-04-23,10.49,10.64,10.39,10.51,158899
2024-04-24,10.52,10.52,10.35,10.37,146545
2024-04-25,10.23,10.29,10.08,10.12,152119
2024-04-26,10.1,10.295,10.1,10.22,133990
2024-04-29,10.24,10.42,10.2,10.21,105573
2024-04-30,10.19,10.36,10.05,10.11,163821
2024-05-01,10.11,10.24,10.04,10.05,109244
2024-05-02,9.96,10.195,9.96,10.06,121249
2024-05-03,10.13,10.22,10.01,10.13,112156
2024-05-06,10.11,10.29,10.06,10.13,128959
2024-05-07,10.13,10.22,10.01,10.02,102975
2024-05-08,9.98,10.1,9.91,10.03,92819
2024-05-09,9.99,10.35,9.97,10.24,168262
2024-05-10,10.21,10.415,10.03,10.07,127535
2024-05-13,10.08,10.2,9.96,10.03,112539
2024-05-14,10.08,10.135,9.965,9.98,80139
2024-05-15,10.07,10.36,10.07,10.33,141137
2024-05-16,10.32,10.42,10.22,10.39,111556
2024-05-17,10.41,10.48,10.355,10.45,97763
2024-05-20,10.4,10.635,10.4,10.52,111662
2024-05-21,10.51,10.63,10.46,10.6,107399
2024-05-22,10.6,10.8,10.55,10.76,187118
2024-05-23,10.75,10.83,10.71,10.8,283444
2024-05-24,10.84,10.84,10.69,10.7,246362
2024-05-28,10.72,10.82,10.52,10.64,195460
2024-05-29,10.57,10.6,10.33,10.38,87854
2024-05-30,10.44,10.45,10.18,10.23,97628
2024-05-31,10.26,10.455,10.1,10.26,839590
2024-06-03,10.34,10.35,10.18,10.27,134854
2024-06-04,10.26,10.28,10.08,10.11,131385
