date,open,high,low,close,volume
2024-03-01,22.05,22.96,21.935,22.86,157640
2024-03-04,23,23.3399,22.53,22.76,107269
2024-03-05,22.54,22.74,22.15,22.29,91783
2024-03-06,22.68,23.25,22.5,22.99,99164
2024-03-07,23.2,25.0092,23.2,24.58,135014
2024-03-08,24.9,25,23.91,23.94,85236
2024-03-11,23.59,24.01,23.33,23.56,127010
2024-03-12,23.58,23.66,23.08,23.32,100328
2024-03-13,23.05,23.33,22.36,22.47,130934
2024-03-14,22.25,22.47,21.475,21.64,111816
2024-03-15,21.4,21.93,21.4,21.55,271588
2024-03-18,21.61,21.6201,20.92,20.92,117765
2024-03-19,20.75,21.09,20.57,20.73,83448
2024-03-20,20.56,21.55,20.3621,21.35,132223
2024-03-21,21.59,23.15,21.55,22.22,198760
2024-03-22,22.1,22.22,21.58,21.64,65836
2024-03-25,21.57,21.76,21.43,21.58,59885
2024-03-26,21.71,21.8778,21.03,21.03,97043
2024-03-27,21.33,21.89,20.85,21.84,116910
2024-03-28,21.86,22.27,21.775,22.04,99634
2024-04-01,22,22.45,21.83,22.07,66979
2024-04-02,21.88,21.88,21.59,21.75,134935
2024-04-03,21.43,22.82,21.39,22.82,105491
2024-04-04,23.18,23.7303,22.66,22.8,127314
2024-04-05,22.68,22.76,22.1279,22.51,92804
2024-04-08,22.64,23.07,22.5,22.93,73181
2024-04-09,23.08,23.305,22.91,23.18,66147
2024-04-10,22.32,23.22,22.09,22.28,105975
2024-04-11,22.21,22.93,21.99,22.89,82450
2024-04-12,22.52,22.52,21.66,21.72,78714
2024-04-15,22.02,22.07,21.16,21.46,94924
2024-04-16,21.25,21.53,20.98,21.35,60003
2024-04-17,21.5,21.69,20.63,20.66,73007
2024-04-18,20.48,20.48,19.87,20.02,131805
2024-04-19,19.81,20.09,19.38,19.55,159322
2024-04-22,19.8,19.95,19.43,19.79,88417
2024-04-23,19.79,20.41,19.79,20.18,80844
2024-04-24,20.23,21.25,20.23,21.21,130266
2024-04-25,20.98,21.56,20.7279,21.51,95266
2024-04-26,21.5,22.28,21.46,22.19,77901
2024-04-29,22.2,22.56,21.89,22.46,81024
2024-04-30,22.27,22.345,21.84,21.87,101187
2024-05-01,21.64,21.7678,21,21.07,122450
2024-05-02,21.38,21.94,20.965,21.9,75974
2024-05-03,22.58,22.6965,22.03,22.36,78300
2024-05-06,22.49,22.67,21.76,22.16,244830
2024-05-07,22.39,23.37,22.27,22.28,172620
2024-05-08,23,27.205,22.786,26.93,592042
2024-05-09,26.67,27.17,26.292,27.09,255981
2024-05-10,26.74,27.2,26.55,27,223720
2024-05-13,26.97,27.48,26.21,27.19,158613
2024-05-14,27.43,27.69,27.02,27.62,164644
2024-05-15,27.77,27.82,27.021,27.79,181364
2024-05-16,27.57,27.87,27.22,27.25,162615
2024-05-17,27.55,27.55,26.82,27.23,102547
2024-05-20,27.18,27.5218,26.56,26.69,128173
2024-05-21,26.45,26.625,26.0701,26.58,92696
2024-05-22,26.86,27.7685,26.71,27.4,138553
2024-05-23,28,28.7,27,27.25,210343
2024-05-24,27.46,28.9,27.33,28.34,159356
2024-05-28,28.71,29.96,28.46,29.71,281666
2024-05-29,29.07,29.6,28.88,29.44,133492
2024-05-30,29.69,30.58,29.65,29.79,235085
2024-05-31,29.99,30.39,28.94,29.31,150654
2024-06-03,29.69,29.96,27.99,28.79,203893
2024-06-04,28.74,28.74,27.9,28.4,108322
2024-06-05,28.74,29.83,28.49,29.71,226201
2024-06-06,29.57,29.78,29,29.53,114410
2024-06-07,29.22,29.63,28.92,29.15,91681
2024-06-10,28.71,29.537,28.71,29.37,124682
2024-06-11,29.04,29.59,28.7,29.57,175608
2024-06-12,30,31.26,29.99,30.67,197704
2024-06-13,30.58,30.6,29.31,29.93,164852
2024-06-14,30.01,30.19,29.68,30.13,139853
2024-06-17,29.72,30.56,29.41,30.52,174011
2024-06-18,30.55,31.4,30.325,31.35,201387
2024-06-20,31.5,36.5,31.04,32.54,1332592.0
2024-06-21,32.61,32.88,31.56,32.49,794577
2024-06-24,32.56,36.5998,32.56,35.88,765787
2024-06-25,35.88,36.65,34.09,36.58,520545
2024-06-26,36.42,37.5264,36.25,37.38,509105
2024-06-27,37.52,37.57,34.69,35.77,390376
2024-06-28,37,37.88,36.07,37.37,520616
2024-07-01,37.37,38.38,36.6,38.24,308729
2024-07-02,38.11,40.79,38.11,38.42,511695
2024-07-03,38.64,39.4799,37.71,37.82,213943
2024-07-05,37.82,38.19,36.69,37.48,377502
2024-07-08,37.48,37.96,37.0601,37.43,323609
2024-07-09,37.6,38.24,36.88,38.17,235637
2024-07-10,38.23,38.34,37.06,37.14,223412
2024-07-11,38.81,40.2553,38.275,39.62,731838
2024-07-12,40.25,44.08,39.51,42.31,1120717.0
2024-07-15,42.28,46.73,41.05,45.69,1085831.0
2024-07-16,46.85,47.2499,45.83,47.03,524383
2024-07-17,45.42,46.35,43.88,45.4,704258
2024-07-18,46.54,47.45,44.35,45.35,484190
2024-07-19,44.95,45.19,43,43.05,436904
2024-07-22,43.06,43.475,40.4,42.76,718570
2024-07-23,41.8,46.69,41.51,45.87,728055
2024-07-24,45.41,45.86,43.24,43.27,402572
2024-07-25,43.27,44,41.01,41.1,546583
2024-07-26,42.78,44.4,41.84,43.53,352682
2024-07-29,44.05,45.75,43.11,43.19,305590
2024-07-30,43.41,43.6566,40.18,40.25,372000
2024-07-31,41.17,42.6,40.1901,41.4,379534
2024-08-01,41.06,41.42,37.92,38.25,331257
2024-08-02,36.01,37.13,34.375,34.81,464774
2024-08-05,32.37,34.72,31.93,34.26,409954
2024-08-06,34.09,35.52,33.84,34.5,242309
2024-08-07,35.65,35.94,33.44,33.47,297786
2024-08-08,37,39.39,34.96,35,925871
2024-08-09,34.61,36.25,34,36.21,223683
2024-08-12,36.06,36.2,34.48,34.78,205580
2024-08-13,35.48,36.75,35.33,36.06,182209
2024-08-14,36.02,36.25,34.75,35.09,210841
2024-08-15,36.62,37.8,35.98,37.27,211812
2024-08-16,37.07,38.26,37.07,37.37,187612
2024-08-19,36.89,37.115,36.0339,36.84,195759
2024-08-20,36.61,36.65,35.34,35.94,301823
2024-08-21,36.4,36.7,35.13,36.03,181422
2024-08-22,36.19,38.97,36.03,36.45,562911
2024-08-23,37.04,38.96,37.04,38.33,203152
2024-08-26,38.25,38.55,37.2601,37.92,163377
2024-08-27,37.44,38.42,36.77,37.66,141128
2024-08-28,38.19,42.28,37.5,41.91,1071473.0
2024-08-29,41.56,43.45,40.64,41.23,389408
2024-08-30,41.52,43.87,41.32,41.81,338139
