date,open,high,low,close,volume
2024-03-01,1.757,1.91,1.73,1.91,152015
2024-03-04,1.93,1.93,1.84,1.87,37836
2024-03-05,1.8,1.9021,1.8,1.82,22490
2024-03-06,1.85,1.85,1.78,1.805,32585
2024-03-07,1.77,1.7979,1.73,1.74,38409
2024-03-08,1.74,1.74,1.35,1.53,338667
2024-03-11,1.71,1.7397,1.52,1.54,81617
2024-03-12,1.55,1.7399,1.55,1.585,92043
2024-03-13,1.59,1.6999,1.5,1.5,76893
2024-03-14,1.52,1.6,1.4,1.6,70924
2024-03-15,1.56,1.6896,1.5001,1.61,61418
2024-03-18,1.63,1.7,1.5,1.54,78287
2024-03-19,1.53,1.65,1.4717,1.51,55912
2024-03-20,1.55,1.5725,1.45,1.46,72084
2024-03-21,1.48,1.5,1.3301,1.41,185241
2024-03-22,1.41,1.55,1.39,1.55,68165
2024-03-25,1.62,1.67,1.54,1.65,145311
2024-03-26,1.01,1.04,0.94,0.9401,2567767.0
2024-03-27,0.9688,0.9987,0.95,0.9505,447928
2024-03-28,0.98,0.98,0.945,0.96,290017
2024-04-01,0.97,0.985,0.94,0.9505,296669
2024-04-02,0.99,0.99,0.9044,0.9398,211234
2024-04-03,0.969,0.969,0.9123,0.95,124283
2024-04-04,0.94,0.958,0.9363,0.95,244624
2024-04-05,0.95,0.9617,0.92,0.9617,118576
2024-04-08,0.97,1.03,0.942,0.9994,319423
2024-04-09,0.99,1.02,0.9614,0.9997,153093
2024-04-10,1.01,1.01,0.9701,0.9805,106261
2024-04-11,0.9805,1,0.9805,0.9881,86131
2024-04-12,1,1.03,0.97,0.9873,51325
2024-04-15,1,1.01,0.97,1,90089
2024-04-16,1.03,1.03,0.912,0.94,98944
2024-04-17,0.99,0.99,0.93,0.965,52543
2024-04-18,0.96,0.979899,0.905,0.97,156608
2024-04-19,0.95,0.95,0.9,0.9022,89596
2024-04-22,0.91,0.91,0.8003,0.85,184264
2024-04-23,0.811,0.9,0.811,0.882,181602
2024-04-24,0.8818,0.9,0.8212,0.88,39301
2024-04-25,0.8674,0.9435,0.8536,0.89,79614
2024-04-26,0.85,0.8899,0.85,0.86445,81651
2024-04-29,0.89,0.91,0.8173,0.8452,130132
2024-04-30,0.85,0.9049,0.8494,0.869,42780
2024-05-01,0.87,0.919899,0.8662,0.899,84509
2024-05-02,0.9,0.9091,0.880251,0.89,72061
2024-05-03,0.9,0.91,0.8453,0.8801,56773
2024-05-06,0.9167,0.92,0.870101,0.891,109718
2024-05-07,0.89,0.919999,0.88,0.881,26228
2024-05-08,0.9,0.92,0.872001,0.891,48320
2024-05-09,0.89,0.9199,0.87,0.9064,40775
2024-05-10,0.9018,0.95,0.9,0.9481,58382
2024-05-13,0.97,0.97,0.924,0.93,87254
2024-05-14,0.94,0.97,0.9142,0.9142,35347
2024-05-15,0.9242,0.95,0.9142,0.9201,22763
2024-05-16,0.9174,0.98,0.9174,0.941,72344
2024-05-17,0.95,0.9633,0.93,0.9401,57050
2024-05-20,0.9696,0.98,0.931401,0.96,75368
2024-05-21,0.9522,0.979899,0.94,0.9475,48692
2024-05-22,0.93,0.9475,0.9,0.9,38364
2024-05-23,0.9,0.95,0.9,0.9001,22454
2024-05-24,0.91,0.9555,0.9099,0.94,32723
2024-05-28,0.91,0.91157,0.82,0.861,145099
2024-05-29,0.8204,0.882,0.8204,0.858,86075
2024-05-30,0.9,0.9098,0.8411,0.851,32365
2024-05-31,0.899,0.9094,0.8556,0.899,21241
2024-06-03,0.887,0.91,0.870101,0.89,45567
2024-06-04,0.89,0.89,0.84111,0.845,54047
2024-06-05,0.865001,0.8701,0.84,0.85,25532
2024-06-06,0.84,0.849142,0.84,0.84,48469
2024-06-07,0.88,0.88,0.8,0.8299,85223
2024-06-10,0.83,0.88,0.83,0.831,65430
2024-06-11,0.8061,0.89,0.8061,0.889,75391
2024-06-12,0.9,0.9,0.84,0.9,69754
2024-06-13,0.91,0.95,0.836101,0.9057,41779
2024-06-14,0.94,0.96,0.88,0.886,62000
2024-06-17,0.881,0.9251,0.83,0.84,36159
2024-06-18,0.84,0.89,0.824001,0.844,39254
2024-06-20,0.8862,0.9299,0.85,0.8683,107847
2024-06-21,0.9117,0.96,0.89,0.9489,88189
2024-06-24,0.97,0.9751,0.93,0.945,91142
2024-06-25,0.95,0.9678,0.912,0.94,111158
2024-06-26,0.95,0.977,0.91,0.91,53523
2024-06-27,0.95,0.978,0.94,0.9591,42249
2024-06-28,0.95,0.9965,0.94,0.94,49519
2024-07-01,0.97,1.005,0.949999,0.97,82715
2024-07-02,0.9896,1,0.97,0.97,30383
2024-07-03,0.97,1.04,0.97,1.005,74932
2024-07-05,1.01,1.0299,1,1.01,66059
2024-07-08,1.02,1.02,0.944,1,84211
2024-07-09,0.995,1,0.96,0.97,18837
2024-07-10,0.97,0.97,0.9,0.96,115340
2024-07-11,1,1.01,0.93,0.9995,116421
2024-07-12,0.999,1.09,0.999,1.08,88434
2024-07-15,1.08,1.1,1.0401,1.075,101276
2024-07-16,1.05,1.09,0.998,1.0446,118704
2024-07-17,1.06,1.09,1.03,1.0702,83131
2024-07-18,1.05,1.1,1.05,1.09,82739
2024-07-19,1.1,1.1,1.06,1.095,55312
2024-07-22,1.1,1.2,1.1,1.2,103085
2024-07-23,1.2,1.2,1.1,1.12,102382
2024-07-24,1.1,1.11,0.9801,1.025,117125
2024-07-25,0.99,1.05,0.98,1.02,33035
2024-07-26,1.0301,1.0397,0.99,0.9994,30566
2024-07-29,1,1,0.89,0.9214,79384
2024-07-30,0.91,0.948,0.880101,0.893,34176
2024-07-31,0.91,0.946,0.89,0.9201,59553
2024-08-01,0.943,0.998,0.9399,0.978,56413
2024-08-02,0.9401,0.978,0.9,0.9,56016
2024-08-05,0.86,0.8973,0.81,0.8615,131459
