date,open,high,low,close,volume
2024-03-01,54.6,56.1,52.5,56.1,1822.1667
2024-03-04,54.9,56.1,52.5,54.3,3433.3
2024-03-05,54.9,54.9,51.6,52.8,3883.6333
2024-03-06,54.3,54.561,48,50.1,3674.9667
2024-03-07,50.7,51.303,49.5,50.4,1013.8667
2024-03-08,52.2,52.2,46.8,48.9,3727.9667
2024-03-11,50.7,50.7,45.9,47.4,2617.6667
2024-03-12,48,48,44.4,45,1880.2333
2024-03-13,47.1,47.1,42.6,43.2,2445.8667
2024-03-14,44.1,44.1,40.8,42,1988.6
2024-03-15,42,45.6,41.1,45.6,2377.2333
2024-03-18,45.6,46.05,44.1,45,1452.3333
2024-03-19,44.4,47.7,42,45,4963.4667
2024-03-20,44.4,45.6,43.713,45.6,585.4667
2024-03-21,45.3,47.7,44.1,47.1,1410.3
2024-03-22,47.4,48.6,45,46.5,3036.5667
2024-03-25,48.3,48.3,44.7,45.3,1783.0667
2024-03-26,46.2,48,44.4,48,1929.4667
2024-03-27,45,46.2,43.8,45,2633.6667
2024-03-28,45,51,45,49.8,4569.7667
2024-04-01,51.6,51.609,45.9,48,4085.0333
2024-04-02,49.5,50.1,45.3,47.4,3423.5667
2024-04-03,47.1,47.4,43.2,43.2,3776.3333
2024-04-04,44.1,46.8,41.7,42.9,4486.4667
2024-04-05,42.3,44.097,41.4,41.4,1869.7333
2024-04-08,43.5,45.6,41.4,44.1,3772.8667
2024-04-09,44.4,44.7,42,42.3,5979.2333
2024-04-10,41.7,44.274,41.4,41.4,1800
2024-04-11,42,42.9,41.1,41.4,1709.4667
2024-04-12,41.7,43.191,40.2,40.8,1172.8333
2024-04-15,41.7,42,38.7,39,2169.5667
2024-04-16,38.7,39.6,36,38.1,1521.5667
2024-04-17,38.1,40.2,37.746,37.8,1044.1333
2024-04-18,37.5,38.7,37.5,38.1,1159.3333
2024-04-19,37.2,38.55,36.9,36.93,1214.6
2024-04-22,36.9,37.797,36.303,36.9,429.9333
2024-04-23,36.9,38.34,36,36.9,2437.5
2024-04-24,37.8,37.8,36,36.6,1874.6667
2024-04-25,35.7,37.05,34.5,34.8,1570.2667
2024-04-26,36.3,38.1,34.8,36.6,3495.9333
2024-04-29,37.2,37.5,35.4,36.9,1737.5333
2024-04-30,36,37.2,36,36,1283.4667
2024-05-01,36.9,36.9,35.7,36.3,1191.2667
2024-05-02,35.7,36.375,35.7,35.7,1077.0667
2024-05-03,35.703,36.9,35.7,36,1030.4333
2024-05-06,36.3,37.2,36,36.3,3072.3333
2024-05-07,36.9,37.5,36.6,36.9,1203.9
2024-05-08,37.5,38.1,35.4,36.9,861.4333
2024-05-09,36.9,37.2,36.429,36.9,606.3333
2024-05-10,37.2,37.8,36.603,36.9,554.3333
2024-05-13,35.7,37.5,35.1,35.4,4884.4667
2024-05-14,36.9,37.335,35.1,36.9,2866.8333
2024-05-15,36.6,37.419,35.403,35.403,1427.7
2024-05-16,36,36.243,35.4,35.7,934.5333
2024-05-17,36.3,36.3,34.5,35.4,3626.9
2024-05-20,35.4,36,34.2,34.5,1207.2333
2024-05-21,35.1,35.1,33.3,34.5,2082.9333
2024-05-22,34.5,34.8,33,33.9,2098.1333
2024-05-23,34.8,34.8,31.8,32.4,2070.9
2024-05-24,32.4,33.9,32.4,33.3,1011
2024-05-28,33.3,35.655,33.3,34.326,1563.3333
2024-05-29,34.8,34.8,33.03,34.2,1229.7667
2024-05-30,33.9,35.1,32.7,34.8,2137.9
2024-05-31,31.8,33,29.25,29.25,8165.6333
2024-06-03,29.7,31.182,27.597,28.98,3612.6
2024-06-04,28.914,28.917,27.6,28.5,1157.3333
2024-06-05,28.2,29.994,27.597,29.4,1297.3333
2024-06-06,29.4,29.4,27.3,28.188,1137.5333
2024-06-07,28.752,29.616,27,27.6,1623.5
2024-06-10,27.3,28.2,26.1,27.3,1375.8
2024-06-11,27.6,28.197,26.4,26.4,2620.1
2024-06-12,27.3,28.2,26.1,27.3,1716.3667
2024-06-13,27.3,32.4,27.3,27.9,8170.7
2024-06-14,28.2,30,25.503,26.7,4443.8
2024-06-17,27.177,27.78,26.1,26.1,3077.5667
2024-06-18,26.4,26.997,25.053,25.11,1708.6
2024-06-20,25.2,25.2,23.4,23.988,2459.7667
2024-06-21,23.76,25.689,22.2,22.8,2876.1667
2024-06-24,24,24.24,21.96,22.26,1396.3667
2024-06-25,22.83,23.4409,21.303,22.2,1915.6333
2024-06-26,24.3,24.3,21.9,22.3227,1307.5667
2024-06-27,22.8,22.8,22.2,22.5,498.0667
2024-06-28,23.07,23.07,21.933,22.77,435.6667
2024-07-01,23.214,24,21.99,22.35,1312.7
2024-07-02,23.37,23.388,22.203,22.29,533
2024-07-03,23.37,24.3,21.615,22.7865,655.7
2024-07-05,23.628,23.994,22.188,22.254,1185.8
2024-07-08,23.811,23.811,21.909,21.924,855.0333
2024-07-09,21.909,22.86,21,21.303,1870.6333
2024-07-10,21.72,22.8,21,22.2,1861.0333
2024-07-11,22.5,22.5,21.315,21.453,1295.4667
2024-07-12,21.9,22.2,20.1,21.3,2937.9667
2024-07-15,21.6,21.6,20.13,21.09,2654.8667
2024-07-16,21.6,21.6,20.13,20.16,2984.1
2024-07-17,21.3,21.3,19.5,19.95,5622.2667
2024-07-18,19.95,21,18.906,19.65,4844.2333
2024-07-19,18.936,19.8,17.7,19.8,4044.9333
2024-07-22,19.8,19.8,18.42,18.582,3171.0333
2024-07-23,18.87,19.203,18.156,18.444,2088.4
2024-07-24,19.5,19.5,17.4,18.33,5394.4333
2024-07-25,18,18.897,17.052,17.052,2540.4
2024-07-26,17.973,18,16.5,17.04,3179.7
2024-07-29,17.7,17.7,16.53,17.01,1634.3333
2024-07-30,16.896,17.25,16.518,17.079,2965.4667
2024-07-31,17.013,17.4,16.5,17.007,4123.5
2024-08-01,17.1,17.4,15.543,15.696,2595.5667
2024-08-02,15.3,15.447,14.1,14.67,4501.7667
2024-08-05,14.4,14.7,12,12.42,4800.7
2024-08-06,12.915,14.394,12.6,13.71,4697.6333
2024-08-07,14.4,15.3,14.1,14.97,3271.9667
2024-08-08,15,17.1,13.83,16.65,3431
2024-08-09,16.2,16.2,15.03,15.396,1331.1
2024-08-12,15.645,15.645,14.163,14.163,1037.3667
2024-08-13,14.46,14.724,14.163,14.25,1425.0667
2024-08-14,15.417,16.065,14.25,14.43,1636.3
2024-08-15,15,15.156,14.25,14.526,1713.4
2024-08-16,15.219,15.3,12.42,15,2200.9
2024-08-19,15,15,13.104,14.55,4250.8333
2024-08-20,15,15.132,13.506,14.556,2039.1333
2024-08-21,13.65,14.967,13.5,13.854,17108.6667
2024-08-22,13.437,14.811,11.589,12.12,15147.7333
2024-08-23,12.9,12.9,11.58,12.03,3227.1333
2024-08-26,12.6,12.747,11.61,11.841,3373.3667
2024-08-27,12.3,12.3,11.403,11.7,4753.1
2024-08-28,11.433,12.3,11.433,12.15,12543.5667
2024-08-29,11.787,12.267,11.658,11.919,1997.3333
2024-08-30,11.934,12.393,11.34,12.18,211754.8667
2024-09-03,14.1,14.28,10.509,12.219,624090.6
2024-09-04,11.487,12.57,10.851,11.397,39190.9
2024-09-05,11.67,12.408,10.95,11.352,34809.1333
2024-09-06,11.4,11.67,10.29,10.887,12094.8333
2024-09-09,10.56,10.851,10.2,10.464,13386.9333
2024-09-10,10.56,10.995,9.948,10.797,5290.3
2024-09-11,10.734,11.1,10.35,11.07,7293.7667
2024-09-12,11.097,11.1,10.503,10.842,7199.3667
2024-09-13,10.563,11.211,10.35,11.211,6257.9333
2024-09-16,11.226,12,11.001,11.07,3865.1333
2024-09-17,11.187,12.153,11.187,12.144,6799.7
2024-09-18,12.3,12.3,11.679,12.24,5648.6667
2024-09-19,12.24,12.756,11.706,12,7151.6667
2024-09-20,12,12.597,11.7,11.97,2482.1667
2024-09-23,11.439,12.441,11.4,12.432,2528.7667
2024-09-24,12.435,12.435,11.88,12.03,1128.4333
2024-09-25,12.3,12.6,9.9,12.165,5605
2024-09-26,12,12.165,11.7,12.003,1764.1
2024-09-27,11.73,12.6,11.73,12.156,5294.0333
2024-09-30,12.156,12.45,11.883,12.327,1758.8667
2024-10-01,12.327,12.327,11.85,11.85,1752.4667
2024-10-02,11.85,12.297,11.55,12.117,1177.9
2024-10-03,12,12,11.076,11.628,2687.8667
2024-10-04,11.469,11.628,10.65,11.16,1331.5
2024-10-07,11.16,11.16,10.596,10.875,3029.1
2024-10-08,10.89,11.04,10.215,10.746,2407.2667
2024-10-09,11.064,11.064,10.503,11.01,819.8667
2024-10-10,10.755,11.076,10.755,11.004,749.5667
2024-10-11,10.5,11.4,10.5,10.98,1907.8667
2024-10-14,11.1,11.4,10.95,11.388,968.6
2024-10-15,11.1,11.397,10.464,10.812,3586.0667
2024-10-16,10.521,11.1,10.5,11.04,1450.6667
2024-10-17,10.8,11.34,10.8,10.8,2766.4667
2024-10-18,10.83,12,10.8,10.9283,5022.4
2024-10-21,11.163,11.667,10.8,11.667,3692.8
2024-10-22,11.67,12.15,11.151,12,5164.1667
2024-10-23,11.7,12.231,11.403,11.883,2796.0333
2024-10-24,12,12,11.121,11.55,1177.3667
2024-10-25,11.13,11.97,10.95,11.628,1305.6
2024-10-28,11.4,11.79,10.824,11.19,2749
2024-10-29,11.19,11.685,10.92,11.685,1853.7
2024-10-30,11.274,11.703,10.95,11.7,1586.4
2024-10-31,11.145,11.688,11.1,11.421,2296.7667
2024-11-01,11.208,11.43,11.1,11.412,1630.8
2024-11-04,11.7,11.991,11.1,11.934,1608.1333
2024-11-05,11.877,11.877,11.4,11.478,696.3
2024-11-06,12,12,11.364,11.988,2753.9667
2024-11-07,11.766,11.997,11.4,11.6655,2358.4667
2024-11-08,12,12,11.4,11.55,3074.0667
2024-11-11,12.486,12.486,11.415,11.415,4086.7
2024-11-12,11.88,12.03,11.4,11.7278,1908.6
2024-11-13,12.36,12.36,11.4,11.412,1477.8667
2024-11-14,11.697,11.697,11.172,11.559,1748.9
2024-11-15,11.16,11.556,10.668,10.9485,3129.5667
2024-11-18,11.55,11.5797,10.2,10.32,14949.4667
2024-11-19,10.2,11.1,10.2,10.776,10146.8333
2024-11-20,9.564,10.0284,8.103,8.193,40379.2
2024-11-21,9.054,9.054,6.948,7.32,26878.4
2024-11-22,4.32,5.7,3.9,5.7,404254.5333
2024-11-25,5.4,5.7,4.8,5.526,38337.7
2024-11-26,5.55,5.556,5.109,5.34,20899.1333
2024-11-27,5.7,5.7,5.175,5.37,35516.4
2024-11-29,5.7,5.7,5.406,5.463,13221.5333
2024-12-02,5.628,5.973,5.253,5.52,43464.9
2024-12-03,5.634,5.967,5.4,5.601,40494.6333
2024-12-04,5.997,5.997,5.601,5.64,38755.2667
2024-12-05,5.7,6,5.61,5.817,19813.6333
2024-12-06,5.889,6.111,5.79,5.847,28669.2
2024-12-09,5.985,6.3,5.721,6.075,37305.5
2024-12-10,6.072,6.108,5.61,5.679,18712.2667
2024-12-11,5.55,5.697,5.283,5.517,14907.8667
2024-12-12,5.445,6.519,5.4,5.775,39653.6333
2024-12-13,5.94,5.94,5.55,5.79,10049.4
2024-12-16,5.79,5.967,5.55,5.676,14897.3333
2024-12-17,5.91,5.91,5.4,5.628,19506.6333
2024-12-18,5.55,5.682,5.346,5.364,17732.5333
2024-12-19,5.397,5.397,5.1,5.106,1636596.5667
2024-12-20,8.1,11.685,6.318,8.37,10208073.1
2024-12-23,7.134,7.731,6.813,7.464,273642.0667
2024-12-24,7.14,7.5,6.33,7.5,123956.5
2024-12-26,7.2,8.085,7.02,7.521,81700.7667
2024-12-27,7.521,7.95,6.759,7.23,81531.2333
2024-12-30,7.2,7.62,6.96,7.086,52665.2
2024-12-31,6.978,7.14,6.51,6.759,32329.0333
2025-01-02,6.927,7.2,6.663,7.065,30059.8667
2025-01-03,7.152,7.173,6.66,7.083,67456.3667
2025-01-06,6.903,7.35,6.66,6.828,56078.5
2025-01-07,6.84,6.9555,6.615,6.816,24841.1
2025-01-08,6.777,6.777,6.321,6.396,27916.4667
2025-01-10,6.825,6.9,6.411,6.6,58673.1
2025-01-13,6.51,6.6,6.153,6.345,23193.5667
2025-01-14,6.57,6.57,6.024,6.09,25887.6667
2025-01-15,6.06,6.357,6.015,6.183,17451.4
2025-01-16,6.033,6.288,6.033,6.21,8941.4333
2025-01-17,6.3,6.417,6,6.417,8811.0667
2025-01-21,6.888,6.9,6.357,6.531,11751.9
2025-01-22,6.6,6.6,6.156,6.267,12830.7667
2025-01-23,6.588,6.702,6.054,6.162,17559.8333
2025-01-24,6.3,6.39,5.85,6.39,21150.6
2025-01-27,6.3,6.3,6,6.102,14117.5667
2025-01-28,6,6.06,5.496,5.754,20118.8667
2025-01-29,5.7,5.7,4.956,5.181,28236.2333
2025-01-30,5.262,5.3997,5.07,5.073,18779.1
2025-01-31,5.1,5.3997,5.1,5.28,15378.4
2025-02-03,5.43,5.448,5.166,5.286,9871.6333
2025-02-04,5.4,5.58,5.28,5.403,8267.3
2025-02-05,5.403,5.694,5.337,5.52,8465.2667
2025-02-06,5.673,5.832,5.412,5.562,13458.8667
2025-02-07,5.43,5.529,5.244,5.34,10952.9333
2025-02-10,5.34,5.514,5.19,5.499,8621.3
2025-02-11,5.529,5.529,5.25,5.403,11109.4667
2025-02-12,6.297,7.761,6.06,6.864,4313945.5
2025-02-13,5.706,6.537,5.7,6.261,290589.9
2025-02-14,5.145,5.631,5.04,5.4,81844.6667
2025-02-18,6,6,5.454,5.808,176757.7
2025-02-19,4.611,4.62,4.035,4.497,173223.4667
2025-02-20,7.134,7.65,5.313,5.7,6066380.8
2025-02-21,5.19,5.4,4.575,4.863,296422.2
2025-02-24,4.83,4.83,4.083,4.314,101432.7
2025-02-25,4.245,4.245,3.3,3.312,114868.7333
2025-02-26,3.31,3.81,3.11,3.64,241028
2025-02-27,3.59,3.62,3.12,3.25,139023
2025-02-28,3.16,3.22,3.05,3.19,39471
