date,open,high,low,close,volume
2024-03-01,10.83,10.83,10.825,10.83,6054
2024-03-05,10.825,10.83,10.825,10.83,9638
2024-03-06,10.82,10.821,10.82,10.82,3042
2024-03-07,10.83,10.83,10.83,10.83,28646
2024-03-13,10.84,10.84,10.83,10.83,25988
2024-03-18,10.85,10.85,10.85,10.85,305
2024-04-03,10.85,10.85,10.85,10.85,650
2024-04-04,10.84,10.84,10.84,10.84,100
2024-04-05,10.84,10.84,10.84,10.84,102
2024-04-08,10.86,10.86,10.84,10.84,15907
2024-04-09,10.85,10.85,10.85,10.85,5100
2024-04-11,10.87,10.87,10.85,10.86,13964
2024-04-12,10.86,10.86,10.86,10.86,321
2024-04-15,10.86,10.86,10.86,10.86,1115
2024-04-16,10.87,10.92,10.87,10.92,160115
2024-04-22,10.92,10.93,10.9,10.93,3500
2024-04-23,10.94,10.94,10.94,10.94,110
2024-04-24,10.94,10.95,10.94,10.95,64058
2024-04-25,10.96,10.96,10.96,10.96,1354
2024-04-26,11.0606,11.8336,10.9,11,3270
2024-04-30,11,11,10.91,10.91,1827
2024-05-02,11,11.01,11,11.01,1194
2024-05-07,11,11,11,11,101
2024-05-08,10.94,10.94,10.94,10.94,400
2024-05-10,10.9401,10.9401,10.9401,10.9401,100
2024-05-15,10.94,10.95,10.94,10.95,598
2024-05-21,11,11,11,11,368
2024-05-23,10.9499,10.96,10.93,10.96,2103
2024-06-04,11,11,11,11,160
2024-06-06,10.95,10.95,10.95,10.95,350
2024-06-10,10.95,10.95,10.95,10.95,659
2024-06-18,11,11,11,11,121
2024-07-15,11.02,11.02,11.02,11.02,591
2024-07-18,11.0197,11.0198,11.0197,11.0198,405
2024-07-22,11.02,11.03,10.99,10.99,2651
2024-07-24,10.93,10.93,10.93,10.93,363
2024-08-02,10.975,10.975,10.975,10.975,100
2024-08-13,10.93,10.93,10.93,10.93,104
2024-08-15,11,11,11,11,208
2024-08-19,10.93,10.93,10.92,10.92,359
2024-08-20,11.0399,11.0399,11.0398,11.0398,408
2024-08-22,11.04,11.04,11.04,11.04,200
2024-08-23,11.04,11.04,11.04,11.04,200
2024-08-26,10.98,10.99,10.98,10.99,1075
2024-08-27,11.03,11.07,11.03,11.07,4132
2024-09-03,11.07,11.07,11.07,11.07,306
2024-09-12,11,11,11,11,450
2024-09-24,11.1,11.1,11.1,11.1,2000
2024-09-25,10.99,11.1,10.99,11.1,302
2024-10-08,11.02,11.02,11,11,1500
2024-11-18,11.01,11.05,11.01,11.05,700
2024-11-21,11.09,11.1,11.09,11.1,1723
2024-11-27,11.1,11.1,11.1,11.1,204
2024-12-06,11.15,11.2,11.12,11.17,21900
2024-12-09,11.16,11.16,11.16,11.16,144734
2024-12-10,11.15,11.26,11.15,11.26,1011
2024-12-17,11.28,11.5,11.27,11.5,1105
2024-12-23,12,12,11.7,11.71,894
2024-12-24,11.38,11.5,11.19,11.5,2110
2024-12-26,11.98,11.98,11.35,11.35,807
2024-12-27,11.5,11.5,11.5,11.5,300
2024-12-30,12.4,12.455,11.17,12.09,2163
2025-01-07,11.26,11.8,11.26,11.8,1014
2025-01-08,12.2,12.2,12.04,12.04,354
2025-01-21,11.41,11.99,11.37,11.4,23237
2025-01-22,11.5,11.5,11.37,11.4,14353
2025-01-23,11.44,12.8,11.4,11.44,14630
2025-01-24,11.41,11.9,11.41,11.44,32970
2025-01-27,11.4,11.75,11.385,11.6,44508
2025-01-28,11.72,11.75,11.45,11.45,5473
2025-01-29,11.55,11.55,11.55,11.55,372
2025-01-30,11.45,11.55,11.45,11.53,2087
2025-01-31,11.45,11.53,11.45,11.53,1074
2025-02-05,11.45,11.45,11.3999,11.45,17739
2025-02-06,11.44,11.44,11.44,11.44,5840
2025-02-10,11.43,11.43,11.39,11.43,1670
2025-02-11,11.43,11.44,11.43,11.44,11915
2025-02-12,11.75,11.75,11.42,11.55,391
2025-02-13,11.54,11.75,11.42,11.555,499
2025-02-14,11.45,11.65,11.45,11.65,768
