date,open,high,low,close,volume
2024-03-01,2.78,2.94,2.66,2.88,59257
2024-03-04,2.92,2.92,2.7984,2.87,29669
2024-03-05,2.87,3.01,2.8249,2.99,36767
2024-03-06,3.03,3.17,2.86,2.93,130697
2024-03-07,3.03,3.105,2.83,2.88,112791
2024-03-08,2.86,2.93,2.64,2.81,101280
2024-03-11,2.8,2.87,2.56,2.65,94226
2024-03-12,2.72,2.7399,2.65,2.65,69204
2024-03-13,2.61,2.75,2.61,2.66,49652
2024-03-14,2.72,2.72,2.5,2.53,153244
2024-03-15,2.54,2.73,2.49,2.63,105426
2024-03-18,2.61,2.6272,2.465,2.48,98148
2024-03-19,2.49,2.7062,2.4601,2.58,112908
2024-03-20,2.59,2.62,2.52,2.52,19897
2024-03-21,2.52,2.58,2.4201,2.46,100587
2024-03-22,2.46,2.5,2.43,2.46,68970
2024-03-25,2.48,2.5,2.18,2.2,317014
2024-03-26,2.25,2.25,1.77,1.89,593580
2024-03-27,1.86,1.99,1.795,1.95,221261
2024-03-28,1.95,2.07,1.89,1.94,80459
2024-04-01,1.9,1.9234,1.85,1.89,115511
2024-04-02,1.86,1.87,1.7915,1.86,61121
2024-04-03,1.85,1.86,1.68,1.72,247199
2024-04-04,1.72,1.84,1.72,1.78,100892
2024-04-05,1.76,1.79,1.635,1.72,331586
2024-04-08,1.7,1.75,1.4697,1.64,246841
2024-04-09,1.62,1.63,1.48,1.51,177790
2024-04-10,1.51,1.67,1.3804,1.56,362422
2024-04-11,1.61,1.61,1.4,1.46,176932
2024-04-12,1.45,1.53,1.435,1.48,96702
2024-04-15,1.48,1.4883,1.44,1.48,106266
2024-04-16,1.48,1.568,1.44,1.53,47210
2024-04-17,1.54,1.56,1.45,1.5,72449
2024-04-18,1.48,1.56,1.47,1.54,29387
2024-04-19,1.54,1.73,1.52,1.65,144739
2024-04-22,1.63,1.77,1.62,1.7,90593
2024-04-23,1.7,1.7181,1.62,1.66,52429
2024-04-24,1.67,1.82,1.62,1.7,72738
2024-04-25,1.77,1.95,1.77,1.87,177491
2024-04-26,1.87,2.06,1.8416,1.97,119461
2024-04-29,1.95,2.1,1.84,1.98,160864
2024-04-30,1.97,2.07,1.88,1.99,125861
2024-05-01,1.99,2.04,1.97,1.97,55694
2024-05-02,2,2.1,1.93,2.06,76121
2024-05-03,2.051,2.11,2.02,2.05,47043
2024-05-06,2.03,2.0331,1.96,1.96,70032
2024-05-07,1.95,1.9999,1.81,1.82,96966
2024-05-08,1.78,1.9502,1.78,1.85,40948
2024-05-09,1.9,1.935,1.84,1.9,55048
2024-05-10,1.88,1.95,1.8001,1.84,72040
2024-05-13,1.87,1.96,1.87,1.9,91869
2024-05-14,1.91,2,1.8956,1.9,160719
2024-05-15,1.92,1.97,1.84,1.86,101520
2024-05-16,1.88,1.935,1.86,1.89,124558
2024-05-17,1.89,1.94,1.8,1.81,36677
2024-05-20,1.82,1.82,1.71,1.72,108983
2024-05-21,1.71,1.75,1.66,1.67,142296
2024-05-22,1.69,1.7,1.65,1.67,185289
2024-05-23,1.6603,1.69,1.55,1.68,327717
2024-05-24,1.74,1.84,1.68,1.71,119318
2024-05-28,1.74,1.7999,1.69,1.74,136344
2024-05-29,1.69,1.75,1.68,1.69,57444
2024-05-30,1.72,1.825,1.7,1.78,121335
2024-05-31,1.81,1.9,1.76,1.88,80682
2024-06-03,1.93,1.9589,1.89,1.94,77444
2024-06-04,1.95,2,1.8,1.84,119838
2024-06-05,1.8849,1.95,1.8436,1.9301,41561
2024-06-06,1.95,2.03,1.91,1.93,126474
2024-06-07,1.93,2,1.92,1.94,13948
2024-06-10,1.93,1.95,1.87,1.87,31054
2024-06-11,1.9,1.9,1.76,1.79,55179
2024-06-12,1.78,1.84,1.74,1.74,35657
2024-06-13,1.8,1.8,1.74,1.77,9620
2024-06-14,1.78,1.8,1.7,1.71,37122
2024-06-17,1.695,1.81,1.695,1.77,27123
2024-06-18,1.7368,1.83,1.61,1.63,120257
2024-06-20,1.64,1.65,1.53,1.53,90973
2024-06-21,1.56,1.5609,1.48,1.5,51469
2024-06-24,1.48,1.5,1.4,1.42,85659
2024-06-25,1.44,1.4497,1.29,1.34,212095
2024-06-26,1.37,1.45,1.2615,1.43,461335
2024-06-27,1.41,1.45,1.3701,1.42,86181
2024-06-28,1.42,1.45,1.39,1.41,64673
2024-07-01,1.39,1.42,1.36,1.4,87597
2024-07-02,1.4,1.4,1.27,1.28,134901
2024-07-03,1.28,1.32,1.25,1.27,76445
2024-07-05,1.33,1.35,1.2501,1.29,144294
2024-07-08,1.28,1.32,1.15,1.17,179183
2024-07-09,1.16,1.18,1.085,1.12,403426
2024-07-10,1.12,1.15,1.04,1.04,217985
2024-07-11,1.05,1.2,1.04,1.16,141182
2024-07-12,1.22,1.43,1.17,1.42,512344
2024-07-15,1.4,1.4332,1.35,1.37,93142
2024-07-16,1.36,1.44,1.35,1.39,100146
2024-07-17,1.39,1.42,1.34,1.4,36909
2024-07-18,1.42,1.45,1.3039,1.35,55705
2024-07-19,1.37,1.38,1.3,1.35,34945
2024-07-22,1.36,1.36,1.28,1.3,59009
2024-07-23,1.29,1.31,1.21,1.23,51249
2024-07-24,1.25,1.3608,1.2434,1.28,116063
2024-07-25,1.25,1.4,1.2,1.38,111081
2024-07-26,1.4,1.48,1.3,1.43,123144
2024-07-29,1.44,1.5,1.3,1.35,95091
2024-07-30,1.35,1.39,1.29,1.31,60469
2024-07-31,1.34,1.405,1.29,1.33,124713
2024-08-01,1.36,1.42,1.28,1.35,131187
2024-08-02,1.32,1.45,1.25,1.4,130047
2024-08-05,1.39,1.58,1.362,1.55,287001
2024-08-06,1.59,1.64,1.52,1.57,102370
2024-08-07,1.56,1.6,1.48,1.53,78829
2024-08-08,1.47,1.53,1.41,1.43,121672
2024-08-09,1.41,1.499,1.075,1.13,411464
2024-08-12,1.19,1.23,1.07,1.09,145599
2024-08-13,1.09,1.12,1.05,1.1,136142
2024-08-14,1.11,1.12,1,1,203228
2024-08-15,1.03,1.05,1,1.02,117228
2024-08-16,1.02,1.08,1.02,1.08,85264
2024-08-19,1.09,1.19,1.0801,1.14,137238
2024-08-20,1.13,1.19,1.1,1.1,26478
2024-08-21,1.12,1.2,1.12,1.19,108906
2024-08-22,1.29,1.5,1.1,1.25,587568
2024-08-23,1.22,1.25,1.17,1.2,110027
2024-08-26,1.22,1.28,1.21,1.25,102763
2024-08-27,1.25,1.2995,1.17,1.19,45348
2024-08-28,1.17,1.23,1.15,1.19,88455
2024-08-29,1.19,1.19,1.13,1.15,37623
2024-08-30,1.13,1.1987,1.13,1.16,31482
2024-09-03,1.16,1.1631,1.12,1.12,42761
2024-09-04,1.12,1.17,1.06,1.06,59825
2024-09-05,1.08,1.13,1.05,1.08,83920
2024-09-06,1.09,1.091,1.05,1.07,40286
2024-09-09,1.08,1.09,0.99,1.04,146401
2024-09-10,1.05,1.11,1.03,1.04,101736
2024-09-11,1.04,1.0601,1.03,1.06,29742
2024-09-12,1.05,1.12,1.05,1.09,17627
2024-09-13,1.12,1.18,1.1,1.17,64748
2024-09-16,1.17,1.2,1.14,1.18,73012
2024-09-17,1.1899,1.27,1.14,1.19,95633
2024-09-18,1.2299,1.255,1.19,1.19,58315
2024-09-19,1.17,1.2,1.13,1.16,48362
2024-09-20,1.1501,1.18,1.13,1.15,38971
2024-09-23,1.14,1.14,1.1099,1.13,27030
2024-09-24,1.1519,1.16,1.07,1.11,46982
2024-09-25,1.13,1.14,1.1,1.12,35978
2024-09-26,1.124,1.124,1.0801,1.12,36838
2024-09-27,1.14,1.2101,1.1001,1.19,70131
2024-09-30,1.21,1.23,1.18,1.2,33253
2024-10-01,1.195,1.2086,1.175,1.19,13791
2024-10-02,1.21,1.21,1.11,1.11,35406
2024-10-03,1.13,1.185,1.1,1.12,32601
2024-10-04,1.11,1.19,1.08,1.1,30091
2024-10-07,1.1,1.1,1.06,1.09,57138
2024-10-08,1.11,1.11,1.06,1.08,22533
2024-10-09,1.0856,1.11,1.0615,1.09,25753
2024-10-10,1.07,1.09,1.07,1.09,23306
2024-10-11,1.1,1.17,1.06,1.15,99274
2024-10-14,1.2,1.208,1.1532,1.18,66930
2024-10-15,1.1603,1.26,1.14,1.21,115517
2024-10-16,1.23,1.23,1.15,1.2,38578
2024-10-17,1.17,1.2199,1.14,1.19,70133
2024-10-18,1.21,1.21,1.14,1.17,93605
2024-10-21,1.14,1.18,1.1206,1.15,12895
2024-10-22,1.17,1.18,1.12,1.13,72020
2024-10-23,1.14,1.48,1.13,1.39,722173
2024-10-24,1.42,1.42,1.168,1.19,214798
2024-10-25,1.16,1.3,1.15,1.17,88185
2024-10-28,1.21,1.29,1.1465,1.17,69151
2024-10-29,1.24,1.26,1.19,1.23,55591
2024-10-30,1.231,1.25,1.18,1.18,58368
2024-10-31,1.22,1.27,1.18,1.21,17725
2024-11-01,1.19,1.235,1.18,1.22,61093
2024-11-04,1.2,1.23,1.17,1.19,138389
2024-11-05,1.23,1.23,1.14,1.14,109881
2024-11-06,1.19,1.19,0.9701,0.9749,351026
2024-11-07,0.99,1.04,0.85,0.8601,355336
2024-11-08,0.86,0.9479,0.7302,0.86,385658
2024-11-11,0.88,0.884001,0.701,0.765,201278
2024-11-12,0.7729,0.875001,0.72,0.73,142105
2024-11-13,0.7359,0.7941,0.7,0.788,194051
2024-11-14,0.7832,0.8999,0.7832,0.874,103415
2024-11-15,0.9,0.92,0.849,0.8668,50629
2024-11-18,0.84,0.91,0.84,0.868,84388
2024-11-19,0.85,0.876,0.8,0.823,68462
2024-11-20,0.82,0.842,0.7801,0.84,115220
2024-11-21,0.8148,0.83,0.731,0.7483,132824
2024-11-22,0.74,0.798,0.701,0.7631,266344
2024-11-25,0.8012,0.827,0.75,0.76,88085
2024-11-26,0.7789,0.845,0.75,0.84,99630
2024-11-27,0.84,0.982,0.84,0.9377,192592
2024-11-29,0.9319,0.9562,0.85,0.89,176554
2024-12-02,0.8787,0.92,0.8001,0.8149,172969
2024-12-03,0.845,0.869,0.7201,0.798,345260
2024-12-04,0.771,0.83,0.76,0.8121,98192
2024-12-05,0.8022,0.829,0.74,0.76,53641
2024-12-06,0.74,0.7999,0.74,0.7799,33005
2024-12-09,0.8078,0.82,0.774,0.79,77106
2024-12-10,0.8015,0.86,0.7007,0.7444,139693
2024-12-11,0.77,0.77,0.7201,0.7201,40773
2024-12-12,0.7201,0.748,0.7122,0.7302,114108
2024-12-13,0.745,0.745,0.725,0.7399,20785
2024-12-16,0.73,0.75,0.7027,0.7247,142389
2024-12-17,0.72,0.7499,0.7,0.7116,1004189.0
2024-12-18,0.702,0.733,0.6153,0.622,725875
2024-12-19,0.6964,0.7,0.4899,0.5081,826951
2024-12-20,0.52,0.549,0.4319,0.549,836909
2024-12-23,0.59,0.61,0.5487,0.61,337860
2024-12-24,0.6199,0.699,0.6,0.66,155471
2024-12-26,0.69,0.797,0.65,0.7879,306045
2024-12-27,0.76,0.78,0.701201,0.7201,220468
2024-12-30,0.6985,0.7724,0.6777,0.713,349180
2024-12-31,0.67,0.703,0.6307,0.6574,161067
2025-01-02,0.6774,0.7097,0.642,0.6787,96452
2025-01-03,0.67,0.7325,0.641,0.7233,125055
2025-01-06,0.737,0.7768,0.71,0.738,70783
2025-01-07,0.759,0.7873,0.73,0.766,218714
2025-01-08,0.8,1.0394,0.7601,0.9472,816871
2025-01-10,0.95,0.95,0.7518,0.7715,331002
2025-01-13,0.7484,0.8826,0.6529,0.6909,172850
2025-01-14,0.6816,0.744999,0.656,0.7,137508
2025-01-15,0.7064,0.7308,0.678,0.691,31142
2025-01-16,0.67,0.6838,0.6303,0.6649,110687
2025-01-17,0.655,0.7,0.641,0.6538,81087
2025-01-21,0.7102,0.72,0.6645,0.686,62286
2025-01-22,0.67,0.7047,0.67,0.6795,61119
2025-01-23,0.71,0.73,0.68,0.7102,69943
2025-01-24,0.69,0.7493,0.69,0.7201,50030
2025-01-27,0.7,0.7404,0.69,0.71,32892
2025-01-28,0.6903,0.749,0.652,0.6952,21965
2025-01-29,0.68,0.689999,0.63,0.631,127038
2025-01-30,0.6221,0.7,0.615,0.7,110543
2025-01-31,0.679,0.7197,0.66,0.67,91785
2025-02-03,0.671,0.6799,0.6499,0.6499,56973
2025-02-04,0.65,0.7102,0.65,0.7102,142773
2025-02-05,0.72,0.88,0.702,0.87,189292
2025-02-06,0.89,0.985,0.8055,0.94,340402
2025-02-07,0.95,0.99,0.8143,0.94,94728
2025-02-10,0.95,1.06,0.9229,1.059,232270
2025-02-11,1.06,1.06,0.9425,1,211376
2025-02-12,1.01,1.03,0.96,0.96,122631
2025-02-13,0.97,1.155,0.97,1.15,254673
2025-02-14,1.16,1.16,0.786,0.8369,454282
2025-02-18,0.78,0.81,0.74,0.75,202517
2025-02-19,0.75,0.809,0.75,0.78,178562
2025-02-20,0.81,0.8399,0.7142,0.7301,136389
2025-02-21,0.7588,0.77135,0.701,0.7144,91266
2025-02-24,0.71,0.749999,0.6901,0.7178,121988
2025-02-25,0.73,0.744,0.68,0.7302,258348
2025-02-26,0.7188,0.77,0.70155,0.7346,117933
2025-02-27,0.75,0.77,0.6867,0.6907,84973
2025-02-28,0.7,0.72,0.6508,0.69,86428
