date,open,high,low,close,volume
2024-03-01,45,45.235,43.02,43.57,184962
2024-03-04,44.33,44.9,43.35,43.97,162899
2024-03-05,43.68,44.26,42.7,43.22,147488
2024-03-06,43.5,44.24,43.1,43.82,118802
2024-03-07,43.61,45.39,43.61,44.71,185454
2024-03-08,45.05,45.7126,44.47,44.72,227854
2024-03-11,44.73,44.97,42,42.21,244842
2024-03-12,42.11,42.58,41.6001,42.04,107539
2024-03-13,41.86,42.74,40.62,41,123930
2024-03-14,40.51,40.92,39.5,40.09,180447
2024-03-15,39.65,40.64,39.49,39.88,360868
2024-03-18,39.91,40.41,39.42,39.57,113742
2024-03-19,39.54,40.67,39.37,39.97,101500
2024-03-20,39.75,42.16,39.5712,41.55,124805
2024-03-21,41.82,42.44,40.57,40.92,141283
2024-03-22,41.02,41.11,39.51,39.67,106804
2024-03-25,39.8,40.2,39.145,39.29,76903
2024-03-26,39.77,40.12,39.49,39.5,92318
2024-03-27,40.22,41.19,39.77,41.12,145125
2024-03-28,41.19,42.91,40.86,41.99,135289
2024-04-01,42.22,43.19,41.41,42.04,114127
2024-04-02,41.09,42.58,40.38,42.06,234589
2024-04-03,41.63,42.35,41.59,42.1,161472
2024-04-04,42.58,43,41.32,41.39,123491
2024-04-05,41.15,42.7,40.92,41.75,76874
2024-04-08,42.08,42.68,41.6423,42.2,85722
2024-04-09,42.32,42.56,41.605,42.56,58466
2024-04-10,41.05,41.92,40.66,41.15,129797
2024-04-11,41.4,41.4,40.36,41.22,82329
2024-04-12,40.77,41.51,40.17,40.72,107652
2024-04-15,40.99,41.115,38.59,39.15,152882
2024-04-16,39.04,39.45,37.82,37.89,112651
2024-04-17,37.94,39.48,37.34,37.41,103860
2024-04-18,37.01,38.4,36.91,37.09,175830
2024-04-19,36.96,37.81,36.96,37.22,111174
2024-04-22,36.94,37.83,36.91,37.43,81398
2024-04-23,37.38,38.32,37.38,37.48,97955
2024-04-24,37.21,38.31,36.945,37.01,78018
2024-04-25,36.33,37.375,35.96,36.56,106619
2024-04-26,36.59,37.36,36.285,36.72,83725
2024-04-29,36.83,38.02,36.83,37.93,83367
2024-04-30,37.93,37.93,36.79,37.15,100348
2024-05-01,37.3,38.13,36.93,37.25,119462
2024-05-02,37.5,37.945,36.49,37.07,111239
2024-05-03,37.75,38.18,36.78,37.46,105022
2024-05-06,37.73,38.64,37.73,38.32,105889
2024-05-07,38.23,39.17,37.87,37.93,123542
2024-05-08,37,38.49,34.91,38.09,154506
2024-05-09,37.84,39.32,37.84,39.05,145875
2024-05-10,39.14,39.235,38.53,38.89,142767
2024-05-13,39.3,39.7,38.43,39.15,114031
2024-05-14,39.72,40.22,39.38,40.02,117878
2024-05-15,40.02,41.37,39.95,41.18,184163
2024-05-16,41.03,41.91,40.62,41.13,163013
2024-05-17,41.16,41.6,40.515,40.9,166882
2024-05-20,40.1,40.41,38.975,39.06,154422
2024-05-21,38.56,39.025,38.33,38.91,80481
2024-05-22,38.46,38.95,38.03,38.1,105482
2024-05-23,38.06,38.42,37.12,37.69,144816
2024-05-24,38.04,40.16,36.61,39.97,179153
2024-05-28,40.33,40.64,39.47,39.96,109518
2024-05-29,39.26,39.89,39.24,39.54,102581
2024-05-30,39.5,40.8314,39.02,40.06,230481
2024-05-31,40.06,42.35,40.04,41.43,358520
2024-06-03,41.98,42.25,41.21,42.24,137097
2024-06-04,41.77,42.795,41.77,42.44,160907
2024-06-05,42.44,42.94,41.58,41.75,122781
2024-06-06,41.39,41.7,41.21,41.39,88702
2024-06-07,40.82,41.43,40.39,40.57,117754
2024-06-10,39.94,40.02,37.69,39.38,224684
2024-06-11,38.94,39.93,38.54,39.74,141496
2024-06-12,40.27,41.63,39.77,40.04,149415
2024-06-13,40.22,40.22,38.03,38.88,178003
2024-06-14,38.39,39.57,38,39.49,150158
2024-06-17,39.13,40.12,38.885,40,131100
2024-06-18,40.11,41.81,39.8,41.75,226623
2024-06-20,41.28,42.45,40.5,40.55,230825
2024-06-21,40.52,41.5,39.83,41.27,533804
2024-06-24,41.36,41.78,40.63,40.67,154517
2024-06-25,40.51,40.735,39.45,39.54,204070
2024-06-26,39.07,40.27,39.07,40.03,176752
2024-06-27,40.64,40.8,39.67,40.77,160910
2024-06-28,41.1,41.55,39.99,40.56,375747
2024-07-01,40.49,40.53,39.15,39.73,142169
2024-07-02,40,40.81,39.745,39.9,134852
2024-07-03,40.2,40.38,39.64,39.92,98119
2024-07-05,39.82,40.2,39.375,39.76,98025
2024-07-08,40.31,40.8399,39.63,39.68,168325
2024-07-09,39.5,39.65,38.32,38.34,171789
2024-07-10,38.3,38.85,37.79,38.2,161867
2024-07-11,40.03,45.44,39.76,45,725162
2024-07-12,45.49,48.34,45.21,47.19,425608
2024-07-15,48.46,49.8,46.82,47.59,296845
2024-07-16,48.45,51.17,47.73,50.95,324043
2024-07-17,50.18,53.12,50.18,50.81,380076
2024-07-18,50.45,52.13,48.46,48.87,340715
2024-07-19,48.67,50.14,48.02,49.33,227460
2024-07-22,49.77,49.879,48.63,49.71,147139
2024-07-23,49.35,51.7099,49.11,51.23,154297
2024-07-24,50.96,52.25,50.07,50.48,168177
2024-07-25,50.78,53,50.25,52.48,181692
2024-07-26,53,54.27,51.465,52.2,231510
2024-07-29,52.37,53.95,51.96,52.23,139751
2024-07-30,52.81,54.1499,52.045,52.41,121794
2024-07-31,52.96,54.2,52.075,52.46,194896
2024-08-01,53,53.54,50.3201,51.57,188039
2024-08-02,48.84,50.1,47.91,49.28,198801
2024-08-05,46.01,47.63,45.78,47.18,189631
2024-08-06,47.35,48.39,46.81,47.58,149201
2024-08-07,48.42,49.06,45.995,46.36,229953
2024-08-08,51.85,51.85,45.64,46.85,252070
2024-08-09,47.08,48.5,46.785,47.91,141694
2024-08-12,47.87,47.92,46.52,46.74,142740
2024-08-13,47.44,48.165,46.96,47.69,135647
2024-08-14,47.5,47.94,46.18,46.58,484342
2024-08-15,47.9,47.9,46.53,47.7,453104
