date,open,high,low,close,volume
2024-03-01,22.4408,22.69,22.1503,22.6,4827
2024-03-04,22.56,22.5999,22.0543,22.4238,3798
2024-03-05,22.5351,22.5799,22.34,22.35,3601
2024-03-06,22.295,22.38,22.21,22.36,8311
2024-03-07,22.5069,22.51,22.2901,22.32,4964
2024-03-08,22.4305,22.56,22.33,22.3301,7521
2024-03-11,22.1,23.1201,22.1,22.99,95385
2024-03-12,22.9,23.72,22.87,23.6903,42716
2024-03-13,23.24,24.34,22.8503,24.24,112270
2024-03-14,24.1,24.43,24,24.43,115943
2024-03-15,24.5,24.8,24.245,24.69,83560
2024-03-18,24.32,24.79,24.15,24.28,138480
2024-03-19,24.385,24.58,24.18,24.33,15716
2024-03-20,24.32,24.32,24.03,24.09,14968
2024-03-21,24.03,24.165,24.01,24.01,11708
2024-03-22,24.01,24.01,23.64,23.71,5260
2024-03-25,23.57,23.94,22.75,23.57,3860
2024-03-26,23.62,23.8999,23.6,23.6556,20010
2024-03-27,23.575,23.8,23.4501,23.5,8438
2024-03-28,23.55,23.7599,23.5201,23.7,13246
2024-04-01,23.58,23.8699,23.51,23.51,3634
2024-04-02,23.46,23.5311,23.225,23.41,6178
2024-04-03,23.5999,23.619,23.2401,23.43,4909
2024-04-04,23.44,24.3,23.386,23.5823,8578
2024-04-05,23.41,23.42,23.31,23.42,1019
2024-04-08,23.45,23.88,23.45,23.66,6129
2024-04-09,23.85,23.85,23.5,23.6189,2831
2024-04-10,23.5,23.84,23.23,23.25,13675
2024-04-11,23.3,23.3,23.3,23.3,591
2024-04-12,23.17,23.17,23.15,23.17,741
2024-04-15,23.1,23.1706,22.6406,22.7,4030
2024-04-16,22.5385,23.315,22.5385,22.65,2921
2024-04-17,23.425,23.8247,22.4001,22.7752,2816
2024-04-18,22.4,23.1899,21.7624,22.54,7701
2024-04-22,22.9799,22.9799,21.74,22.765,5401
2024-04-23,22.83,22.83,22.22,22.22,4906
2024-04-24,22.25,22.26,21.99,22.01,5576
2024-04-25,21.95,22.8029,21.95,22.46,1061
2024-04-26,22.1861,22.4,22.1861,22.21,5852
2024-04-29,22.45,22.45,22.2001,22.325,1447
2024-04-30,22.3321,22.68,22.17,22.17,2241
2024-05-01,22.471,22.7888,22.471,22.7888,2351
2024-05-03,22.7108,22.7108,22.5377,22.5377,1571
2024-05-06,22.54,22.9999,22.54,22.9999,2871
2024-05-07,22.72,22.9692,22.3601,22.72,6095
2024-05-08,22.55,22.97,22.53,22.75,5583
2024-05-09,22.8156,22.9997,22.8156,22.9474,2968
2024-05-10,23,23.43,23,23.4,941
2024-05-13,23.155,23.67,23.155,23.45,4034
2024-05-14,23.24,23.4171,23.24,23.375,3218
2024-05-15,23.3871,23.6,23.25,23.27,3216
2024-05-16,23.28,23.4799,22.52,22.82,6978
2024-05-17,22.65,23.022,22.65,22.8,4550
2024-05-20,22.725,22.78,22.16,22.36,4700
2024-05-21,22.4933,22.7999,22.1501,22.16,7045
2024-05-22,22.16,22.56,22.07,22.1001,4084
2024-05-23,22.2271,22.3471,22.19,22.19,948
2024-05-24,22.451,22.46,22.16,22.32,1196
2024-05-28,22.48,22.9366,22.25,22.31,8259
2024-05-29,22.05,23.0899,22.05,22.3,1126
2024-05-30,22.5,22.83,22.38,22.38,3575
2024-05-31,22.16,22.3999,22.01,22.01,2595
2024-06-03,22.01,22.1799,21.6601,21.96,2486
2024-06-04,21.7389,21.7396,21.7389,21.7396,2320
2024-06-05,22.0554,22.11,21.9001,22.11,2447
2024-06-06,22.14,22.14,22.14,22.14,1087
2024-06-07,22.2785,22.2785,22.0471,22.1363,1459
2024-06-10,22.2,22.2999,21.9,22.2999,1050
2024-06-11,22.3,22.35,22.3,22.35,1240
2024-06-12,22.14,22.49,22.0315,22.2481,6170
2024-06-13,22.6,22.78,22.6,22.78,538
2024-06-14,22.61,23.2117,22.0631,22.505,4389
2024-06-17,23.84,23.84,22.6,22.6,5068
2024-06-18,22.62,22.62,22.61,22.61,3251
2024-06-20,22.5301,23.24,22.5301,23.06,2884
2024-06-21,22.98,23.27,22.823,23.27,2442
2024-06-24,22.7,23.3,22.7,22.83,895
2024-06-25,23,23.3,23,23.2,2828
2024-06-26,23.05,23.2,22.9297,23.2,4430
2024-06-27,23.3844,23.59,23.2,23.3472,9343
2024-06-28,23.32,23.32,23.125,23.125,693
2024-07-01,22.9457,23.3999,22.9,22.99,1847
2024-07-02,22.9747,23.2285,22.9747,23.2,2544
2024-07-03,23.17,23.5964,23.17,23.41,6917
2024-07-05,23.5001,23.5001,23.5001,23.5001,743
2024-07-08,23.4,23.4475,23.25,23.25,4356
2024-07-09,23.2881,23.38,23.05,23.11,1729
2024-07-10,23.11,23.11,22.04,22.37,9220
2024-07-11,22.23,22.35,22.2,22.25,3003
2024-07-12,22.25,22.9125,22.25,22.66,6276
2024-07-15,22.66,22.984,22.66,22.935,2251
2024-07-16,23.28,23.37,22.9501,23.105,8109
2024-07-17,23.27,23.27,23.0001,23.2,2409
