date,open,high,low,close,volume
2024-03-01,18.94,18.94,18.53,18.66,8195
2024-03-04,18.56,18.8,18.51,18.51,5925
2024-03-05,18.56,18.9981,18.26,18.54,13912
2024-03-06,18.59,18.66,18.28,18.49,7423
2024-03-07,18.61,18.735,18.51,18.63,6437
2024-03-08,18.92,19,18.67,18.67,7154
2024-03-11,18.84,19.27,18.82,19.04,17352
2024-03-12,18.98,19.26,18.98,19.02,8437
2024-03-13,19.155,19.56,19.155,19.55,7117
2024-03-14,19.55,19.9999,19.19,19.32,12357
2024-03-15,19.18,20.73,19.18,20.59,69019
2024-03-18,20.42,20.42,20.13,20.13,8581
2024-03-19,20.055,20.99,20.055,20.9,9515
2024-03-20,20.57,20.88,20.5,20.61,8629
2024-03-21,20.18,21.13,20.11,20.83,14022
2024-03-22,20.26,20.96,20,20,7308
2024-03-25,19.97,20.008,19.0901,19.69,13271
2024-03-26,19.9,19.99,19.59,19.59,11155
2024-03-27,19.585,20.09,19.585,20.04,14121
2024-03-28,19.99,20.3,19.91,20.18,16633
2024-04-01,20.064,20.064,19.6,19.61,13797
2024-04-02,19.75,19.9564,19.42,19.42,13853
2024-04-03,19.6,19.9793,19.51,19.67,11156
2024-04-04,20.088,20.2,19.85,19.89,9849
2024-04-05,19.92,20.06,19.79,19.79,5677
2024-04-08,20.2,20.2,20.19,20.19,3801
2024-04-09,20.23,20.23,19.43,19.93,4423
2024-04-10,19.56,19.92,18.81,19.03,14841
2024-04-11,19,19.49,19,19.44,16045
2024-04-12,19.46,19.89,18.91,19.3,10245
2024-04-15,19.21,19.38,18.99,19.01,7278
2024-04-16,18.9324,19.25,18.93,18.96,6975
2024-04-17,18.9,19.205,18.9,19,5401
2024-04-18,18.98,19.25,18.9,19.06,12598
2024-04-19,18.95,19.2399,18.95,19.15,8857
2024-04-22,19.11,19.52,19.04,19.32,4959
2024-04-23,19.5,19.585,19.26,19.5,5915
2024-04-24,19.5,19.5,19.25,19.33,11307
2024-04-25,19.24,19.8223,19.15,19.32,6951
2024-04-26,19.51,19.8,19.5,19.74,12704
2024-04-29,19.8,19.8,19.465,19.65,9040
2024-04-30,19.49,19.49,19.2,19.25,10948
2024-05-01,19.4999,19.61,19.43,19.59,10214
2024-05-02,19.41,20,19.17,19.87,17730
2024-05-03,19.99,20.27,19.87,20.27,5966
2024-05-06,20.3,20.51,19.6201,20.42,23370
2024-05-07,20.61,20.62,20.33,20.33,22018
2024-05-08,20.42,20.745,20.0001,20.69,11926
2024-05-09,20.7499,21,20.54,21,19019
2024-05-10,21,21.11,20.7,20.99,17681
2024-05-13,21.04,21.2,20.67,20.67,12703
2024-05-14,20.88,21.15,20.26,21.15,8107
2024-05-15,21.7,21.7,20.85,20.97,16051
2024-05-16,20.99,21.1,20.89,20.89,12284
2024-05-17,21.03,21.06,20.94,21,8451
2024-05-20,20.97,21.255,20.875,21.06,5870
2024-05-21,21.223,21.23,21.03,21.03,4168
2024-05-22,21.0004,21.15,20.93,20.95,8544
2024-05-23,21.16,21.16,20.22,20.22,10087
2024-05-24,20.115,20.42,19.99,20.36,5980
2024-05-28,19.97,20.07,19.93,20.07,7454
2024-05-29,19.97,20.515,19.85,20.01,11045
2024-05-30,20.27,20.5,19.99,20.5,10946
2024-05-31,20.65,20.65,20.35,20.5,8515
2024-06-03,20.69,20.69,19.8216,20.44,9878
2024-06-04,20.25,20.49,20.13,20.13,7747
2024-06-05,20.2,20.5,20.2,20.4,8834
2024-06-06,20.37,20.37,20.37,20.37,4037
2024-06-07,20.33,20.44,20.04,20.11,5186
2024-06-10,20.01,20.21,20,20.11,5159
2024-06-11,20,20.18,20,20.18,6226
2024-06-12,20.61,20.61,19.91,20.29,9491
2024-06-13,20.2,20.26,19.92,20.01,9594
2024-06-14,19.98,20.03,19.785,19.79,13435
2024-06-17,19.75,20.41,19.5,20.41,13115
2024-06-18,20.23,20.53,19.87,19.93,13081
2024-06-20,19.77,20.05,19.77,19.91,6854
2024-06-21,19.9,20.42,19.9,20,26820
2024-06-24,19.98,19.98,19.7501,19.94,11451
2024-06-25,19.78,19.78,19.42,19.42,10855
2024-06-26,19.22,19.65,19.22,19.53,12003
2024-06-27,19.59,19.59,19.35,19.54,10704
2024-06-28,19.7,20.5,19.5,20.49,84930
2024-07-01,20.49,20.49,19.8365,20.05,21569
2024-07-02,20.2,20.31,20.07,20.17,7674
2024-07-03,20.27,20.27,20.03,20.18,8960
2024-07-05,20.18,20.18,19.57,19.6,22295
2024-07-08,19.79,19.79,19.45,19.67,5089
2024-07-09,19.72,19.72,19.27,19.36,7248
2024-07-10,19.67,19.68,19.3,19.57,8901
2024-07-11,19.98,20.5865,19.7755,20.5,25793
2024-07-12,20.63,20.68,20.2,20.54,14961
2024-07-15,20.62,21.29,20.62,20.81,25426
2024-07-16,21,21.5,20.99,21.5,33367
2024-07-17,21.4,22,21.05,21.87,16620
2024-07-18,21.345,22,21.345,21.47,18777
2024-07-19,21.48,21.48,20.88,20.98,18524
2024-07-22,20.8,20.8,20.42,20.66,13070
2024-07-23,20.36,21.47,20.34,21.21,14081
2024-07-24,21.34,21.85,21.05,21.05,12702
2024-07-25,21.5,21.64,21.24,21.24,18445
2024-07-26,21.53,21.63,21.22,21.62,10765
2024-07-29,21.37,21.6112,20.82,20.84,9524
2024-07-30,21.01,21.38,20.93,21.38,9111
2024-07-31,21.59,22.03,21.59,21.83,47186
2024-08-01,21.5073,21.66,19.85,19.97,16242
2024-08-02,19.31,19.35,18.665,18.9,29689
2024-08-05,18.13,18.9,17.99,18.03,19907
2024-08-06,18.03,18.65,18.03,18.49,13256
2024-08-07,19,19.05,17.75,18.19,19326
2024-08-08,18.5,19.1,18.5,19.09,8761
2024-08-09,18.72,18.72,18.34,18.34,6351
2024-08-12,18.475,18.475,17.69,17.8,5939
2024-08-13,18.415,18.42,17.98,18.06,8322
2024-08-14,18.16,18.445,18,18.29,10474
2024-08-15,18.83,19.07,18.665,18.82,15995
2024-08-16,18.83,19.42,18.78,19.23,18792
2024-08-19,19.315,19.64,18.71,18.87,21850
2024-08-20,18.535,18.55,18.31,18.31,7761
2024-08-21,18.58,18.58,17.86,17.93,17643
2024-08-22,17.76,17.8829,17.33,17.5,18051
2024-08-23,17.48,18.26,17.2901,18.16,24795
2024-08-26,18.34,18.81,18.06,18.81,17628
2024-08-27,17.59,18.28,17.59,17.98,13270
2024-08-28,18,18.599,17.94,18.48,9705
2024-08-29,18.45,18.78,18.18,18.69,9644
2024-08-30,18.75,18.98,18.5113,18.98,16866
2024-09-03,18.98,18.98,18.45,18.45,7030
2024-09-04,18.27,18.35,17.65,18.15,34614
2024-09-05,18.36,18.45,18,18.16,10420
2024-09-06,18.3,18.3,18.08,18.09,5816
2024-09-09,17.97,18.41,17.97,18.01,13081
2024-09-10,17.81,18.5303,17.8,18.4,9326
2024-09-11,18.16,18.42,17.8024,18.27,15166
2024-09-12,18.48,18.5,18.3777,18.43,8941
2024-09-13,18.56,18.69,18.4,18.5,15880
2024-09-16,18.5,18.68,18.27,18.46,9033
2024-09-17,18.51,18.77,18.46,18.54,11023
2024-09-18,18.46,18.83,18.0001,18.4,9500
2024-09-19,18.8,18.96,18.5,18.75,12817
2024-09-20,18.47,18.94,18.47,18.91,56917
2024-09-23,18.8,18.8,18.49,18.68,14411
2024-09-24,18.75,18.75,18.61,18.61,6493
2024-09-25,18.5,18.6,18.14,18.23,23990
2024-09-26,18.4,18.55,18.15,18.21,24814
2024-09-27,18.41,18.5,18.4,18.5,7451
2024-09-30,18.42,18.42,18.16,18.23,9783
2024-10-01,18.04,18.04,17.5665,17.65,13837
2024-10-02,17.65,17.725,17.3,17.49,32573
2024-10-03,17.4275,17.51,17.31,17.39,9162
2024-10-04,17.61,17.7717,17.61,17.685,10259
2024-10-07,17.78,17.78,17.45,17.5,7670
2024-10-08,17.5,17.5005,17.28,17.28,5109
2024-10-09,17.34,17.53,17.32,17.32,8229
2024-10-10,17.12,17.25,17.12,17.25,13635
2024-10-11,17.29,17.7,17.27,17.7,25334
2024-10-14,17.77,17.85,17.74,17.77,6537
2024-10-15,17.77,18.35,17.77,17.95,11047
2024-10-16,17.97,18.74,17.97,18.69,9952
2024-10-17,18.59,18.59,18,18.16,20435
2024-10-18,18.3,18.3,18,18.15,7419
2024-10-21,17.86,18.2,17.28,17.28,8530
2024-10-22,18.08,18.08,17.525,17.58,6147
2024-10-23,17.63,17.63,17.36,17.63,6788
2024-10-24,17.82,17.968,17.43,17.76,9937
2024-10-25,17.8,17.8,15.69,16.7,53815
2024-10-28,16.81,17.4199,16.81,17.225,11983
2024-10-29,17.275,17.275,16.9,17.1,17958
2024-10-30,17.1,17.32,17.0501,17.15,13358
2024-10-31,17.28,17.28,16.8583,16.995,13773
2024-11-01,16.985,17.06,16.75,16.78,10410
2024-11-04,16.78,17,16.06,16.25,30642
2024-11-05,16.84,16.84,16.59,16.75,15829
2024-11-06,17.25,18.19,17.03,18.19,57673
2024-11-07,18.12,18.49,17.6,18.3,18791
2024-11-08,18.31,18.37,17.91,18.08,13421
2024-11-11,18.39,18.67,18.195,18.25,21571
2024-11-12,18.2035,18.55,18.15,18.2,14513
2024-11-13,18.2,18.5,18.01,18.05,15438
2024-11-14,18.27,18.48,17.6922,18.2,12719
2024-11-15,18.41,18.4392,17.96,18.18,18577
2024-11-18,18.32,18.35,17.74,17.78,11920
2024-11-19,17.785,17.8,17.3829,17.61,7831
2024-11-20,17.61,17.615,17.18,17.44,7339
2024-11-21,17.8,17.96,17.56,17.735,20899
2024-11-22,17.8,17.905,17.4886,17.62,17466
2024-11-25,17.7,17.995,17.43,17.43,23973
2024-11-26,17.53,17.53,16.8201,16.9,23075
2024-11-27,16.86,17.05,16.79,16.9,27962
2024-11-29,16.91,17.17,16.85,16.99,13626
2024-12-02,16.875,17.5,16.87,17.47,24802
2024-12-03,17.549,17.55,17.25,17.26,10668
2024-12-04,17.23,17.57,16.98,17.48,26762
2024-12-05,17.53,17.6,17.1556,17.35,11402
2024-12-06,17.35,17.395,17.0535,17.19,11100
2024-12-09,17.45,17.505,17.14,17.14,10542
2024-12-10,17.1303,17.5,17.1303,17.32,22072
2024-12-11,17.32,17.32,17.14,17.23,18312
2024-12-12,17.21,17.2294,16.81,16.81,29204
2024-12-13,16.77,16.781,16.5,16.69,13392
2024-12-16,16.35,16.98,16.35,16.71,11592
2024-12-17,16.35,16.71,16.35,16.51,25703
2024-12-18,16.7,16.7,16.03,16.05,38454
2024-12-19,16.26,16.6522,15.88,15.96,28955
2024-12-20,15.8,16.47,15.8,16.44,63903
2024-12-23,16.4,16.42,15.75,15.93,30006
2024-12-24,16.1563,16.18,16.07,16.18,35258
2024-12-26,16.3,16.675,16.19,16.67,26111
2024-12-27,16.39,16.68,16.31,16.5,27749
2024-12-30,16.159,16.55,16.1401,16.43,32702
2024-12-31,16.34,16.6,16.34,16.43,42861
2025-01-02,16.51,16.565,16.25,16.39,19810
2025-01-03,16.21,16.548,16.18,16.54,22354
2025-01-06,16.5,16.71,16.44,16.45,24105
2025-01-07,16.43,16.55,16.1601,16.49,32900
2025-01-08,16.48,16.62,16.445,16.48,7762
2025-01-10,16.42,16.42,16.0401,16.11,24557
2025-01-13,16.1,16.92,16.1,16.78,14963
2025-01-14,16.76,17.11,16.56,16.98,18592
2025-01-15,17.25,17.9338,17.1,17.62,41385
2025-01-16,17.47,17.66,17.29,17.29,9634
2025-01-17,17.34,17.56,16.9468,17.42,20500
2025-01-21,17.74,17.87,17.65,17.69,20308
2025-01-22,17.57,17.726,17.39,17.5,15514
2025-01-23,17.43,17.645,17.43,17.64,10219
2025-01-24,17.49,17.91,17.49,17.76,23034
2025-01-27,17.85,18.2,17.68,18,35690
2025-01-28,18.1,18.3,18.08,18.18,29893
2025-01-29,18.235,18.3,18.06,18.28,11764
2025-01-30,18.31,18.52,18.31,18.35,23002
2025-01-31,18.05,18.44,18,18.13,12977
2025-02-03,17.23,17.85,17.0601,17.82,19026
2025-02-04,17.9,18.21,17.68,18.12,17295
2025-02-05,18.12,18.23,18.049,18.23,20484
2025-02-06,18.47,18.47,18.28,18.37,7332
2025-02-07,18.1,18.2,18,18.17,7480
2025-02-10,18.08,18.28,18.08,18.255,8918
2025-02-11,17.92,18.48,17.92,18.31,11727
2025-02-12,17.99,18.2,17.99,18.03,10817
2025-02-13,18.13,18.29,18.065,18.29,7564
2025-02-14,18.4,18.6199,18.3176,18.39,17336
2025-02-18,18.35,18.56,18.3,18.44,7944
2025-02-19,18.4999,18.62,18.3,18.62,10497
