date,open,high,low,close,volume
2024-03-01,3.42,3.4899,3.193,3.23,50259
2024-03-04,3.27,3.46,3.13,3.3919,37036
2024-03-05,3.37,4.0052,3.37,3.84,164295
2024-03-06,3.77,4.15,3.61,3.7,104678
2024-03-07,3.78,4.3,3.76,4.12,228177
2024-03-08,4.11,4.12,3.52,3.53,152813
2024-03-11,3.8,4,3.5,3.88,1193860.0
2024-03-12,3.56,4.3899,3.4201,4.02,520864
2024-03-13,3.57,3.83,3.35,3.58,182839
2024-03-14,3.61,3.79,3.51,3.58,127345
2024-03-15,3.52,3.67,3.4,3.5,65113
2024-03-18,3.42,3.6599,3.3,3.38,110828
2024-03-19,3.3,3.365,3.12,3.22,41082
2024-03-20,3.15,3.47,3.05,3.31,108590
2024-03-21,3.2201,3.5,3.2201,3.48,69752
2024-03-22,3.45,3.7,2.61,2.77,338474
2024-03-25,2.65,2.66,2.0501,2.1101,149201
2024-03-26,2.1,2.17,1.855,1.96,61524
2024-03-27,1.88,2.04,1.805,2.01,216392
2024-03-28,2.105,3,1.9501,2.33,626967
2024-04-01,2.24,2.3299,2.06,2.2,94471
2024-04-02,2.3,2.35,2.03,2.1,35623
2024-04-03,2.06,2.6,2.06,2.26,101472
2024-04-04,2.32,2.42,2.16,2.1901,40534
2024-04-05,2.5,2.5,2.1999,2.23,23376
2024-04-08,2.2,2.4,2.1731,2.315,51346
2024-04-09,2.31,2.5292,2.1655,2.32,30865
2024-04-10,2.455,2.46,2.25,2.46,25934
2024-04-11,2.49,2.58,2.22,2.22,22496
2024-04-12,2.24,2.348,2.1072,2.16,20961
2024-04-15,2.22,2.22,2.01,2.035,21791
2024-04-16,1.92,2.3099,1.33,1.48,508163
2024-04-17,1.47,1.99,1.47,1.91,308712
2024-04-18,1.75,2.06,1.7201,1.83,90745
2024-04-19,1.8011,1.94,1.8001,1.8201,19839
2024-04-22,1.76,1.9999,1.76,1.8,31756
2024-04-23,1.77,2.07,1.77,1.9,48335
2024-04-24,1.93,1.95,1.76,1.82,16708
2024-04-25,1.7,1.8176,1.68,1.7688,15900
2024-04-26,1.795,1.87,1.77,1.8,20610
2024-04-29,1.9771,1.9771,1.821,1.96,4820
2024-04-30,2.03,2.18,1.8,2.15,74158
2024-05-01,2.21,2.21,1.981,1.99,27493
2024-05-02,1.9801,2.1,1.96,2,21109
2024-05-03,1.97,2.0499,1.865,2,11311
2024-05-06,1.92,1.98,1.86,1.87,9292
2024-05-07,1.96,2.3583,1.9101,2.01,58619
2024-05-08,1.88,2.04,1.88,1.99,17539
2024-05-09,2.27,2.27,1.94,2.04,13060
2024-05-10,2.0507,2.15,1.93,1.93,11539
