date,open,high,low,close,volume
2024-02-28,4.51,4.6166,4.28,4.41,216876
2024-02-29,4.42,4.45,4.25,4.4,241627
2024-03-01,4.42,4.63,4.34,4.57,136163
2024-03-04,4.58,4.62,4.35,4.37,193794
2024-03-05,4.33,4.37,4.09,4.09,168695
2024-03-06,4.09,4.2,3.79,3.87,401215
2024-03-07,3.92,3.92,3.69,3.85,297111
2024-03-08,3.89,3.93,3.64,3.68,168755
2024-03-11,3.71,3.725,3.525,3.6,229894
2024-03-12,3.62,3.63,3.42,3.42,267458
2024-03-13,3.43,3.52,3.27,3.43,594245
2024-03-14,3.43,3.46,3.25,3.29,486743
2024-03-15,3.32,3.38,3.17,3.2,1064447.0
2024-03-18,3.19,3.371,3.16,3.33,655537
2024-03-19,3.75,4.17,3.55,3.96,1086456.0
2024-03-20,3.94,4.05,3.82,4.03,541892
2024-03-21,4.04,4.35,3.99,4.25,467910
2024-03-22,4.36,4.36,3.95,3.96,506961
2024-03-25,3.95,4.04,3.86,4,254500
2024-03-26,4.01,4.01,3.88,3.915,257285
2024-03-27,3.96,4.07,3.83,4.04,252017
2024-03-28,4.04,4.16,3.93,4.09,228305
2024-04-01,4.1,4.14,3.76,4.02,558840
2024-04-02,3.92,4.03,3.76,4.02,303839
2024-04-03,4.01,4.21,3.96,4.18,320399
2024-04-04,4.22,4.31,4.08,4.18,424711
2024-04-05,4.15,4.18,3.94,4.03,347277
2024-04-08,4.05,4.05,3.9,4.02,249783
2024-04-09,4.21,4.28,4.06,4.06,225086
2024-04-10,4.03,4.07,3.8,3.85,242969
2024-04-11,3.91,4.01,3.82,3.96,163679
2024-04-12,3.93,4.02,3.752,3.81,209816
2024-04-15,3.79,3.8,3.63,3.76,376491
2024-04-16,3.71,3.75,3.39,3.45,478798
2024-04-17,3.49,3.6,3.18,3.18,222220
2024-04-18,3.17,3.23,3.01,3.01,272994
2024-04-19,3.03,3.12,2.82,2.99,266265
2024-04-22,3.11,3.11,2.945,2.99,182445
2024-04-23,2.99,3.11,2.83,2.84,141061
2024-04-24,2.93,3.03,2.84,2.85,263740
2024-04-25,2.78,2.85,2.61,2.79,244808
2024-04-26,2.78,2.87,2.75,2.85,320653
2024-04-29,2.92,2.94,2.83,2.83,239895
2024-04-30,2.8,2.87,2.71,2.71,223834
2024-05-01,2.79,2.79,2.5,2.53,884632
2024-05-02,2.57,2.66,2.51,2.66,369538
2024-05-03,2.71,2.73,2.66,2.71,242897
2024-05-06,2.72,2.74,2.68,2.7,161597
2024-05-07,2.69,2.78,2.69,2.72,321276
2024-05-08,2.68,2.72,2.55,2.61,237773
2024-05-09,2.66,2.66,2.46,2.495,360303
2024-05-10,2.5,2.62,2.22,2.225,809640
2024-05-13,2.23,2.37,2.23,2.34,1075866.0
2024-05-14,1.18,1.29,0.9855,1.145,13050636.0
2024-05-15,1.16,1.22,1.1,1.19,3491571.0
2024-05-16,1.18,1.23,1.12,1.23,1733381.0
2024-05-17,1.18,1.21,1.15,1.21,1039201.0
2024-05-20,1.17,1.175,1.13,1.16,1249111.0
2024-05-21,1.15,1.2,1.1,1.2,754149
2024-05-22,1.2,1.2,1.14,1.17,708830
2024-05-23,1.17,1.17,1.09,1.12,495205
2024-05-24,1.14,1.14,1.08,1.14,713708
2024-05-28,1.16,1.16,1.08,1.1,515753
2024-05-29,1.09,1.14,1.015,1.14,786773
2024-05-30,1.09,1.11,0.9965,0.9995,846639
2024-05-31,1.01,1.0294,0.9,0.9181,816410
2024-06-03,0.9275,0.944,0.915,0.9228,435769
2024-06-04,0.9355,0.94,0.8477,0.8525,651400
2024-06-05,0.8738,0.879,0.8201,0.85,473019
2024-06-06,0.866,0.8675,0.73,0.82,599719
2024-06-07,0.81,0.86,0.802,0.8524,279928
2024-06-10,0.84,0.8597,0.81,0.85,220770
2024-06-11,0.84,0.8765,0.8146,0.86,345324
2024-06-12,0.8357,0.8677,0.8262,0.84,511472
2024-06-13,0.8559,0.8559,0.7823,0.801,372663
2024-06-14,0.7806,0.7908,0.756,0.7765,227508
2024-06-17,0.7871,0.7871,0.7465,0.7707,241922
2024-06-18,0.75,0.7568,0.7378,0.75,257165
2024-06-20,0.79,0.79,0.735,0.771,432604
2024-06-21,0.79,0.8299,0.7518,0.8035,522494
2024-06-24,0.79,0.8649,0.775,0.853,389245
2024-06-25,0.8494,0.9258,0.8235,0.841,714311
2024-06-26,0.8582,0.8582,0.8106,0.8482,283406
2024-06-27,0.84,0.8559,0.7942,0.8499,250794
2024-06-28,0.8499,0.8927,0.8323,0.88,381258
2024-07-01,0.88,0.9568,0.8649,0.93,798451
2024-07-02,0.9301,1.01,0.911,0.9819,766132
2024-07-03,0.99,1.04,0.98,1,566251
2024-07-05,1,1.03,1,1,454413
2024-07-08,1.02,1.02,0.9536,0.97,267285
2024-07-09,0.9733,0.9733,0.7711,0.8873,1143043.0
2024-07-10,0.8806,0.9039,0.8723,0.8944,251349
2024-07-11,0.9089,0.92,0.895,0.9081,251410
2024-07-12,0.9238,0.9353,0.9012,0.9166,171867
2024-07-15,0.9045,0.9252,0.897,0.9079,365764
2024-07-16,0.9157,0.974,0.9001,0.9501,297625
2024-07-17,0.95,0.95,0.9005,0.9265,119943
2024-07-18,0.925,0.9334,0.91,0.9164,104939
