date,open,high,low,close,volume
2024-03-01,64.34,64.825,63.98,64.6,3966502.0
2024-03-04,64.29,64.82,64.15,64.79,4406692.0
2024-03-05,64.91,65.32,64.61,64.81,3728949.0
2024-03-06,64.74,65.53,64.74,65.27,4491512.0
2024-03-07,65.82,66.51,65.73,66.19,6130609.0
2024-03-08,66.17,66.58,65.98,66.5,4412892.0
2024-03-11,67.22,67.7699,66.83,67.67,3927494.0
2024-03-12,67.54,67.69,67.26,67.4,6156496.0
2024-03-13,67.46,68.03,67.43,67.58,4688145.0
2024-03-14,67.73,67.73,66.67,67.04,4626250.0
2024-03-15,67.4,67.44,66.075,66.31,6027405.0
2024-03-18,66.01,66.37,65.805,65.85,3886650.0
2024-03-19,65.6,65.9,65.25,65.86,3402628.0
2024-03-20,65.57,65.88,65.2,65.73,3553319.0
2024-03-21,66.61,66.79,66.175,66.19,5351802.0
2024-03-22,66.49,66.84,66.2,66.26,4098809.0
2024-03-25,66.21,66.43,65.795,65.86,4424632.0
2024-03-26,66.25,66.455,65.765,66.33,3133187.0
2024-03-27,67.08,68.375,67.065,68.26,8444488.0
2024-03-28,68.18,68.35,67.675,67.75,3617090.0
2024-04-01,68.2,68.22,67.04,67.25,3113791.0
2024-04-02,67.15,67.38,66.755,67,4396847.0
2024-04-03,66.4,67.3499,66.385,66.81,3795696.0
2024-04-04,68.99,68.99,67.29,67.34,7453946.0
2024-04-05,66.98,67.72,66.89,67.45,4811317.0
2024-04-08,67.57,67.77,67.22,67.7,3824545.0
2024-04-09,68.2,68.455,67.96,68.41,4392758.0
2024-04-10,67.59,68.165,67.42,68.11,7715814.0
2024-04-11,69.88,70.07,68.87,69.45,5985924.0
2024-04-12,69.66,69.82,68.595,68.93,9121475.0
2024-04-15,69.07,69.56,68.54,68.73,7610740.0
2024-04-16,68.29,68.595,68.015,68.265,3795293.0
2024-04-17,68.72,68.795,68.2,68.53,3687077.0
2024-04-18,68.25,68.785,68.16,68.36,3992572.0
2024-04-19,68.14,68.71,68.13,68.55,4664606.0
