date,open,high,low,close,volume
2024-03-04,6.7,8.51,6.7,8.51,2677
2024-03-05,13.45,13.45,13.45,13.45,304
2024-03-07,13.99,17.04,13.99,17.03,2632
2024-03-08,14.5,19.58,14.5,19.58,1453
2024-03-12,24.07,24.07,13.8,20.64,4147
2024-03-14,21.21,21.21,21.21,21.21,824
2024-03-15,18,19.7,18,19.7,938
2024-03-18,20,21,20,21,913
2024-03-21,20,21.11,20,21.11,1316
2024-03-22,17.01,20.44,17.01,20.35,4169
2024-03-25,21,21,19.77,20.11,1424
2024-03-26,19.44,20.23,19.44,20.23,449
2024-03-27,16.94,17.2,16.94,17.2,1094
2024-04-02,16,16,16,16,457
2024-04-03,14,14,11,11,1245
2024-04-04,13,13,9.99,9.99,949
2024-04-08,9,9,9,9,302
2024-04-09,13.4,13.4,13.4,13.4,3052
2024-04-10,14,17,13.99,16.24,2556
2024-04-12,17.6,20.7,17.6,19,3264
2024-04-18,25.01,25.01,25.01,25.01,1007
2024-04-19,23.04,23.04,23.04,23.04,246
2024-04-26,21,22,21,22,1654
2024-04-30,21.99,23.9,21.99,23.9,763
2024-05-01,23.79,23.79,23.79,23.79,505
2024-05-08,19.01,19.01,19.01,19.01,1199
2024-05-09,19,24.01,19,24.01,5134
2024-05-13,26.2,28.89,26.2,28.89,1881
2024-05-14,27,30.35,27,30.35,1917
2024-05-15,40,40,40,40,1476
2024-05-16,33.6,46.8,32.02,35.02,2035
2024-05-28,33.5,33.5,33.5,33.5,225
2024-05-31,34.72,41.62,34.72,41.62,1089
2024-06-17,40.1,40.1,40.1,40.1,313
2024-06-18,41.99,42.98,36,42.98,1534
2024-06-25,45,45,43.5,43.5,243
2024-07-09,47.5,70.44,47.5,70.44,207
2024-07-11,69.9999,69.9999,69.9999,69.9999,198
2024-07-23,60.5,60.5,60.5,60.5,259
2024-10-18,3,11,3,11,3009
2024-10-21,12.71,38,12.71,30,911
2024-10-23,29.36,30.2,29.36,30,1025
2024-10-29,32.24,32.24,32.24,32.24,696
2024-11-05,31.78,31.78,31.78,31.78,103
2024-11-12,28.49,28.49,28.49,28.49,200
2024-11-27,27.8,27.8,27.8,27.8,578
2024-12-27,29,30.5,29,30.5,1519
2024-12-31,30.6,40,30.6,40,2749
2025-01-02,43.5,44.3,40,44.3,809
2025-01-06,45.02,48.53,45.02,48.5,1563
2025-01-07,50,52.04,50,52.04,1486
2025-01-10,54.5,54.5,54.5,54.5,869
2025-01-14,59.1,59.2,59.1,59.2,646
2025-01-17,62.2,62.2,62.2,62.2,1302
2025-01-22,56,70,56,65.51,2092
2025-01-23,59,71,59,71,1653
2025-01-24,60,72,60,72,1351
2025-01-27,62.05,72,62.05,67.33,2848
2025-01-28,70.49,77.99,63.7,77.99,3214
2025-02-04,80.4,81.28,63.5,69.25,7874
2025-02-05,82,95.04,73.6,89.77,9779
2025-02-10,95,95,95,95,141
2025-02-14,59.25,59.25,59.22,59.22,1246
2025-02-18,5.07,20.8,4.7,20.8,1388
2025-02-26,21.64,21.64,20.2,20.2,324
