date,open,high,low,close,volume
2024-03-27,12,12.6,8.51,9.5,33565
2024-03-28,16.61,16.61,10.9755,12.95,416802
2024-04-01,8.96,10.62,8.26,10.33,57937
2024-04-02,9.13,9.13,6.9774,7.48,25152
2024-04-03,7,7.43,5.6,6.59,27864
2024-04-04,6.25,7.58,5.88,6.8155,16151
2024-04-05,7.2,7.9499,6.91,7.65,22296
2024-04-08,7.2,9.97,6.61,9.45,48026
2024-04-09,8.36,9.54,7.38,8.7,32631
2024-04-10,8.44,8.6546,7.5,8.6,8400
2024-04-11,8.02,8.99,8.02,8.1,5658
2024-04-12,8.6,8.6,8,8.15,24195
2024-04-15,7.8,7.895,7.2,7.725,33148
2024-04-16,7.45,7.6,7,7,7407
2024-04-17,6.81,7,6.21,6.9571,7755
2024-04-18,6.4,7.1,6.3,6.8,8167
2024-04-19,6.22,6.5,6.22,6.5,5506
2024-04-22,6.24,6.55,6.24,6.3506,3613
2024-04-23,6,7.2324,6,7.2324,3911
2024-04-24,6.63,6.9515,6.63,6.63,2392
2024-04-25,7.03,7.15,6.5,7.08,2114
2024-04-26,7.2,7.2,6.55,7,6683
2024-04-29,6.799,6.98,6.62,6.98,2494
2024-04-30,6.93,7.7989,6.8,6.9,6595
2024-05-01,6.9,6.9,6.51,6.695,5330
2024-05-02,6.8362,6.8599,6.3,6.3,14195
2024-05-03,6.3001,6.405,5.5,5.5,3652
2024-05-06,6.49,6.78,5.44,5.7,1720
2024-05-07,6,6,6,6,801
2024-05-08,5.668,5.67,5.0679,5.0679,3759
2024-05-09,5.4,5.5,5.4,5.5,3638
2024-05-10,5.395,5.4,5.395,5.4,944
2024-05-13,5.08,5.4612,4.3719,4.3719,12179
2024-05-14,4.9581,4.9581,4.9581,4.9581,1910
2024-05-15,5.1058,5.36,4.62,4.85,12465
2024-05-16,5.1,5.35,4.7,4.7,9141
2024-05-17,4.7998,4.7998,4.7998,4.7998,461
2024-05-20,4.67,4.9,3.85,4.2,11562
2024-05-21,3.5,4.1999,2.7,2.7,10367
2024-05-22,3.38,5.42,3.25,4.22,2176949.0
2024-05-23,4.24,7.99,4.22,7.53,18111820.0
2024-05-24,6.33,6.81,5.66,6.19,474887
2024-05-28,5.61,6.75,5.6,6.63,105616
2024-05-29,7.18,7.88,6.19,7.65,122578
2024-05-30,7.9,9.53,7,8.81,145407
2024-05-31,9.58,11.42,9.22,10.84,202214
2024-06-03,11.2,11.89,10.3,11.46,190135
2024-06-04,10.33,12.22,9.5601,11.9,143280
2024-06-05,11.9,11.9,10.2108,10.77,88449
2024-06-06,10.65,10.65,9.15,9.7,45570
2024-06-07,9.7,9.7,8.01,8.28,32969
2024-06-10,8.07,9.0499,8.07,8.73,23548
2024-06-11,8.29,8.675,8.05,8.4,22203
2024-06-12,8.31,8.51,7.56,7.8,30729
2024-06-13,7.13,7.79,6.39,6.66,20676
2024-06-14,6.63,6.63,5.76,5.76,3040
2024-06-17,5.74,5.74,5.3,5.475,9189
2024-06-18,5.3,5.3,3.79,4.67,31299
2024-06-20,4.75,5.46,4.75,5.01,15266
2024-06-21,5.37,5.66,4.75,5.12,31562
2024-06-24,5.2,5.74,4.46,5.74,74468
2024-06-25,5.31,5.99,5.14,5.87,7025
2024-06-26,5.5,6.0899,5.5,5.76,16258
2024-06-27,5.63,5.942,5.61,5.89,14216
2024-06-28,5.71,6.27,5.2709,6.2,18924
2024-07-01,6.03,6.345,5.825,6.22,37368
2024-07-02,5.93,6.1799,5.6,5.6,1296
2024-07-03,5.49,5.72,5.42,5.68,3339
2024-07-05,5.55,6.28,5.3,5.66,19943
2024-07-08,5.64,6.05,5.5001,5.5001,3458
2024-07-09,5.71,6,5.6,5.8,17848
2024-07-10,5.7,5.7,5.1802,5.68,12670
2024-07-11,5.4,5.4,5.4,5.4,763
2024-07-12,5.725,6,5.452,5.86,8254
2024-07-15,5.584,5.8599,5.45,5.77,5456
2024-07-16,5.7799,5.7799,5.4,5.72,10021
2024-07-17,5.3,5.73,5.3,5.36,7967
2024-07-18,5.36,5.49,5.3473,5.49,2606
2024-07-19,5.395,5.395,5.3,5.3,740
2024-07-22,5.495,5.54,5.3,5.54,4192
2024-07-23,5.13,5.25,5.1,5.2,2195
2024-07-24,5.2397,5.2398,5.015,5.0175,1318
2024-07-25,4.75,4.97,4.75,4.97,5591
2024-07-26,4.7,4.9,4.43,4.43,6042
2024-07-29,4.705,4.705,4.705,4.705,863
2024-07-30,4.67,4.6999,4.6291,4.6291,638
2024-07-31,4.7,4.7,3.89,3.92,7179
2024-08-01,4,4.3999,4,4.02,3615
2024-08-02,4.33,4.37,3.77,3.78,10814
2024-08-05,3.86,3.86,3.6,3.6,1887
2024-08-06,3.56,3.74,3.5,3.5,6707
2024-08-07,3.86,3.8699,3.5,3.5,9526
2024-08-08,3.776,3.776,3.54,3.54,4947
2024-08-09,3.5,3.5,3.25,3.35,1069
2024-08-12,3.47,3.4999,3,3.02,4878
2024-08-13,3.22,3.97,3,3.17,38168
2024-08-14,3.24,4.71,3.17,3.61,929998
2024-08-15,3.38,3.96,3.36,3.61,34275
2024-08-16,3.5,3.9,3.44,3.466,20728
2024-08-19,3.5924,3.65,3.15,3.5,44921
2024-08-20,3.3,3.4999,2.6,2.97,50549
2024-08-21,3.55,3.55,3,3.1637,22466
2024-08-22,3.17,3.66,3.16,3.42,9773
2024-08-23,3.35,3.52,3.275,3.48,21219
2024-08-26,3.48,3.65,3.48,3.5,7319
2024-08-27,3.37,3.37,3.37,3.37,589
2024-08-28,3.515,3.515,3.32,3.36,13856
2024-08-29,3.3,3.53,3.3,3.53,3906
2024-08-30,3.365,3.53,3.2,3.5,4288
2024-09-03,3.47,3.5,3.44,3.48,8745
2024-09-04,3.25,3.4696,3.2,3.2001,12621
2024-09-05,3.24,3.38,3.2,3.2521,7908
2024-09-06,3.4,3.75,3.21,3.27,12234
2024-09-09,3.18,3.32,2.62,2.62,33972
2024-09-10,2.99,3.16,2.78,2.9,12989
2024-09-11,2.75,2.98,2.69,2.72,13950
2024-09-12,2.81,2.98,2.62,2.71,9349
2024-09-13,2.74,2.95,2.74,2.81,5950
2024-09-16,2.85,2.88,2.78,2.79,3516
2024-09-17,2.98,2.98,2.84,2.84,9668
2024-09-18,2.91,2.98,2.84,2.84,2365
2024-09-19,3.41,3.41,2.9,3,8447
2024-09-20,3.15,3.3,2.89,3.3,23230
2024-09-23,3.27,3.37,3.06,3.09,11846
2024-09-24,3.0001,3.2298,3.0001,3.2,2318
2024-09-25,3.24,3.29,3,3.16,12312
2024-09-26,3.21,3.25,3.2,3.2,17355
2024-09-27,3.4823,3.4823,3,3.17,17932
2024-09-30,3.01,3.1003,2.9,2.92,8995
2024-10-01,3.19,3.2,2.75,2.8,28679
2024-10-02,2.8,2.82,2.78,2.82,2497
2024-10-03,2.9,2.99,2.63,2.63,15978
2024-10-04,2.8475,2.85,2.67,2.8,3425
2024-10-07,2.8,2.8,2.79,2.79,1034
2024-10-08,2.75,2.906,2.66,2.74,9613
2024-10-09,2.77,2.87,2.5,2.87,30473
2024-10-10,2.6737,2.78,2.6737,2.69,762
2024-10-11,2.7,2.72,2.7,2.7,1155
2024-10-14,2.68,2.73,2.45,2.6547,17168
2024-10-15,2.5,2.7652,2.4,2.54,9831
2024-10-16,2.65,2.65,2.49,2.58,1975
2024-10-17,2.51,2.56,2.44,2.44,1355
2024-10-18,2.44,2.5,2.37,2.37,6009
2024-10-21,2.4723,2.4723,2.37,2.37,2427
2024-10-22,2.37,2.38,1.88,2.18,34154
2024-10-23,2.2,2.26,2.07,2.105,5936
2024-10-24,2.14,2.14,2.06,2.08,3114
2024-10-25,2.08,2.0912,1.851,2.0912,4519
2024-10-28,2.21,2.21,2.06,2.06,857
2024-10-29,1.99,2.5199,1.99,2.1,4885
2024-10-30,2.103992,2.4799,2.103992,2.1584,7570
2024-10-31,2.2,2.33,2.14,2.1415,2268
2024-11-01,2.17,2.325,2.12,2.12,7808
2024-11-04,2.06,2.209,2,2,12644
2024-11-05,2.01,2.191,1.96,2.0003,8720
2024-11-06,1.9,2.2999,1.8599,2,11764
2024-11-07,2,2.2,1.985,2.19,2220
2024-11-08,2.26,2.26,1.9901,1.9901,2393
2024-11-11,2.43,6.55,2.05,3.3,24294863.0
2024-11-12,3.3,4.47,2.8708,3.49,1517902.0
2024-11-13,3.2,3.5157,2.92,3.28,433411
2024-11-14,3.54,3.85,2.99,3.49,386321
2024-11-15,3.19,3.8386,3.19,3.49,183025
2024-11-18,3.67,3.67,2.95,2.95,261526
2024-11-19,2.95,3.2989,2.84,3.05,58691
2024-11-20,3.03,3.45,2.67,2.73,104896
2024-11-21,2.57,2.78,2.3101,2.48,114617
2024-11-22,2.95,2.95,2.4067,2.62,97843
2024-11-25,2.69,2.9523,2.48,2.75,285790
2024-11-26,2.79,2.79,2.5309,2.65,58084
2024-11-27,2.67,2.83,2.47,2.55,245856
2024-11-29,2.65,2.8217,2.5716,2.58,22297
2024-12-02,2.51,2.71,2.47,2.58,62326
2024-12-03,2.64,2.64,2.4471,2.46,23174
2024-12-04,2.44,2.6,2.314,2.56,74197
2024-12-05,2.48,2.63,2.4,2.41,14757
2024-12-06,2.6,3.3389,2.45,3.07,147317
2024-12-09,3.48,3.48,3.1002,3.13,49210
2024-12-10,3.15,3.15,2.8504,2.91,23121
2024-12-11,3.01,3.01,2.751,2.96,7769
2024-12-12,3,3.03,2.7498,2.93,37199
2024-12-13,2.96,2.97,2.71,2.8,73835
2024-12-16,2.75,2.96,2.61,2.65,31049
2024-12-17,2.71,2.89,2.55,2.61,16653
2024-12-18,2.51,2.79,2.4974,2.52,15836
2024-12-19,2.64,2.64,2.31,2.32,23023
2024-12-20,2.31,2.38,2.1,2.14,31653
2024-12-23,2.13,2.24,2.07,2.1,17110
2024-12-24,2.02,2.29,1.85,1.98,22033
2024-12-26,2.0154,6,2,3.05,9304409.0
2024-12-27,2.88,3.28,2.6233,2.9,433865
2024-12-30,2.86,3.73,2.7016,3.58,295889
2024-12-31,3.24,3.295,2.851,2.94,70253
2025-01-02,2.7462,3.0499,2.66,2.76,91358
2025-01-03,2.9,3.13,2.75,3.01,46182
2025-01-06,3.1,3.1,2.67,2.79,29466
2025-01-07,2.68,2.7404,2.47,2.57,37250
2025-01-08,2.63,3.12,2.5398,2.71,86455
2025-01-10,2.58,2.59,2.41,2.51,18609
2025-01-13,2.64,2.69,2.41,2.45,22176
2025-01-14,2.4,2.6908,2.26,2.4,22493
2025-01-15,2.5,2.67,2.32,2.59,116003
2025-01-16,2.72,2.7903,2.42,2.51,137900
2025-01-17,2.54,2.7299,2.3971,2.55,23151
2025-01-21,2.6,2.8,2.51,2.55,72694
2025-01-22,2.52,2.69,2.5001,2.58,28861
2025-01-23,2.49,2.58,2.4,2.5,24392
2025-01-24,2.54,2.69,2.4642,2.48,48688
2025-01-27,2.42,2.97,2.27,2.52,101788
2025-01-28,2.45,2.54,2.2,2.32,35807
2025-01-29,2.38,2.7191,1.97,1.97,81113
2025-01-30,2,2.18,1.94,2.11,66456
2025-01-31,2.05,2.17,2.01,2.06,17695
2025-02-03,2,2.1707,2,2.07,16347
2025-02-04,2.08,2.14,1.99,2.03,47445
2025-02-05,2.03,2.4664,2.03,2.33,76215
2025-02-06,2.4,2.4,2.145,2.17,23818
2025-02-07,2.14,2.27,2.0301,2.11,24988
2025-02-10,2.05,2.11,2.03,2.11,16396
2025-02-11,2.15,2.16,2.03,2.09,36683
2025-02-12,2.2719,2.2719,2.04,2.07,11427
2025-02-13,2.08,2.16,2.05,2.08,22437
2025-02-14,2.2,2.24,2.08,2.23,25223
2025-02-18,2.23,2.32,2,2.06,41357
2025-02-19,2.02,2.09,1.89,2,35605
2025-02-20,1.98,1.9815,1.81,1.97,43306
2025-02-21,1.935,2,1.81,1.9,35025
2025-02-24,1.8848,1.8848,1.71,1.79,25116
2025-02-25,1.809,1.947,1.71,1.76,18429
2025-02-26,1.83,1.9279,1.76,1.8582,7660
2025-02-27,1.86,5.81,1.86,2.87,69862942.0
2025-02-28,2.6,2.69,2.2201,2.4,993033
