date,open,high,low,close,volume
2024-03-01,85.86,86.45,85.07,85.89,490491
2024-03-04,86.06,86.7,85.34,86.06,541590
2024-03-05,85.53,86.81,84.56,85.19,692426
2024-03-06,85.9,86.63,84.81,84.9,510675
2024-03-07,85.66,86.9099,85.65,86.74,714841
2024-03-08,87.71,88.54,86.2,86.85,380013
2024-03-11,86,86.085,84,85.38,485900
2024-03-12,85.57,86.67,84.62,86.37,302640
2024-03-13,86.12,87.225,85.67,86.63,405715
2024-03-14,86.6,87.33,85.58,86.53,529275
2024-03-15,86.24,88.62,85.86,88.42,870798
2024-03-18,88.27,89.86,88.17,88.33,458515
2024-03-19,88.39,92.81,88.39,92.7,694292
2024-03-20,92.6,94.61,92.6,94.05,658394
2024-03-21,94.83,96.86,94.5201,94.81,794272
2024-03-22,95.3,95.63,94.26,95.18,562633
2024-03-25,95.57,96.405,94.85,95.05,369882
2024-03-26,94.93,95.28,94.31,94.85,336624
2024-03-27,95.94,96.075,94.82,95.05,403855
2024-03-28,93.87,99.11,93.55,98.02,1607158.0
2024-04-01,98.47,100.53,97.7,100.23,855970
2024-04-02,99.65,100.28,97.975,100.03,722456
2024-04-03,99.49,101.28,99.46,100.27,558705
2024-04-04,101.55,102.3,100.1,100.68,756995
2024-04-05,100.52,102.83,100.52,102.05,436677
2024-04-08,102.05,102.67,101.24,101.26,317804
2024-04-09,101.19,101.865,99.45,99.72,564620
2024-04-10,97.87,100.18,96.84,99.06,742354
2024-04-11,99.74,99.74,97.36,97.86,495475
2024-04-12,96.52,98.46,96.18,97.14,463173
2024-04-15,98.98,98.98,95.72,96.26,548955
2024-04-16,95.48,95.62,94.2124,94.63,401953
2024-04-17,95.25,95.36,92.43,93.18,524582
2024-04-18,94.47,94.53,92,93.42,887071
2024-04-19,93.36,94.82,93.36,94.56,644203
2024-04-22,94.64,96.64,94.38,96.06,618977
2024-04-23,96,97.93,96,97.55,300555
2024-04-24,97.43,98.5454,96.455,97.21,506028
2024-04-25,96.77,97.915,95.37,97.56,491206
2024-04-26,98.25,99.39,98.25,99,613337
2024-04-29,99.18,99.34,98,99,520980
2024-04-30,98.87,99.74,98.23,98.53,1312370.0
2024-05-01,98.03,99.34,96.1,96.95,761197
2024-05-02,98.31,98.31,95.995,97.52,792578
2024-05-03,97.75,103.75,95.3779,95.89,1317118.0
2024-05-06,96.86,97.96,95.26,95.46,798032
2024-05-07,95.51,95.65,93.3,93.86,613362
2024-05-08,93.14,93.97,92.17,92.28,493331
2024-05-09,92.43,94.12,92.1584,93.38,657517
2024-05-10,93.42,93.725,92.28,92.95,497988
2024-05-13,95.55,95.69,92.975,93.19,681312
2024-05-14,94.19,96.28,93.33,95.9,598935
2024-05-15,96.86,100.04,96.79,99.97,778643
2024-05-16,99.36,100,95.94,96.12,713197
2024-05-17,96.67,97.3,94.99,96.09,527953
2024-05-20,96.62,98.37,95.3325,98.17,573314
2024-05-21,98.13,98.4525,96.854,97.04,446311
2024-05-22,96.39,97.04,94.93,95.48,495883
2024-05-23,95.46,95.95,94.12,94.83,382249
2024-05-24,95.59,97.445,94.4679,97.22,669084
2024-05-28,97.73,98.23,95.94,96.51,472225
2024-05-29,95.63,96.69,94.94,95.73,706298
2024-05-30,96.12,97.87,95.75,96.29,470260
2024-05-31,96.28,97.22,95,97.06,483439
2024-06-03,97.94,98.09,95.8,97.12,638428
2024-06-04,96.13,96.72,95.1,95.63,607416
2024-06-05,95.93,97.68,95.34,97.63,620188
2024-06-06,97.09,97.92,96.065,96.38,428677
2024-06-07,95.88,97.25,95.03,96.41,501154
2024-06-10,95.78,97.21,95.78,96.7,425458
2024-06-11,96.17,97.18,95.25,97.03,615762
2024-06-12,99.02,103.54,99.02,102.24,1213941.0
2024-06-13,101.61,101.8,97.85,99.95,834100
2024-06-14,98.71,98.77,95.48,96.41,661024
2024-06-17,96.75,98.2,95.64,97.72,642777
2024-06-18,97.72,98.18,96.73,96.8,447598
2024-06-20,95.93,96,93.66,94.98,672643
2024-06-21,94.67,95.375,93.175,93.97,931472
2024-06-24,94.07,94.79,92.64,92.88,683938
2024-06-25,92.88,92.895,90.27,90.46,532844
2024-06-26,89.88,90.18,88.55,89.18,621083
2024-06-27,89.56,90.99,89.18,90.99,562634
2024-06-28,91.11,92.56,89.74,90.5,2609142.0
2024-07-01,91.37,91.83,86.57,86.84,668027
2024-07-02,87.49,88.67,86.95,87.83,515892
2024-07-03,88.23,88.99,87.37,88.17,321773
2024-07-05,88.05,88.65,87.12,88.42,415203
2024-07-08,89.09,90.2399,88.89,89.75,484249
2024-07-09,89.42,90.53,88.86,88.9,412916
2024-07-10,89.34,91.17,89.08,91.06,466388
2024-07-11,92.89,96.1,92.89,94.71,836430
2024-07-12,95.96,98.77,95.625,97.09,815273
2024-07-15,96.3,99.17,96.3,96.97,793717
2024-07-16,98.48,102.54,97.79,102.47,954348
2024-07-17,102.17,103.47,98.72,98.84,692542
2024-07-18,98.42,102.53,97.24,97.7,617580
2024-07-19,97.93,98.62,96.43,96.84,318121
2024-07-22,97.76,99.03,96.74,98.74,562443
2024-07-23,98.44,101.3524,98.245,99.71,614421
2024-07-24,99.41,100.52,95.88,95.92,573211
2024-07-25,96.75,100.32,96.07,98.35,580460
2024-07-26,100.25,102.595,99.475,101.16,485699
2024-07-29,101.75,102.465,100.31,100.4,462358
2024-07-30,101.45,102.44,99.97,100.09,557794
2024-07-31,101.33,105.42,100.36,102.8,1210176.0
2024-08-01,102.19,103.945,95.69,98.27,966432
2024-08-02,84.94,88.7,83.4,85.4,2830799.0
2024-08-05,81.07,83.74,77.54,80.79,2639379.0
2024-08-06,80.78,83.73,79.79,82.21,1329385.0
2024-08-07,83.3,84.935,81.011,81.26,894023
2024-08-08,82.87,84.73,82.15,83.45,724932
2024-08-09,84.58,86.22,83.77,85.93,1123597.0
2024-08-12,85.46,85.73,83.11,83.59,650545
2024-08-13,84.64,86.12,83.04,85.62,765365
2024-08-14,86.11,86.255,84.72,85.81,731053
2024-08-15,88.25,88.53,86.43,87.03,881009
2024-08-16,86.61,87.81,85.46,86.17,689805
2024-08-19,86.72,87.06,85.9,86.39,312921
2024-08-20,86.28,86.595,85.03,85.44,348814
2024-08-21,86.58,87.37,85.57,86.75,410071
2024-08-22,87.35,87.89,86.63,87.33,465618
2024-08-23,88.57,91.18,88.07,90.6,730471
2024-08-26,91.64,92.81,90.33,90.65,753942
2024-08-27,90.365,90.75,89.03,89.23,556446
2024-08-28,88.84,89.205,87.9,88.83,513804
2024-08-29,89.61,90.18,87.32,89.13,671858
2024-08-30,89.83,90.76,88.6,90.6,684216
2024-09-03,89.86,90.59,85.94,86.13,581805
2024-09-04,85.21,85.41,84,84.69,861313
2024-09-05,85.12,85.12,83,83.19,520390
2024-09-06,83.04,84.5,81.4,81.58,563444
2024-09-09,81.98,84.74,79.94,80.25,716650
2024-09-10,80.8,81.13,79.2,80.11,763750
2024-09-11,79.52,80.935,78.02,80.22,536156
2024-09-12,80.75,82.24,79.558,81.04,376666
2024-09-13,82.51,84.235,82.51,83.48,485058
2024-09-16,83.97,85.37,83.36,84.59,437690
2024-09-17,86.26,87.28,84.875,86.58,546734
2024-09-18,86.42,88.3,85.09,85.38,738946
2024-09-19,88.47,88.75,86.83,87.46,860678
2024-09-20,86.75,87.555,85.68,85.84,927888
2024-09-23,86.68,87.95,84.85,85.03,846018
2024-09-24,85,85.6925,84.05,84.465,548342
2024-09-25,84.59,85.15,83.69,84.85,655808
2024-09-26,87.14,88.475,86.44,87.55,668626
2024-09-27,88.14,89.4,87.46,87.72,481969
2024-09-30,86.68,87.5,85.4315,86.43,551010
2024-10-01,86.33,86.75,84.18,84.85,608313
