date,open,high,low,close,volume
2024-03-01,22.98,23.2,22.7661,23.01,18624
2024-03-04,23.05,23.52,22.5501,22.71,12323
2024-03-05,22.7,22.85,22.6,22.69,34620
2024-03-06,22.7,22.9377,22.5273,22.81,66972
2024-03-07,22.77,23.12,22.744,22.96,12671
2024-03-08,23.02,23.09,22.96,23.09,10779
2024-03-11,22.99,23.1,22.76,23.06,9813
2024-03-12,23,23.1999,22.5801,23.06,32604
2024-03-13,22.95,23.15,22.83,23.035,24309
2024-03-14,22.88,23.0753,22.65,22.79,66992
2024-03-15,22.93,23.1399,22.5901,23,24018
2024-03-18,22.97,23.15,22.956,23.13,15775
2024-03-19,23,23.27,22.92,23.22,31113
2024-03-20,23.1,23.4788,23.0748,23.36,18597
2024-03-21,23.5477,23.55,23.06,23.42,17552
2024-03-22,23.37,23.58,23.37,23.47,12551
2024-03-25,23.4381,23.5799,23.3736,23.44,12181
2024-03-26,23.28,23.5256,23.088,23.37,30175
2024-03-27,23.23,23.5579,23.2,23.45,23557
2024-03-28,23.33,23.5799,22.85,22.92,29761
2024-04-01,22.99,23.36,22.9,23.205,24943
2024-04-02,22.88,23.1815,22.85,23.045,9034
2024-04-03,23.0269,23.24,22.9,22.9663,13267
2024-04-04,23.2499,23.31,23.094,23.24,19079
2024-04-05,23.15,23.315,23.15,23.28,10181
2024-04-08,23.1189,23.22,23.1189,23.155,4059
2024-04-09,23.05,23.38,23.05,23.28,38445
2024-04-10,23,23.1244,22.71,23.1,53143
2024-04-11,22.96,23.0099,22.52,22.94,40688
2024-04-12,22.86,23.4299,22.705,22.98,15414
2024-04-15,22.85,22.983,22.51,22.66,31184
2024-04-16,22.5,22.81,22.32,22.8,23704
2024-04-17,22.7,23.3402,22.3701,22.81,14638
2024-04-18,22.71,23.1037,22.48,23.1037,17629
2024-04-19,22.74,22.8,22.51,22.77,30890
2024-04-22,22.77,23.23,22.685,22.78,60416
2024-04-23,22.71,23,22.7,22.96,43414
2024-04-24,22.6961,22.8975,22.565,22.8975,24635
2024-04-25,22.65,22.69,22.1401,22.6,14189
2024-04-26,22.7,22.7699,22.6,22.6984,21174
2024-04-29,22.65,22.94,22.64,22.7,17131
2024-04-30,22.59,22.7339,22.39,22.47,19652
2024-05-01,22.52,22.6754,22.28,22.4,10867
2024-05-02,22.33,22.4999,22.33,22.47,12841
2024-05-03,22.55,22.83,22.1901,22.83,16748
2024-05-06,22.9222,23.17,22.8123,23.17,20213
2024-05-07,23.2,23.2,23.05,23.19,19224
2024-05-08,23,23,22.6303,22.76,21371
2024-05-09,22.62,22.7705,22.445,22.62,18274
2024-05-10,22.7,22.8299,22.3059,22.68,10937
2024-05-13,22.7,22.86,22.36,22.78,12496
2024-05-14,22.69,22.97,22.57,22.58,14387
2024-05-15,22.7999,23.15,22.7501,23.11,15183
2024-05-16,22.95,23.2017,22.84,23.15,19150
2024-05-17,23.04,23.23,23,23.23,5957
2024-05-20,23.1222,23.21,22.9261,23.18,9226
2024-05-21,23.03,23.15,22.86,22.86,20321
2024-05-22,22.975,22.975,22.73,22.75,3711
2024-05-23,22.75,22.78,22.09,22.26,28646
2024-05-24,22.33,22.55,22.2601,22.4,9911
2024-05-28,22.48,22.68,22.26,22.265,12608
2024-05-29,22.24,22.24,22.02,22.23,21175
2024-05-30,22.16,22.5083,22.0401,22.17,18617
2024-05-31,22.05,22.09,21.64,21.88,48862
2024-06-03,22.05,22.1999,21.96,22.14,20457
2024-06-04,22.16,22.5099,22.16,22.26,42352
2024-06-05,22.3,22.555,22.1001,22.22,19234
2024-06-06,22.12,22.31,22.0201,22.31,24539
2024-06-07,22.01,22.18,22.01,22.17,11919
2024-06-10,22.12,22.2034,21.9,22.125,10112
2024-06-11,21.94,21.94,21.71,21.8,17909
2024-06-12,21.95,22.16,21.82,21.83,29669
2024-06-13,21.91,21.92,21.7,21.77,43271
2024-06-14,21.77,22.01,21.66,21.8,17082
2024-06-17,21.8,22.1599,21.62,21.82,24366
2024-06-18,21.7,22.1147,21.7,21.98,31770
2024-06-20,21.78,21.8548,21.65,21.74,45114
2024-06-21,21.78,22.04,21.78,21.88,22574
2024-06-24,21.88,22.1,21.8653,22,13801
2024-06-25,22.02,22.465,21.97,22.25,20243
2024-06-26,22.1,22.6,22.1,22.55,28602
2024-06-27,22.37,22.6399,22.25,22.42,18328
2024-06-28,22.35,22.4775,22,22,24447
2024-07-01,22.1,22.43,21.8701,22.23,49670
2024-07-02,22.48,22.5299,22.06,22.37,12121
2024-07-03,22.42,22.61,22.2965,22.59,20677
