date,open,high,low,close,volume
2024-03-04,0.0145,0.015,0.0145,0.015,1000
2024-03-05,0.015,0.015,0.01464,0.015,138245
2024-03-07,0.019,0.025,0.019,0.02,178555
2024-03-08,0.0194,0.02,0.0194,0.02,100900
2024-03-11,0.0149,0.021,0.0125,0.0208,64643
2024-03-12,0.02,0.021,0.02,0.021,11800
2024-03-14,0.022,0.022,0.022,0.022,100
2024-03-15,0.025,0.025,0.025,0.025,1000
2024-03-19,0.024,0.025,0.024,0.025,40000
2024-03-20,0.025,0.025,0.015,0.0151,15200
2024-03-25,0.0158,0.017,0.0157,0.0167,484
2024-03-26,0.0162,0.02,0.0153,0.02,2800
2024-03-28,0.0197,0.0216,0.0157,0.0213,35786
2024-04-01,0.0272,0.0448,0.027,0.0275,33858
2024-04-02,0.03,0.033,0.0229,0.023,19064
2024-04-03,0.026,0.029,0.0226,0.0226,38508
2024-04-04,0.0225,0.0225,0.0225,0.0225,154
2024-04-08,0.0225,0.0225,0.0225,0.0225,2500
2024-04-11,0.0231,0.0232,0.0231,0.0232,2300
2024-04-12,0.0231,0.0231,0.02,0.02,134959
2024-04-26,0.02,0.02,0.02,0.02,2850
2024-05-08,0.02,0.02,0.02,0.02,2400
2024-05-13,0.0201,0.0201,0.0201,0.0201,1000
2024-06-10,0.022,0.0264,0.0197,0.0204,253900
2024-06-12,0.0224,0.0246,0.02,0.0221,28900
2024-06-13,0.02,0.02,0.02,0.02,100
2024-07-02,0.0312,0.0313,0.0312,0.0313,700
2024-07-03,0.0299,0.0602,0.0299,0.0601,116723
2024-07-11,0.0495,0.0495,0.0495,0.0495,2528
2024-07-12,0.0477,0.0495,0.0398,0.0495,12517
2024-07-24,0.05,0.05,0.05,0.05,204072
2024-07-25,0.0362,0.0362,0.0362,0.0362,200
2024-08-01,0.03,0.03,0.03,0.03,800
2024-08-29,0.0339,0.040031,0.0313,0.040031,856
2024-09-03,0.0328,0.0328,0.0311,0.0312,5400
2024-09-16,0.0253,0.0254,0.021,0.021,6300
2024-09-20,0.0261,0.0261,0.0261,0.0261,7200
2024-09-24,0.0243,0.0243,0.024,0.024,1224
2024-10-08,0.0243,0.0267,0.0206,0.0206,3900
2024-10-11,0.0348,0.0348,0.0348,0.0348,285
2024-10-18,0.0251,0.037,0.022348,0.022348,1156
2024-10-31,0.0247,0.028281,0.0222,0.028281,2400
2024-11-05,0.0231,0.0231,0.023,0.023,244
2024-11-11,0.0222,0.035,0.0222,0.035,14400
2024-11-20,0.0344,0.0345,0.0344,0.0345,200
2024-11-22,0.0267,0.03,0.022,0.03,36053
2024-11-25,0.03,0.03,0.03,0.03,1441
2024-11-26,0.0358,0.0379,0.0345,0.0379,6217
2024-11-27,0.035,0.035,0.035,0.035,1600
2024-12-05,0.045,0.0479,0.045,0.0479,598
2024-12-13,0.0344,0.0479,0.0343,0.0479,2000
2025-01-06,0.04,0.04,0.04,0.04,750
2025-01-17,0.04,0.04,0.04,0.04,595
2025-01-21,0.04,0.0401,0.0298,0.0299,8090
2025-01-22,0.03,0.03,0.0275,0.03,4356
2025-01-24,0.0255,0.03,0.025,0.03,1900
2025-02-04,0.0384,0.0404,0.0384,0.0404,400
2025-02-05,0.035,0.035,0.0325,0.035,278100
2025-02-06,0.035,0.035,0.03,0.033,15600
2025-02-07,0.045,0.0475,0.043,0.043,143084
2025-02-10,0.0479,0.08,0.0475,0.0778,228734
2025-02-11,0.0601,0.0601,0.053366,0.0598,3503
2025-02-12,0.0598,0.1017,0.0598,0.09,15845
2025-02-13,0.1,0.1,0.0363,0.0861,24214
2025-02-14,0.059,0.07,0.041,0.0515,58811
