date,open,high,low,close,volume
2024-03-01,86.39,88.275,85.88,87.14,1927867.0
2024-03-04,87.57,87.92,86.51,87.72,800734
2024-03-05,87.09,87.42,85.01,86.02,1710509.0
2024-03-06,87.25,87.6,86.11,86.77,1133389.0
2024-03-07,87.21,87.87,85.625,85.89,1224164.0
2024-03-08,85.9,86.5545,85.7,85.95,1252138.0
2024-03-11,85.69,86.82,85.53,86,1368855.0
2024-03-12,86.27,86.69,84.87,85.18,1027892.0
2024-03-13,85.19,85.7125,84.57,84.77,1312690.0
2024-03-14,84.61,84.9388,83.53,84.39,1244299.0
2024-03-15,84.56,84.75,83.44,83.87,1185803.0
2024-03-18,84.13,84.665,83.6613,83.81,1404653.0
2024-03-19,84.43,85.6,83.7748,85.27,1300210.0
2024-03-20,85.01,85.19,83.82,84.76,879941
2024-03-21,84.99,85.245,83.835,84.11,919108
2024-03-22,84.35,85.29,83.895,85.13,876820
2024-03-25,84.7,86.99,84.7,86.52,1409254.0
2024-03-26,86.94,87.86,86.495,87.74,1346939.0
2024-03-27,88.18,88.74,87.92,88.61,1031697.0
2024-03-28,88.34,88.655,86.65,87.34,1027708.0
2024-04-01,86.98,87.305,86.09,87.1,715533
2024-04-02,86.25,86.94,85.62,86.8,1410588.0
2024-04-03,86.48,87.72,86.475,86.78,1166479.0
2024-04-04,86.78,88.13,86.63,86.89,1151883.0
2024-04-05,86.46,87.228,86.01,86.95,828855
2024-04-08,87,88.11,86.95,87.28,1344968.0
2024-04-09,87.35,89.19,87.35,88.98,1178105.0
2024-04-10,88.38,90.41,87.79,90.21,2204505.0
2024-04-11,90.99,91.59,89.33,91.46,2296918.0
2024-04-12,91.26,93.26,91.09,92.22,2419825.0
2024-04-15,92.58,93.36,90.96,91.51,1926929.0
2024-04-16,90.93,91.78,90.16,90.87,1229304.0
2024-04-17,91.14,91.525,90.02,90.47,1277091.0
2024-04-18,90.25,91.21,89.775,90.07,929215
2024-04-19,89.67,90.18,88.29,88.63,1757860.0
2024-04-22,89.46,89.8075,88.89,89.49,1229282.0
2024-04-23,90.03,92.215,89.93,92.06,1287954.0
2024-04-24,92.69,93.015,91.005,91.2,1564399.0
2024-04-25,86.26,86.78,81,82.17,7884074.0
2024-04-26,82.33,83.09,80.9,80.91,2257132.0
2024-04-29,81.65,83.85,81.44,82.13,1945289.0
2024-04-30,81.79,81.79,80.52,80.76,1962203.0
2024-05-01,81.07,83.98,80.5,83.33,1827201.0
2024-05-02,82.91,85.035,81.43,83.8,1202861.0
2024-05-03,84.8,84.8,82.32,82.44,1618712.0
2024-05-06,83.2,83.585,81.83,82.1,888142
2024-05-07,82.4,83.02,81.77,82.58,880602
2024-05-08,82,83.19,81.79,81.83,1263744.0
2024-05-09,81.62,82.41,81.4,81.72,1136422.0
2024-05-10,81.14,81.95,80.7417,81.03,1507440.0
2024-05-13,81.24,81.57,80.37,80.5,1284773.0
2024-05-14,80.74,80.74,79.52,79.65,1526764.0
2024-05-15,80.12,80.96,79.96,80.4,2102780.0
2024-05-16,80.18,80.66,76.52,76.97,3848666.0
2024-05-17,76.24,78.03,76.14,77.56,3414360.0
2024-05-20,77.52,77.58,76.25,77.05,1713779.0
2024-05-21,76.72,77.61,76.4,77.34,1803909.0
2024-05-22,76.77,78.195,76.375,76.45,2311843.0
2024-05-23,76.17,76.17,75.0319,75.9,2841944.0
2024-05-24,75.77,75.96,75.12,75.52,2017242.0
2024-05-28,75.69,75.775,74.09,74.43,2836729.0
2024-05-29,74.11,75.33,73.69,75.06,2731513.0
2024-05-30,75.19,75.285,73.675,74.48,2061036.0
2024-05-31,74.54,75.335,74.17,75.07,2184733.0
2024-06-03,75.75,77.75,75.4,76.41,2152160.0
2024-06-04,76.8,79.63,75.89,79.09,3735400.0
2024-06-05,79.02,79.81,77.75,79.67,1942300.0
2024-06-06,79.67,81.145,78.95,80.85,1961471.0
2024-06-07,81,81.47,80.31,80.69,1485348.0
2024-06-10,84.48,85.51,82.85,82.94,7225981.0
2024-06-11,82.2,84.15,82.19,83.87,2926131.0
2024-06-12,84.04,85.3,83.525,84.55,3396710.0
2024-06-13,84.4,84.8899,83.37,84.24,3932290.0
2024-06-14,83.57,84.75,83.07,83.51,2455041.0
2024-06-17,83.06,85.58,83.06,85.02,2594895.0
2024-06-18,85.08,86.125,84.02,84.15,2903494.0
2024-06-20,84.07,85.28,83.06,84.71,3014106.0
2024-06-21,85.73,85.73,82.44,83.78,28146417.0
2024-06-24,84.28,85.45,84.16,85.14,3359144.0
2024-06-25,85.07,86.1,84.51,84.97,2184808.0
2024-06-26,84.76,85.505,84.07,85.25,1592548.0
2024-06-27,84.73,84.85,82.17,83.5,1730433.0
2024-06-28,83.66,83.99,82.15,82.33,2452083.0
2024-07-01,82.83,84.08,81.68,82.13,1460979.0
2024-07-02,82.08,82.435,81.55,82.22,1049936.0
2024-07-03,82.82,82.82,80.6,80.975,609683
2024-07-05,80.98,81.98,80.53,81.45,857786
2024-07-08,81.71,83.57,81.365,82.68,1376105.0
2024-07-09,82.55,83.56,82.12,82.98,958481
2024-07-10,83.24,83.24,82.21,82.29,1260419.0
2024-07-11,82.76,84.59,82.09,83.91,1494565.0
2024-07-12,84.04,85.75,83.38,85.02,1259931.0
2024-07-15,85.19,85.695,84.23,84.59,1070701.0
2024-07-16,85.17,85.92,84.73,85.89,1067625.0
2024-07-17,85.49,85.96,84.2,84.66,1058080.0
2024-07-18,84.83,86.24,83.32,83.34,1293837.0
2024-07-19,83.16,84.2,83.11,84.09,1871456.0
2024-07-22,84.34,85.78,84.0372,85.31,1339803.0
2024-07-23,85.28,85.85,84.37,84.43,1250294.0
2024-07-24,84.42,85.01,83.815,84.63,770667
2024-07-25,84.64,86.8,84.6,85.59,1993180.0
2024-07-26,85.66,86.45,84.07,84.59,1021382.0
2024-07-29,84.34,84.96,83.21,84.07,1085193.0
2024-07-30,84.2,84.9088,83.62,84.39,863855
2024-07-31,84.39,85.485,83.28,84.33,922915
2024-08-01,84.4,85.53,84.4,84.62,844773
2024-08-02,83.77,84.465,83,84.2,757013
2024-08-05,80.24,83.41,80.06,80.47,2204950.0
2024-08-06,87.79,88,83.61,86.87,3872096.0
2024-08-07,87.49,87.88,85.6,86.3,2163792.0
2024-08-08,87,88.05,86.33,87.9,1524499.0
2024-08-09,87.72,89.03,87.2,88.64,1321502.0
2024-08-12,88.89,89.98,88.38,89.03,1265165.0
2024-08-13,89.26,91.02,89.15,90.985,1267292.0
2024-08-14,90.88,91,89.405,89.61,725213
2024-08-15,90.44,90.76,88.95,89.18,1175408.0
2024-08-16,89.23,89.72,88.22,89.53,815242
2024-08-19,89.61,92.79,89.4,92.76,1547861.0
2024-08-20,93.94,94.85,92.96,93.84,2071756.0
2024-08-21,93.5,94.64,92.45,92.57,1983933.0
2024-08-22,92.73,92.73,89.71,90.02,2133800.0
2024-08-23,90,90.79,89.37,90.02,1076876.0
2024-08-26,90.45,90.54,89.67,89.98,930691
2024-08-27,90.18,90.62,88.61,90.46,1102410.0
2024-08-28,90.7,91.31,89.97,90.32,979074
2024-08-29,90.6,93.04,90.29,91.37,1510256.0
2024-08-30,91.46,92.345,89.95,91.21,1202006.0
2024-09-03,91.21,92.81,90.85,91.595,1956330.0
2024-09-04,91.19,92.05,87.68,89.86,3730059.0
2024-09-05,90.01,90.01,84.89,85.12,2437518.0
2024-09-06,85.33,86.04,83.73,84.08,1530467.0
2024-09-09,84.28,84.84,83.45,84.33,1652346.0
2024-09-10,84.48,85.64,83.69,84.85,1817383.0
2024-09-11,84.72,84.94,83.43,84.78,1435863.0
2024-09-12,84.83,85,83.91,84.38,1466310.0
2024-09-13,84.43,85,83.95,84.9,1185502.0
2024-09-16,77.526,78,69.6,69.86,10579579.0
2024-09-17,70,71.64,68.8309,70.55,4636978.0
2024-09-18,70.87,71.58,70.11,71.14,2169799.0
2024-09-19,71.75,72.07,70.42,71.41,2930769.0
2024-09-20,71.82,71.82,70.09,70.69,3058536.0
2024-09-23,70.3,70.92,69,69.13,2029109.0
2024-09-24,69.13,69.65,67.7501,69.48,2148300.0
2024-09-25,69.03,69.54,68.12,69.02,1686951.0
2024-09-26,69.21,70.33,68.7,70.24,1294610.0
2024-09-27,70.55,71,70.24,70.58,1079149.0
2024-09-30,70.58,71.235,69.9101,70.29,1399406.0
2024-10-01,70.66,70.74,69.81,70.1,1197146.0
2024-10-02,69.66,69.85,68.52,69.66,1119448.0
2024-10-03,69.58,69.81,68.1,68.16,1392330.0
2024-10-04,68.49,69.58,67.76,69.51,1312402.0
2024-10-07,69.2,69.265,68.365,68.96,826918
2024-10-08,69,69,68.03,68.69,1551936.0
2024-10-09,68.95,69.95,68.34,69.8,1511278.0
2024-10-10,69.8,69.88,68.95,69.85,958853
2024-10-11,69.64,70.58,69.245,70.35,789682
2024-10-14,70.4,70.77,69.96,70.27,1054382.0
2024-10-15,70.12,70.52,69.5307,70.46,1029825.0
2024-10-16,70.24,70.9028,69.94,70.16,1336316.0
2024-10-17,70.28,70.28,69.34,69.47,888747
2024-10-18,69.7,70.13,69.29,70.11,1370819.0
2024-10-21,69.99,70.81,69.555,70.28,1539322.0
2024-10-22,69.72,70.735,69.5,70.53,1143312.0
2024-10-23,70.23,70.37,69.395,69.98,1524800.0
2024-10-24,70.05,70.98,69.58,70.39,1116125.0
2024-10-25,70.68,70.98,69.66,69.73,1037999.0
2024-10-28,69.92,70.71,69.6,70.13,1516178.0
2024-10-29,69.78,70.56,69.1999,69.91,1813197.0
2024-10-30,69.67,69.67,65.78,66.68,2718618.0
2024-10-31,66.68,66.92,65.35,65.89,1785316.0
2024-11-01,65.7,66.81,65.6,66.6,1605621.0
2024-11-04,66.24,66.59,65.555,66.01,2026562.0
2024-11-05,66.23,66.23,65.45,66.04,1598919.0
2024-11-06,67.31,67.64,65.79,66.15,1927380.0
2024-11-07,66.32,67.3,65.755,66.94,1294587.0
2024-11-08,66.76,67.44,66.671,67.07,1022622.0
2024-11-11,67.21,67.95,66.325,66.37,863816
2024-11-12,65.96,66.69,65.8,66.13,1139750.0
2024-11-13,66.18,67,66.0001,66.66,1348017.0
2024-11-14,66.37,67,65.53,65.6,1332407.0
2024-11-15,66.05,66.05,63.22,63.42,1642616.0
2024-11-18,63.15,63.52,61.4,61.93,2034127.0
2024-11-19,61.57,62.03,61.15,61.97,1866286.0
2024-11-20,61.97,62.7,61.61,62.56,1227678.0
2024-11-21,62.4,63.76,61.41,63.45,1326829.0
2024-11-22,63.88,64.46,63.78,64.26,1242482.0
2024-11-25,64.35,65.69,64.315,65.09,2092302.0
2024-11-26,65,65.09,64.113,64.88,990929
2024-11-27,65.16,65.52,64.64,65.42,908957
2024-11-29,65.33,66.17,65.23,66.03,666743
2024-12-02,65.71,65.86,64.97,65.04,1152926.0
2024-12-03,64.7,65.13,63.09,63.19,1252798.0
2024-12-04,63.14,66.71,62.84,66.51,2828912.0
2024-12-05,66.05,66.92,65.38,66.16,3768916.0
2024-12-06,66.89,67.2,65.79,66.74,1618092.0
2024-12-09,66.33,67.87,66.33,66.81,1758989.0
2024-12-10,67,67.065,66.13,66.43,793951
2024-12-11,66.42,67.05,65.49,65.97,762507
2024-12-12,65.45,66.68,65.3501,66.26,1024583.0
2024-12-13,66.08,66.2699,64.89,66.01,750417
2024-12-16,66.5,67.17,65.42,65.54,1396605.0
2024-12-17,64.89,67.85,64.8,67.19,1684140.0
2024-12-18,67.19,67.58,64.6,64.69,1161115.0
2024-12-19,64.63,65.62,63.93,65,1362628.0
2024-12-20,64.9,66.27,64.07,65.66,2857364.0
2024-12-23,65.07,66.46,64.65,66.27,864615
2024-12-24,65.96,67.09,65.245,66.63,438264
2024-12-26,66.3,67.1,66.2101,67.02,872526
2024-12-27,66.89,67.47,66.378,66.89,770277
2024-12-30,66.3,66.46,65.24,65.45,1158717.0
2024-12-31,65.74,66.16,65.33,65.73,784811
2025-01-02,65.97,66.74,65.86,66.49,827389
2025-01-03,66.56,67.5,66.44,66.83,799989
2025-01-06,66.93,67.75,66.7,67.07,999932
2025-01-07,67.07,68.85,66.91,67.9,1291441.0
2025-01-08,67.9,69.7,67.425,68.38,1429113.0
2025-01-10,67.262,67.94,66.01,67.38,1168929.0
2025-01-13,67.58,67.58,65.95,66.99,1152431.0
2025-01-14,67.35,67.38,63.58,63.81,1721067.0
2025-01-15,64.04,64.72,61.38,61.58,3088012.0
2025-01-16,61.85,61.85,60.63,61.25,2795789.0
2025-01-17,61.67,62.371,61.37,61.53,2578000.0
2025-01-21,61.7,63.03,61.56,62.53,2187705.0
