date,open,high,low,close,volume
2024-03-01,1.215,1.25,1.19,1.19,61882
2024-03-04,1.21,1.22,1.1201,1.205,50152
2024-03-05,1.18,1.2013,1.1,1.17,121670
2024-03-06,1.1,1.1733,1.1,1.15,43850
2024-03-07,1.16,1.2054,1.131,1.17,59738
2024-03-08,1.21,1.22,1.18,1.22,70983
2024-03-11,1.2,1.23,1.13,1.13,62414
2024-03-12,1.13,1.16,1.06,1.06,105687
2024-03-13,1.11,1.115,1.06,1.1,36229
2024-03-14,1.06,1.11,0.9961,1.03,87788
2024-03-15,1.03,1.0477,1.01,1.03,62551
2024-03-18,1,1.25,1,1.05,120064
2024-03-19,1,1.08,1,1.04,58287
2024-03-20,1.01,1.06,1.01,1.0414,33890
2024-03-21,1.07,1.11,0.98,1,2065379.0
2024-03-22,1,1.02,0.89,0.96,269615
2024-03-25,0.953,1,0.9301,0.9301,108447
2024-03-26,0.96,1.1,0.96,1.05,238788
2024-03-27,1.05,1.06,0.9813,1.03,61996
2024-03-28,0.9991,1.05,0.9901,1.03,59388
2024-04-01,0.9991,1.0488,0.9991,1,17476
2024-04-02,1,1.0325,0.98,0.9904,31494
2024-04-03,1.028,1.028,0.9062,1,73696
2024-04-04,1.0001,1.01,0.98,0.9948,21363
2024-04-05,1.02,1.05,0.9906,1.01,52418
2024-04-08,1.04,1.04,1,1.0252,26181
2024-04-09,1.05,1.05,1.01,1.02,40507
2024-04-10,1.02,1.03,1,1,16848
2024-04-11,1,1.0299,1,1,23240
2024-04-12,1.04,1.0499,0.99,0.995,60246
2024-04-15,0.99,1.02,0.93,0.979,72811
2024-04-16,0.96,1,0.9302,0.9626,29989
2024-04-17,0.94,0.9988,0.9324,0.9591,29023
2024-04-18,0.97,0.999,0.9591,0.979999,18036
2024-04-19,0.99,0.99,0.96,0.9794,14415
2024-04-22,0.9687,0.9698,0.95,0.9599,24636
2024-04-23,0.95,0.969501,0.9201,0.9232,43277
2024-04-24,0.9201,0.953699,0.91,0.9469,25185
2024-04-25,0.94,1,0.9175,0.9663,73577
2024-04-26,0.99,1,0.9336,1,45062
2024-04-29,1.04,1.04,0.98,1.01,25919
2024-04-30,0.99,1.02,0.937,0.95,64040
2024-05-01,0.9495,0.979999,0.84,0.9108,61154
2024-05-02,0.93,0.94,0.9171,0.9295,12425
2024-05-03,0.95,0.97,0.93,0.96,23511
2024-05-06,0.97,1.015,0.9558,0.9878,33360
2024-05-07,0.995,1.0001,0.96,0.96,27517
2024-05-08,0.96095,0.9613,0.9364,0.9613,16736
2024-05-09,1,1,0.9305,0.9634,17952
2024-05-10,0.9455,0.978,0.9352,0.9511,13910
2024-05-13,0.93,0.9682,0.91,0.9219,30029
2024-05-14,0.915,0.9688,0.9036,0.9301,80649
2024-05-15,0.925,0.948999,0.8978,0.92005,38878
2024-05-16,0.9075,0.932,0.9075,0.92285,7688
2024-05-17,0.9,0.9301,0.9,0.9024,32746
2024-05-20,0.93,0.935,0.9025,0.916698,11741
2024-05-21,0.9298,1.2,0.9026,1.18,802364
2024-05-22,1.27,1.27,1.07,1.2,454274
2024-05-23,1.22,1.22,0.9205,0.9701,271649
2024-05-24,0.951,1.17,0.95,1.01,138038
2024-05-28,1.06,1.06,0.92,0.975,78159
2024-05-29,0.95,0.989999,0.93,0.9625,43579
2024-05-30,1,1,0.9601,0.9879,16286
2024-05-31,1,1.0599,0.83,0.84,3724372.0
2024-06-03,0.84,0.8567,0.755,0.8,333481
2024-06-04,0.8033,0.8033,0.6802,0.7,220534
2024-06-05,0.71,0.75,0.69,0.73,116948
2024-06-06,0.741,0.75,0.666,0.731099,124373
2024-06-07,0.7294,0.7311,0.6915,0.71,97110
2024-06-10,0.7097,0.76,0.6782,0.7069,132270
2024-06-11,0.6857,0.72,0.6776,0.6874,98110
2024-06-12,0.7105,0.7282,0.65,0.6988,174189
2024-06-13,0.814,0.85,0.7201,0.8254,1358727.0
2024-06-14,0.809,0.8299,0.76,0.78,176048
2024-06-17,0.8,0.830261,0.7401,0.792826,162526
2024-06-18,0.87,0.87,0.751,0.803,181679
2024-06-20,0.771,0.8,0.7505,0.768,72494
2024-06-21,0.7675,0.785,0.74,0.7706,39387
2024-06-24,0.77,0.81,0.72,0.7777,146193
2024-06-25,0.7451,0.7875,0.715,0.716,59873
2024-06-26,0.727,0.77,0.664,0.747899,70538
2024-06-27,0.751,0.775,0.7401,0.741,34234
2024-06-28,0.73,0.767,0.7,0.767,58648
2024-07-01,0.7332,0.7661,0.69,0.69,96858
2024-07-02,0.7126,0.73,0.6952,0.7075,60051
2024-07-03,0.729,0.73,0.65,0.6661,50035
2024-07-05,0.67,0.735,0.67,0.6818,75890
