date,open,high,low,close,volume
2024-03-01,89.7,92.313,89.46,90.94,704277
2024-03-04,89.89,90.4,87.9001,89.3,619412
2024-03-05,88.25,91.25,88.25,90.52,664831
2024-03-06,91.1,92.11,90.27,91.39,576189
2024-03-07,91.39,91.89,90.64,91.09,353573
2024-03-08,91.09,91.53,90.69,91.27,266557
2024-03-11,91.1,97.5,90.85,96.3,1260262.0
2024-03-12,96.82,96.99,94.8,95.73,411429
2024-03-13,95.74,96.68,93.36,93.95,565946
2024-03-14,94.05,94.33,92.37,92.91,638368
2024-03-15,92.21,92.95,91.47,92.48,645461
2024-03-18,92.92,94.015,91.65,92.99,459242
2024-03-19,92.24,94.4394,92.2,94.12,571428
2024-03-20,88.93,90.11,85.2129,90,2966663.0
2024-03-21,89.55,93.39,88.17,91.99,1349461.0
2024-03-22,91.5,92.05,90.78,91.83,558715
2024-03-25,91.31,93.24,91.16,93,489538
2024-03-26,93.5,93.52,91.5,91.7,360719
2024-03-27,92.38,93.555,90.8,92.97,378283
2024-03-28,92.9,93.8425,92.2,92.25,433116
2024-04-01,92.37,93.24,91.194,93.12,252442
2024-04-02,93,93.06,91.32,91.53,351084
2024-04-03,91.19,91.73,89.52,90.78,405101
2024-04-04,91.65,91.845,89.85,89.94,326170
2024-04-05,89.47,90.6999,89,90.52,290555
2024-04-08,90.46,90.82,89.18,89.31,647374
2024-04-09,88.98,92.48,88.8,90.05,627103
2024-04-10,88.53,89.39,87.61,88.65,429437
2024-04-11,89.64,89.64,86.81,87.01,574536
2024-04-12,86.69,86.79,85.6,86.48,726723
2024-04-15,86.12,88.955,86.065,87.89,752691
2024-04-16,86.44,87.315,86.14,86.34,777820
2024-04-17,86.63,86.875,85.4,86.4,1263898.0
2024-04-18,85.67,86.77,85.605,86.17,571853
2024-04-19,85.7,87.59,85.625,86.81,1204779.0
2024-04-22,86.88,88.72,86.5,88.01,522705
2024-04-23,88.08,89.52,87.58,88.49,362446
2024-04-24,88.59,89.45,87.82,88.09,267227
2024-04-25,87.98,88.24,86.13,86.71,434017
2024-04-26,87.4,88.32,86.89,87.21,348531
2024-04-29,87.01,89.53,87.01,87.95,408861
2024-04-30,88.39,89.62,87.87,88.82,403020
2024-05-01,86.77,90.66,86.36,89.95,426983
2024-05-02,90.75,92.4,90.68,92.24,560537
2024-05-03,93.42,93.54,91.6,92.72,663100
2024-05-06,90.09,95.29,89.94,93.35,1096725.0
2024-05-07,92.85,93.23,90.75,90.88,485501
2024-05-08,90.72,90.99,89.38,90.13,343666
2024-05-09,90.24,93.86,90.14,92.06,581122
2024-05-10,92.59,93.385,91.53,91.67,389576
2024-05-13,92.56,93.48,92.4132,92.72,249213
2024-05-14,92.79,93.22,91.71,92.28,271517
2024-05-15,93,93,91.6042,92.2,468427
2024-05-16,92,93.3,91.78,92.98,382634
2024-05-17,92.8,92.8,90.535,90.61,468345
2024-05-20,90.57,92.67,90.24,92.47,340446
2024-05-21,91.62,92.26,90.9,92.07,317215
2024-05-22,92,102.66,91.8,102.3,3608268.0
2024-05-23,101.75,101.95,97.68,99,1550684.0
2024-05-24,99,99.27,94.52,96.95,1242994.0
2024-05-28,97.72,97.72,92.57,94.1,862278
2024-05-29,93.02,93.54,91.57,93.23,430850
2024-05-30,94,103.41,92.39,98.75,2791326.0
2024-05-31,99.5,103.57,98.62,100.6,1602730.0
2024-06-03,100,103.75,99.67,102.87,945649
2024-06-04,103.32,103.32,99.1144,99.48,1017116.0
2024-06-05,99.7,102.7,98.55,102.5,883734
2024-06-06,102.56,104.33,101.68,101.81,616811
2024-06-07,101,101.96,100.29,100.34,371235
2024-06-10,99.66,99.96,97.4,97.98,645447
2024-06-11,97.64,99.36,97.1101,98.8,467132
2024-06-12,101.85,101.87,97.51,97.91,510518
2024-06-13,97.79,98.28,95.24,96,375540
2024-06-14,94.26,95.241,92.015,92.08,762984
2024-06-17,91.2,91.2,87.21,88.44,1127766.0
2024-06-18,88.44,88.61,85.32,86.27,891724
2024-06-20,85.52,86.62,85.52,85.88,478030
2024-06-21,85.81,86.09,83.72,84.64,1028597.0
2024-06-24,86.98,87.18,85.205,86.61,1118793.0
2024-06-25,84.83,85.79,84.06,84.38,564777
2024-06-26,84.13,84.2,82.04,82.52,786007
2024-06-27,82.53,82.6399,80.3,80.38,975458
2024-06-28,80.92,81.44,80.02,80.36,548653
2024-07-01,80.22,81.88,78.68,78.83,887668
2024-07-02,78.79,79.23,78.02,78.76,486125
2024-07-03,79.65,81.5,79.38,79.86,594056
2024-07-05,80.29,80.82,79.29,80.09,471824
2024-07-08,80.67,81.16,79.65,80.49,469809
2024-07-09,80.52,81.13,79.881,80.51,361705
2024-07-10,80.92,81.69,80.2,81.3,787422
2024-07-11,81.98,85.44,81.84,84.7,740156
2024-07-12,85.74,86.98,83.62,84.95,848005
2024-07-15,84.95,84.95,83.17,84.25,397200
2024-07-16,84.41,86.91,84.17,86.82,572639
2024-07-17,86.78,87.87,85.02,86.47,483524
2024-07-18,87.06,87.62,85.97,86.37,512465
2024-07-19,86.01,86.45,85.02,85.46,357225
2024-07-22,86.72,86.8,84.42,86.08,399647
2024-07-23,85.31,85.85,83.77,85.5,265259
2024-07-24,83.08,84.45,82.605,83.14,505779
2024-07-25,82.98,85.96,82.7,84.68,405593
2024-07-26,85.05,86.1423,84.92,85.94,260687
2024-07-29,86.01,86.75,85.01,86.61,357741
2024-07-30,87.88,88.98,86.02,86.74,757997
2024-07-31,87.11,87.54,85.64,86.2,411195
2024-08-01,82.72,82.74,80.23,80.68,1105558.0
2024-08-02,82.14,82.74,80.36,82.01,1312858.0
2024-08-05,76.55,81.19,76.5301,78.36,1659359.0
2024-08-06,78.6,80.34,76.84,79.5,740966
2024-08-07,81.54,81.75,78.39,79.25,783578
2024-08-08,78.57,81.1,78.47,80.53,532262
2024-08-09,80.5,81.1,79.14,80.8,420537
2024-08-12,80.83,81.02,79.94,80.62,316578
2024-08-13,79.99,83.12,79.88,82.84,1035426.0
2024-08-14,83.78,85.58,82.9,84.85,615743
2024-08-15,84.34,87.57,84.34,87.25,749384
2024-08-16,84.25,85.67,82.46,85.19,1078441.0
2024-08-19,85.25,90.78,85.25,89.93,1373443.0
2024-08-20,89.08,90.58,88.27,88.53,648242
2024-08-21,88.83,89.53,87.76,88.99,389330
2024-08-22,88.8,89.17,87.14,87.23,369327
2024-08-23,88.31,89.68,87.76,88.19,435910
2024-08-26,88.69,90.24,87.21,87.51,471524
2024-08-27,88.21,88.21,86.3,87.11,285115
2024-08-28,85,88.47,85,88.2,440712
2024-08-29,87.5,89.48,87.5,87.6,466984
2024-08-30,87.68,88.66,87,88.22,593438
2024-09-03,88.08,88.94,86.86,88,730684
2024-09-04,86.66,89.42,86.45,89.02,457990
2024-09-05,88.84,91.68,88.84,90.15,555542
2024-09-06,89.4,90.39,88.3,89.94,631225
2024-09-09,91.33,101.15,90.92,100.53,2352789.0
2024-09-10,96.38,103.19,96.38,100.63,1642473.0
2024-09-11,100.99,101.66,97.33,99.27,868539
2024-09-12,97,105.07,95.45,105,1809885.0
2024-09-13,105.08,125.41,105,123.4,6215600.0
2024-09-16,121.77,129.38,120.94,123.47,3781898.0
2024-09-17,127.4,131.49,121.88,124.71,2553981.0
2024-09-18,121.4,122.99,115.5,115.62,1931720.0
2024-09-19,117.18,117.28,110.34,112.51,1941563.0
2024-09-20,111.43,114.33,110.47,112.28,1473326.0
2024-09-23,113.47,114.1267,111.0001,113.05,877273
2024-09-24,116.79,119.6,115,118.47,1694639.0
2024-09-25,117.71,119.75,115.33,115.8,899864
2024-09-26,116.81,118,115.205,117.64,653002
2024-09-27,119.17,119.31,117.3,118.22,525651
2024-09-30,117.3,119.2,116.91,118.77,566803
2024-10-01,119.91,120.76,117.67,119.93,749398
2024-10-02,118.92,120.3,115.16,119,770425
2024-10-03,118.8,120.09,117.94,119.8,624960
2024-10-04,119.7,124.14,119.6845,122.68,649497
2024-10-07,122.19,124,119.881,121.55,853284
2024-10-08,120.45,122.465,120.12,120.3,468450
2024-10-09,119.28,119.45,116.72,117.47,537142
2024-10-10,117.48,118.53,115.765,118.37,468964
2024-10-11,118.19,120.91,117.46,120.52,444855
2024-10-14,119.68,121.57,119.665,120.14,539898
2024-10-15,118.97,119.858,116.595,117.53,567788
2024-10-16,117.64,118.395,116.495,117.74,441672
2024-10-17,117.3,117.64,114.365,114.47,696752
