date,open,high,low,close,volume
2024-03-01,10.64,10.77,10.45,10.45,3183
2024-03-05,10.38,10.73,10.38,10.41,4432
2024-03-06,10.6,10.76,10.46,10.46,1824
2024-03-07,10.43,10.43,10.3665,10.42,1885
2024-03-08,10.43,10.59,10.43,10.59,896
2024-03-11,10.4,10.475,10.3507,10.3507,1482
2024-03-12,10.3902,10.3902,10.35,10.35,507
2024-03-13,10.4,10.7376,10.4,10.57,2457
2024-03-14,10.7699,10.7699,10.7,10.7498,2436
2024-03-15,10.77,10.84,10.7,10.84,1037
2024-03-18,10.76,10.76,10.75,10.75,762
2024-03-19,10.76,11,10.76,10.82,6997
2024-03-20,10.98,11.5133,10.98,11.39,3833
2024-03-21,11.265,11.265,11.0845,11.2275,2378
2024-03-22,11.36,11.365,11.13,11.36,1301
2024-03-25,11.25,11.3201,11.25,11.3201,1054
2024-03-26,11.1202,11.29,11.12,11.29,5031
2024-03-27,11.255,11.255,11.255,11.255,641
2024-04-01,11.3,11.3,11.255,11.2644,794
2024-04-02,11.26,11.26,11.25,11.25,696
2024-04-03,11.3,11.3,11.3,11.3,390
2024-04-04,11.3,11.33,11.3,11.33,863
2024-04-05,11.28,11.3301,11.28,11.3301,831
2024-04-08,11.225,11.225,11.225,11.225,450
2024-04-09,11.01,11.01,11.01,11.01,499
2024-04-10,10.9999,10.9999,10.73,10.8159,1769
2024-04-12,11.13,11.13,11.13,11.13,392
2024-04-15,10.7691,10.7691,10.7501,10.7501,253
2024-04-16,10.7201,10.7201,10.7201,10.7201,368
2024-04-17,10.76,10.76,10.76,10.76,454
2024-04-18,10.62,10.62,10.62,10.62,1124
2024-04-22,10.61,10.62,10.4431,10.46,1566
2024-04-23,10.571,10.571,10.571,10.571,1693
2024-04-24,10.78,10.78,10.78,10.78,236
2024-04-25,10.5245,10.5245,10.5,10.5,3560
2024-04-29,10.42,10.42,10.42,10.42,369
2024-04-30,10.56,10.56,10.5111,10.5111,1158
2024-05-01,10.5569,10.5569,10.5569,10.5569,1288
2024-05-02,10.55,10.5636,10.36,10.5636,789
2024-05-03,10.35,10.35,10.02,10.02,10387
2024-05-06,10.2,10.3563,10.2,10.31,3303
2024-05-07,10.47,10.47,10.38,10.38,912
2024-05-08,10.4,10.47,10.4,10.4101,1094
2024-05-09,10.4,10.47,10.3801,10.3801,1882
2024-05-10,10.4169,10.4574,10.38,10.4574,632
2024-05-13,10.42,10.42,10.38,10.38,1587
2024-05-14,10.3436,10.3436,10.3436,10.3436,253
2024-05-15,10.456,10.456,10.4113,10.4113,333
2024-05-16,10.375,10.46,10.375,10.46,682
2024-05-17,10.404,10.47,10.275,10.35,3222
2024-05-20,10.39,10.47,10.28,10.47,3300
2024-05-21,10.405,10.46,10.35,10.3737,1595
2024-05-22,10.37,10.46,10.2001,10.44,2383
2024-05-23,10.25,10.35,10.18,10.2712,4452
2024-05-24,10.2433,10.2433,10.1,10.14,3554
2024-05-28,10.14,10.33,10.03,10.06,4679
2024-05-29,10.03,10.1382,10.02,10.02,9760
2024-05-30,10.1556,10.2199,10.02,10.03,5386
2024-05-31,10.02,10.1,10.02,10.1,2816
2024-06-03,10.21,10.21,10.15,10.15,1101
2024-06-04,10.175,10.2184,10,10,9001
2024-06-05,10.09,10.09,10.09,10.09,489
2024-06-06,10,10,9.9,9.935,2042
2024-06-10,10.07,10.07,9.99,9.99,1403
2024-06-12,10,10,9.98,9.98,951
2024-06-13,10.13,10.13,10.13,10.13,363
2024-06-14,10.124,10.124,9.9,9.9,2603
2024-06-17,9.9,9.975,9.9,9.92,1485
2024-06-18,9.9,9.91,9.9,9.9,1416
2024-06-20,9.9,9.9,9.86,9.86,731
2024-06-21,9.95,10.04,9.94,10.04,2694
2024-06-26,9.95,10.05,9.92,10.05,2781
2024-06-27,9.99,9.99,9.92,9.95,1562
2024-06-28,10.04,10.04,10.04,10.04,286
