date,open,high,low,close,volume
2024-02-28,26.83,27.73,26.455,27.33,551610
2024-02-29,28.2,28.3,26.295,27.82,949289
2024-03-01,27.8,28.03,26.9127,27.94,1237505.0
2024-03-04,28.32,29.87,28.13,29.76,683812
2024-03-05,29.41,29.87,29.125,29.85,673724
2024-03-06,29.9,30.5301,29.635,29.79,498396
2024-03-07,30,30.035,28.93,29.15,412752
2024-03-08,29.39,29.72,28.93,29.31,406402
2024-03-11,29.31,29.385,28.71,28.94,296922
2024-03-12,28.675,29.68,28.27,29.66,528170
2024-03-13,29.56,30.84,29.422,30.59,471780
2024-03-14,30.31,30.37,28.93,29.44,319873
2024-03-15,29.2,29.63,28.83,29.3,512919
2024-03-18,29.15,29.85,28.68,29.42,227798
2024-03-19,29.64,30.67,29.08,29.68,364511
2024-03-20,29.67,30.39,29.5,30.19,217221
2024-03-21,30.24,30.28,29.68,29.86,346753
2024-03-22,29.88,29.95,29.24,29.25,362215
2024-03-25,29.17,29.56,28.22,28.3,317698
2024-03-26,28.3,28.43,27.92,28.37,546599
2024-03-27,28.37,29.005,28.31,28.77,300884
2024-03-28,28.77,29.4,28.77,28.94,209873
2024-04-01,28.85,28.85,28.2,28.55,199254
2024-04-02,28.28,28.55,28.105,28.41,222644
2024-04-03,28.41,28.9,28.36,28.56,205804
2024-04-04,28.77,28.8409,27.42,27.43,196081
2024-04-05,27.44,28.14,27.22,27.96,229665
2024-04-08,29.36,29.36,28.44,29.03,297793
2024-04-09,29.18,29.3236,28.3,28.66,291193
2024-04-10,27.81,28.41,27.32,28.19,380429
2024-04-11,27.89,28.15,27.31,27.67,246268
2024-04-12,27.32,27.75,27.0235,27.63,233335
2024-04-15,27.74,28.09,26.8813,27.21,366610
2024-04-16,26.96,27.645,26.71,27.22,239426
2024-04-17,27.52,27.68,26.38,26.43,301897
2024-04-18,26.54,27.03,26.39,26.81,327505
2024-04-19,26.83,27.67,26.57,27.59,259323
2024-04-22,27.71,27.71,27.09,27.41,152975
2024-04-23,27.51,28.08,27.51,28,329203
2024-04-24,27.8,28.195,27.27,27.31,239512
2024-04-25,26.9,27.49,26.46,26.65,194802
2024-04-26,26.63,26.73,26.14,26.7,169613
2024-04-29,26.85,27.08,26.39,26.41,105367
2024-04-30,26.2,26.879,26.08,26.64,214620
2024-05-01,26.67,27.565,26.62,27.45,350697
2024-05-02,27.71,27.71,27.05,27.3,199794
2024-05-03,27.84,27.84,27.2099,27.54,126418
2024-05-06,27.53,28.17,27.53,28.1,172580
2024-05-07,28.29,28.5206,28.02,28.03,215182
2024-05-08,30,32,29.105,31.41,907959
2024-05-09,31.2,31.295,29.59,30.02,713626
2024-05-10,29.98,30.19,29.19,29.99,561276
2024-05-13,30.16,30.885,29.9484,30.07,275812
2024-05-14,30.22,30.6749,30.08,30.48,293192
2024-05-15,30.94,31,29.4,29.85,412626
2024-05-16,29.81,32.69,29.81,32.51,679609
2024-05-17,32.65,33.03,31.9385,32.66,681955
