date,open,high,low,close,volume
2024-03-01,27.93,27.94,27.145,27.26,8530
2024-03-04,27.73,27.73,27.22,27.5,3658
2024-03-05,27.48,27.68,27.12,27.12,6223
2024-03-06,26.9501,27.88,26.9501,27.64,9576
2024-03-07,27.64,28.7944,27.6129,27.9,6740
2024-03-08,27.63,28.24,27.25,28.06,6965
2024-03-11,27.16,27.72,27.16,27.49,4745
2024-03-12,27.15,27.71,27.15,27.7,6041
2024-03-13,27.7,27.7,27.69,27.7,5137
2024-03-14,27.89,27.89,27.15,27.21,26739
2024-03-15,26.99,28.24,26.99,27.92,34664
2024-03-18,27.94,27.94,27,27.07,11971
2024-03-19,27,27.38,26.505,26.79,15440
2024-03-20,26.75,27.59,26.75,27.59,13144
2024-03-21,27.29,27.84,27.29,27.84,10326
2024-03-22,27.35,27.625,27.35,27.51,2345
2024-03-25,27.48,27.89,27.48,27.74,9595
2024-03-26,27.89,27.89,27.6475,27.66,8113
2024-03-27,27.87,27.875,27.81,27.81,3876
2024-03-28,27.87,28.25,27.83,28.2,10583
2024-04-01,28,28,27.385,27.65,15823
2024-04-02,27.6,27.75,27.06,27.61,27868
2024-04-03,27.63,27.64,27.445,27.54,8844
2024-04-04,27.52,27.89,27.52,27.88,10376
2024-04-05,27.65,27.855,27.26,27.33,3599
2024-04-08,27.5,27.8,27.5,27.69,8862
2024-04-09,27.68,28.19,27.545,27.59,41185
2024-04-10,27.35,27.655,27.02,27.14,41991
2024-04-11,26.9893,27.23,26.94,26.94,17979
2024-04-12,27.85,28.205,27.25,27.5,19572
2024-04-15,27.75,27.88,27.6,27.63,11383
2024-04-16,27.6,27.615,27.4,27.61,5807
2024-04-17,27.5899,27.5899,27.4,27.54,2274
2024-04-18,27.42,27.43,26.49,27.37,17716
2024-04-19,27.28,27.59,26.99,27.59,13997
2024-04-22,27.3,28.115,27.3,27.99,8991
2024-04-23,27.8,28,27.47,27.54,6001
2024-04-24,27.22,27.34,26.98,26.98,6267
2024-04-25,26.0701,27.25,26.0701,27.1,16457
2024-04-26,27.5,27.99,27.1292,27.46,10746
2024-04-29,27.46,27.575,27.25,27.4,3977
2024-04-30,27.47,27.69,27.3,27.3,11536
2024-05-01,27.93,28.11,27.82,27.82,6809
2024-05-02,28.13,28.46,28.03,28.46,10424
2024-05-03,28.55,28.94,28.55,28.94,4462
2024-05-06,29,30.48,29,30.33,21881
2024-05-07,30.23,30.23,29.81,29.81,9935
2024-05-08,29.83,29.83,29.03,29.03,5890
2024-05-09,28.92,29.65,27.36,29.09,39577
2024-05-10,28.78,29.08,28.78,29.08,2302
2024-05-13,28.9,29.66,28.9,29.45,4648
2024-05-14,29.67,29.68,29.31,29.31,7604
2024-05-15,29.65,30.25,29.595,29.72,8525
2024-05-16,29.74,30.06,29.37,30.06,9753
2024-05-17,30.15,30.4,29.53,29.53,13691
2024-05-20,29.47,30.17,29.47,30,7701
2024-05-21,29.94,30.25,29.91,30.08,3586
2024-05-22,29.91,30.5299,29.67,29.68,3199
2024-05-23,29.2,30.12,29.2,29.46,28428
2024-05-24,29.66,30.3799,29.51,29.84,8971
2024-05-28,30.06,30.6299,30.06,30.4,15604
2024-05-29,30.4,30.55,30.11,30.11,19159
2024-05-30,30.4,30.4,29.99,30.07,7478
2024-05-31,30.32,30.32,30.25,30.25,4873
2024-06-03,30.2,30.8347,30.045,30.81,12677
2024-06-04,30.49,30.49,30.335,30.35,3010
2024-06-05,30.43,30.6,30.27,30.6,10687
2024-06-06,30.5,30.5,29.95,30,9605
2024-06-07,29.95,30.2873,29.36,30,8389
2024-06-10,30.06,30.12,29.7,29.7,2331
2024-06-11,29.6,29.79,28.81,29.79,7727
2024-06-12,29.96,29.96,29.54,29.54,5967
2024-06-13,29.535,29.535,29.44,29.44,2365
2024-06-14,29.06,29.06,28.31,28.67,3952
2024-06-17,28.82,28.82,28.32,28.59,5512
2024-06-18,28.75,28.99,28.35,28.35,8639
