date,open,high,low,close,volume
2024-03-01,1.81,1.81,1.67,1.75,6917
2024-03-04,1.75,1.97,1.75,1.8501,7411
2024-03-06,1.87,1.9,1.87,1.9,659
2024-03-07,1.953,1.953,1.953,1.953,1235
2024-03-08,1.89,1.97,1.73,1.74,3804
2024-03-11,1.74,1.77,1.74,1.74,1077
2024-03-12,1.9899,1.9899,1.68,1.68,3498
2024-03-13,1.7,1.84,1.7,1.72,5585
2024-03-14,1.65,1.75,1.64,1.75,778
2024-03-15,1.69,1.72,1.62,1.72,1163
2024-03-18,1.68,1.68,1.65,1.65,617
2024-03-19,1.69,1.69,1.64,1.64,1478
2024-03-20,1.67,1.67,1.67,1.67,106
2024-03-22,1.69,1.73,1.64,1.73,1223
2024-03-25,1.73,1.73,1.64,1.64,1207
2024-03-26,1.64,1.67,1.64,1.65,1717
2024-03-27,1.63,1.63,1.63,1.63,950
2024-03-28,1.53,1.6799,1.53,1.65,1142
2024-04-01,1.61,1.6298,1.6,1.61,2100
2024-04-02,1.61,1.64,1.6,1.64,1914
2024-04-04,1.5524,1.6601,1.5524,1.66,6489
2024-04-05,1.58,1.58,1.58,1.58,329
2024-04-08,1.66,1.68,1.62,1.62,818
2024-04-09,1.62,1.75,1.58,1.75,14693
2024-04-10,1.7,1.88,1.695,1.86,2134
2024-04-11,1.68,1.695,1.67,1.67,734
2024-04-12,1.69,1.82,1.69,1.775,3366
2024-04-15,1.81,1.81,1.71,1.76,618
2024-04-16,1.765,1.765,1.765,1.765,419
2024-04-17,1.71,1.71,1.7,1.7,941
2024-04-18,1.7088,1.71,1.7,1.701,3277
2024-04-19,1.65,1.65,1.55,1.55,1009
2024-04-22,1.55,1.6199,1.45,1.6199,16058
2024-04-23,1.61,1.61,1.61,1.61,243
2024-04-24,1.63,1.63,1.63,1.63,138
2024-04-26,1.54,1.5999,1.54,1.5999,944
2024-04-29,1.45,1.5628,1.41,1.5628,8760
2024-04-30,1.55,1.56,1.54,1.55,2206
2024-05-02,1.49,1.51,1.49,1.51,3144
2024-05-03,1.5499,1.55,1.54,1.55,7336
2024-05-06,1.46,1.59,1.46,1.59,5407
2024-05-07,1.25,1.56,1.25,1.44,6441
2024-05-08,1.49,1.49,1.49,1.49,2263
2024-05-09,1.4,1.4999,1.31,1.4898,8973
2024-05-10,1.6,1.6,1.31,1.3399,14315
2024-05-13,1.37,1.38,1.3001,1.3001,5872
2024-05-14,1.4088,1.4088,1.3,1.33,5474
2024-05-15,1.26,1.41,1.26,1.38,4279
2024-05-17,1.38,1.38,1.32,1.32,1329
2024-05-20,1.335,1.36,1.33,1.3599,4177
2024-05-21,1.31,1.41,1.31,1.41,2665
2024-05-22,1.36,1.61,1.36,1.3964,9088
2024-05-23,1.33,1.435,1.32,1.32,2209
2024-05-24,1.44,1.44,1.3201,1.3201,3475
2024-05-29,1.31,1.33,1.25,1.252,9768
2024-05-30,1.26,1.26,1.26,1.26,401
2024-05-31,1.49,1.56,1.27,1.32,13039
2024-06-03,1.38,1.38,1.2801,1.2801,1316
2024-06-04,1.26,1.28,1.26,1.26,6883
2024-06-06,1.33,1.49,1.28,1.3001,5983
2024-06-07,1.31,1.59,1.31,1.44,3408
2024-06-10,1.43,1.515,1.43,1.515,45744
2024-06-11,1.42,1.47,1.3432,1.47,854
2024-06-12,1.4699,1.5546,1.4666,1.5546,2251
2024-06-13,1.5999,1.5999,1.451,1.48,1580
2024-06-14,1.48,1.5,1.47,1.5,10722
2024-06-17,1.5001,1.61,1.5,1.61,7507
2024-06-18,1.4,1.6699,1.4,1.46,4269
2024-06-20,1.6,1.6,1.45,1.45,4084
2024-06-21,1.45,1.67,1.4,1.6,25061
2024-06-24,1.64,1.87,1.46,1.7801,103313
2024-06-25,1.88,1.88,1.6801,1.7,33761
2024-06-26,1.65,1.81,1.45,1.7,20604
