date,open,high,low,close,volume
2024-03-01,1.68,1.7607,1.62,1.68,166390
2024-03-04,1.72,1.7699,1.64,1.69,352562
2024-03-05,1.66,1.7199,1.5,1.51,285010
2024-03-06,1.56,1.6031,1.45,1.48,195870
2024-03-07,1.48,1.58,1.4517,1.57,184095
2024-03-08,1.58,1.67,1.46,1.55,339356
2024-03-11,1.61,1.6197,1.51,1.57,205843
2024-03-12,1.55,1.57,1.39,1.42,359565
2024-03-13,1.45,1.5,1.39,1.4,128227
2024-03-14,1.39,1.4521,1.26,1.29,287771
2024-03-15,1.29,1.4,1.2519,1.4,67581
2024-03-18,1.35,1.4,1.28,1.28,81248
2024-03-19,1.29,1.3,1.19,1.22,266963
2024-03-20,1.22,1.36,1.15,1.34,148944
2024-03-21,1.38,1.38,1.26,1.31,71408
2024-03-22,1.29,1.32,1.22,1.3,82926
2024-03-25,1.32,1.7194,1.3,1.57,640267
2024-03-26,1.58,1.66,1.5,1.5,248509
2024-03-27,1.58,1.58,1.46,1.58,112124
2024-03-28,1.57,1.8,1.53,1.76,535000
2024-04-01,1.72,1.8,1.69,1.77,214763
2024-04-02,1.72,1.73,1.5,1.7,290688
2024-04-03,1.63,1.74,1.5785,1.6,187992
2024-04-04,1.65,1.6969,1.6,1.66,145845
2024-04-05,1.67,1.6985,1.6,1.65,76901
2024-04-08,1.7,1.7,1.6,1.62,76895
2024-04-09,1.65,1.65,1.51,1.59,71689
2024-04-10,1.5,1.5983,1.5,1.58,77277
2024-04-11,1.57,1.6,1.52,1.58,55864
2024-04-12,1.55,1.56,1.44,1.49,71795
2024-04-15,1.52,1.56,1.41,1.45,262651
2024-04-16,1.42,1.43,1.35,1.4,145694
2024-04-17,1.4,1.45,1.34,1.39,79624
2024-04-18,1.41,1.4667,1.35,1.45,84418
2024-04-19,1.45,1.45,1.4035,1.42,32560
2024-04-22,1.47,1.55,1.445,1.51,121451
2024-04-23,1.53,1.58,1.49,1.53,95825
2024-04-24,1.51,1.5547,1.4306,1.49,45171
2024-04-25,1.46,1.49,1.4,1.44,66965
