date,open,high,low,close,volume
2024-05-20,32.75,34.14,32.19,33.97,273384
2024-05-21,33.3,35.21,32.96,35.19,649843
2024-05-22,34.94,35.46,33.59,33.98,641623
2024-05-23,33.7,34.02,33.08,33.4,678525
2024-05-24,33.88,33.93,33.01,33.68,394705
2024-05-28,33.68,34.655,33.19,34.33,322773
2024-05-29,34.33,35.12,33.96,34.8,292933
2024-05-30,34.94,35.12,34.36,34.41,227417
2024-05-31,34.58,34.96,33.4,33.68,355777
2024-06-03,33.72,34.97,33.72,34.8,263734
2024-06-04,34.8,35.83,34.39,35.52,316639
2024-06-05,35.44,36.02,34.61,34.8,645382
2024-06-06,34.55,34.86,33.56,33.89,274067
2024-06-07,33.9,34.825,33.67,34.19,300518
2024-06-10,33.86,34.68,33.73,34.42,362106
2024-06-11,34.32,34.52,33.0259,34.08,280276
2024-06-12,34.9,34.9,34.14,34.26,243515
2024-06-13,34.14,34.69,33.43,33.83,200615
2024-06-14,33.27,34.19,31.47,33.32,251883
2024-06-17,33.71,33.86,33.12,33.54,266817
2024-06-18,33.45,34.21,33.45,33.47,243061
2024-06-20,33.34,34.24,33.28,33.44,376587
2024-06-21,33.14,33.81,32.46,32.68,788183
2024-06-24,32.6,34.58,32.54,34.5,325725
2024-06-25,34.28,35,33.57,33.76,374190
2024-06-26,33.8,35.33,33.11,34.96,397470
2024-06-27,34.9,35.53,34.49,35.01,342872
2024-06-28,35.41,35.9,34.99,35.47,1361901.0
2024-07-01,35.35,36.33,34.94,36.29,455686
2024-07-02,36.38,36.63,35.545,36.12,271001
2024-07-03,36.11,36.37,35.4,35.8,116957
2024-07-05,35.66,36.5,34.95,36.46,226495
2024-07-08,36.97,37.34,36.13,36.42,353552
2024-07-09,36.96,36.96,36.22,36.55,234943
2024-07-10,36.45,36.875,36.16,36.78,250647
2024-07-11,37.77,38.62,37.11,38.5,531587
2024-07-12,38.7,40.13,38.28,39.28,603369
2024-07-15,39.68,40.52,39.13,40.08,565342
2024-07-16,40.92,42.13,40.37,40.6,588281
2024-07-17,40.57,41.29,40.38,40.91,449457
2024-07-18,40.48,41.2699,40.35,40.69,316835
2024-07-19,40.89,41.06,39.82,40.03,305891
2024-07-22,40.19,40.6,39.71,40.41,350606
2024-07-23,40.09,42.12,40.09,41.6,347231
2024-07-24,41.1,41.63,40.67,40.85,352487
2024-07-25,41.04,42.06,38.62,41.39,552622
2024-07-26,41.97,43.42,41.86,43.34,779506
2024-07-29,43.51,43.6499,42.46,42.75,695837
2024-07-30,42.99,44.27,42.8,44.21,875693
2024-07-31,44.27,44.87,43.65,43.74,708512
2024-08-01,43.73,43.88,42.75,43.21,538013
2024-08-02,41.72,42.8,40.3867,41.4,816482
2024-08-05,38.59,41.23,38,41.13,564870
2024-08-06,41.33,42.2299,40.7,41.5,498886
2024-08-07,44.23,44.23,40.7,42.5,599754
2024-08-08,42.92,42.95,41.4,41.98,421660
2024-08-09,41.67,42.35,41.59,41.87,440555
2024-08-12,41.93,42.21,41.14,41.5,524292
2024-08-13,41.92,41.92,40.85,41.17,421872
