date,open,high,low,close,volume
2024-03-01,6.09,6.4,6.07,6.35,43959
2024-03-04,6.47,6.47,5.41,6,153073
2024-03-05,6.09,6.34,6.07,6.14,64855
2024-03-06,6.13,6.14,5.87,5.93,81124
2024-03-07,6.01,6.37,6,6.33,41953
2024-03-08,6.29,6.75,5.8,5.91,139836
2024-03-11,6.02,6.23,5.79,5.87,66472
2024-03-12,5.98,6.03,5.88,5.92,29607
2024-03-13,5.94,5.96,5.77,5.8,34457
2024-03-14,5.8,5.806,5.5,5.57,42291
2024-03-15,5.51,5.72,5.25,5.25,69882
2024-03-18,5.32,5.44,5.27,5.33,51855
2024-03-19,5.3,5.39,5.16,5.21,66793
2024-03-20,5.3,5.35,5.0799,5.19,50790
2024-03-21,5.22,5.65,5,5.65,108871
2024-03-22,6.08,6.38,6.01,6.34,120677
2024-03-25,6.67,6.6775,6.279,6.505,156380
2024-03-26,6.7,6.75,6.6,6.65,88879
2024-03-27,6.6,6.67,6.52,6.54,89426
2024-03-28,6.52,6.55,6.45,6.55,52575
2024-04-01,6.43,6.49,6.11,6.12,81325
2024-04-02,6.05,6.08,5.6999,5.83,56949
2024-04-03,5.75,6.04,5.75,5.82,53011
2024-04-04,5.84,5.99,5.84,5.87,58135
2024-04-05,5.89,5.9,5.8,5.8,29497
2024-04-08,5.78,5.82,5.67,5.67,22882
2024-04-09,5.69,5.75,5.56,5.59,40637
2024-04-10,5.55,5.59,5.28,5.28,41646
2024-04-11,5.19,5.25,5.11,5.12,45042
2024-04-12,5.11,5.12,5.05,5.12,57978
2024-04-15,5.11,5.2499,5.07,5.07,64296
2024-04-16,5.1,5.12,4.86,4.95,83393
2024-04-17,4.94,5.35,4.94,4.95,98010
2024-04-18,4.97,5.0692,4.91,4.92,32876
2024-04-19,4.9,4.9,4.62,4.64,65530
2024-04-22,4.84,5.967,4.84,5.95,179353
2024-04-23,5.76,5.9,5.7,5.86,73571
2024-04-24,5.88,5.88,4.82,4.91,114168
2024-04-25,4.9,5.07,4.9,5.02,35337
2024-04-26,5.06,5.54,5.06,5.38,59040
2024-04-29,5.37,5.4,5.07,5.08,31157
2024-04-30,5.12,5.17,4.92,4.95,16120
2024-05-01,4.93,5,4.84,4.854,35692
2024-05-02,5.01,5.06,4.88,5,36631
2024-05-03,5.02,5.06,4.895,5.0498,32992
2024-05-06,5.12,5.215,4.94,4.98,20846
2024-05-07,4.98,5.05,4.92,4.94,31877
2024-05-08,5.01,5.03,4.94,5.02,32005
2024-05-09,5.04,5.225,5.03,5.19,52639
2024-05-10,5.21,5.22,5.14,5.14,61362
2024-05-13,5.22,5.22,5.01,5.04,35256
2024-05-14,5.03,5.09,4.53,4.53,77218
2024-05-15,4.74,4.9,4.74,4.8,39040
2024-05-16,4.82,4.93,4.79,4.8,44570
2024-05-17,4.87,5.39,4.8,5.02,79058
2024-05-20,5.18,5.24,5.1,5.13,58126
2024-05-21,5.13,5.23,5.05,5.2,85295
2024-05-22,5.22,5.36,5.2,5.22,44499
