date,open,high,low,close,volume
2024-10-11,9.99,10.01,9.98,10,6617889.0
2024-10-14,10,10.01,9.99,10,609899
2024-10-15,9.98,10,9.98,10,96979
2024-10-16,10.01,10.01,9.99,9.9983,272524
2024-10-17,9.9906,10.005,9.99,10,197043
2024-10-18,10.0275,10.16,9.99,10,154800
2024-10-21,10,10.01,10,10.01,10629
2024-10-22,10.01,10.01,9.99,9.99,389
2024-10-23,10.01,10.01,9.98,10,74959
2024-10-24,9.9905,9.9905,9.98,9.98,202847
2024-10-25,10,10,9.99,9.99,34858
2024-10-28,10,10,10,10,667
2024-10-29,10,10,9.98,10,83892
2024-10-30,10.0039,10.01,10,10.01,7040
2024-10-31,9.9953,10.005,9.9908,10,25226
2024-11-04,10,10,9.99,10,19067
2024-11-05,10.01,10.01,10,10.005,31900
2024-11-06,10.01,10.04,10,10,70577
2024-11-07,10.009,10.009,10,10,1917
2024-11-08,10,10.01,9.99,10,304032
2024-11-11,10,10.005,10,10.005,13827
2024-11-12,10,10,9.9979,10,38828
2024-11-13,9.99,9.99,9.99,9.99,1987
2024-11-14,10,10,10,10,26721
2024-11-15,9.98,10,9.98,9.99,2230
2024-11-18,10,10.01,9.99,9.99,206994
2024-11-19,10,10,9.99,9.99,7758
2024-11-20,10,10.01,9.99,10,95624
2024-11-21,10,10.0189,9.99,10.0001,169406
2024-11-22,9.99,10.0188,9.99,10.01,183034
2024-11-25,10.015,10.015,10.015,10.015,181
2024-11-27,10.015,10.015,10.01,10.01,3231
2024-11-29,10.01,10.015,10.01,10.015,55940
2024-12-02,10.01,10.0627,10.01,10.01,78373
2024-12-03,10.02,10.08,10.02,10.08,416240
2024-12-04,10.05,10.07,10.05,10.05,13317
2024-12-05,10.1,10.1,10.05,10.05,827
2024-12-06,10.1,10.12,10.09,10.09,6406
2024-12-09,10.05,10.07,10.05,10.07,1720
2024-12-10,10.27,10.27,10.05,10.05,10409
2024-12-11,10.05,10.1,10.05,10.1,4722
2024-12-12,10.05,10.2675,10.05,10.1,2573
2024-12-13,10.1,10.2,10.09,10.09,2290
2024-12-16,10.1,10.1,10.09,10.1,1641
2024-12-17,10.1,10.2,10.09,10.1,10931
2024-12-18,10.1,10.1,10.09,10.09,945
2024-12-19,10.08,10.2,10.08,10.2,1677
2024-12-20,10.19,10.325,10.1,10.1,8139
2024-12-23,10.125,10.15,10.1,10.1,1116
2024-12-24,10.125,10.125,10.125,10.125,114
2024-12-26,10.125,10.125,10.1,10.1,1066
2024-12-27,10.1,10.16,10.1,10.16,4600
2024-12-30,10.12,10.12,10.12,10.12,394
2024-12-31,10.12,10.12,10.12,10.12,367
2025-01-03,10.13,10.1483,10.12,10.1483,1351
2025-01-06,10.12,10.13,10.12,10.13,712
2025-01-10,10.13,10.1301,10.12,10.1296,12647
2025-01-13,10.17,10.185,10.17,10.185,640
2025-01-14,10.2,10.3,10.1999,10.3,82988
2025-01-15,10.32,10.4,10.31,10.4,2654
2025-01-16,10.31,10.4,10.3,10.4,3882
2025-01-17,10.44,10.49,10.44,10.49,10932
2025-01-21,10.49,10.54,10.49,10.54,26880
2025-01-22,10.52,11,10.5,10.5,2168
2025-01-24,10.5,10.8,10.485,10.5581,22122
2025-01-27,10.53,10.5828,10.53,10.5501,1226
2025-01-28,10.55,10.6,10.55,10.6,2733
2025-01-29,10.6,10.6,10.55,10.55,3093
2025-01-31,10.5571,10.575,10.55,10.575,3176
2025-02-03,10.6,10.6,10.6,10.6,2217
2025-02-04,10.64,10.64,10.6399,10.6399,5729
2025-02-06,10.64,10.8099,10.63,10.8099,24611
2025-02-07,11.6,11.61,10.94,11.5,20097
2025-02-10,11.45,11.65,11.45,11.5,27789
2025-02-12,11.6931,11.6931,11.5,11.5,919
2025-02-13,11.425,11.75,11.425,11.57,110216
2025-02-14,11.79,12.2,11.54,11.78,254490
2025-02-18,11.95,11.95,11.46,11.46,274322
2025-02-19,11.65,11.65,11.3,11.36,3496
2025-02-20,11.43,11.43,11.43,11.43,309
2025-02-21,11.47,11.47,11.45,11.47,305
2025-02-24,11.7,11.7,11.68,11.7,26007
2025-02-25,11.73,11.7379,11.57,11.7379,16695
2025-02-26,11.9,11.9,11.8,11.81,1626
2025-02-27,12.15,12.25,11.95,11.95,23472
2025-02-28,12.0998,12.1,11.54,11.65,27367
