date,open,high,low,close,volume
2024-03-01,0.04,0.04,0.0311,0.04,5873
2024-03-04,0.0301,0.05,0.03,0.04,14097
2024-03-05,0.0333,0.0416,0.0307,0.0416,6724
2024-03-07,0.041899,0.046001,0.0303,0.042,22149
2024-03-08,0.0302,0.0302,0.0302,0.0302,1558
2024-03-11,0.040599,0.0499,0.0313,0.0499,10648
2024-03-12,0.0314,0.05,0.017,0.04,201748
2024-03-13,0.0495,0.05,0.0301,0.05,20160
2024-03-15,0.0404,0.05,0.04,0.04,1832
2024-03-18,0.0539,0.0539,0.0539,0.0539,5007
2024-03-19,0.0402,0.05,0.04,0.04,3385
2024-03-21,0.041201,0.041201,0.0411,0.0411,6660
2024-03-22,0.0411,0.0411,0.0411,0.0411,5000
2024-03-26,0.0411,0.0415,0.0411,0.0411,5331
2024-04-01,0.0411,0.0464,0.0411,0.0464,8000
2024-04-03,0.0411,0.0474,0.0406,0.0474,9763
2024-04-04,0.0493,0.0493,0.04,0.04,2200
2024-04-05,0.0474,0.0497,0.045,0.0496,2235
2024-04-10,0.041216,0.041216,0.04,0.040735,5333
2024-04-11,0.041,0.0498,0.041,0.0498,400
2024-04-12,0.04,0.0493,0.0321,0.048,6903
2024-04-15,0.0343,0.0489,0.03021,0.0445,11400
2024-04-16,0.0353,0.0353,0.03,0.0319,5073
2024-04-17,0.033499,0.033999,0.0271,0.033999,300
2024-04-19,0.0262,0.0396,0.015,0.0396,7500
2024-04-22,0.0202,0.0393,0.0162,0.035,15700
2024-04-24,0.0374,0.04,0.0246,0.0246,60200
2024-04-25,0.0367,0.0367,0.0255,0.0255,1001
2024-04-29,0.035,0.035,0.035,0.035,140
2024-05-01,0.0202,0.03,0.012,0.03,27900
2024-05-07,0.02,0.0267,0.02,0.0259,2200
2024-05-08,0.02,0.02792,0.02,0.02792,340
2024-05-10,0.0298,0.039,0.0175,0.028599,8724
2024-05-13,0.0201,0.0245,0.0124,0.021249,3600
2024-05-14,0.0237,0.0246,0.0234,0.0246,1666
2024-05-16,0.024,0.0289,0.023,0.0287,3350
2024-05-17,0.0151,0.0289,0.015,0.015,8251
2024-05-20,0.023,0.029,0.0124,0.024,28197
2024-05-28,0.0201,0.031199,0.02,0.031199,6650
2024-05-29,0.04,0.04,0.04,0.04,3000
2024-05-31,0.021,0.021,0.0158,0.02,46716
2024-06-03,0.0227,0.023,0.0227,0.023,1000
2024-06-04,0.018,0.0186,0.0174,0.0183,8700
2024-06-05,0.0187,0.027,0.0171,0.0222,82801
2024-06-06,0.026956,0.026956,0.025,0.025,5214
2024-06-07,0.027,0.027,0.027,0.027,909
2024-06-10,0.03,0.03,0.025,0.025,3902
2024-06-11,0.0248,0.025,0.0225,0.0225,401
2024-06-12,0.0246,0.0249,0.0224,0.0248,926
2024-06-13,0.02,0.023,0.019,0.023,2149
2024-06-14,0.0228,0.023,0.01995,0.0209,31780
2024-06-17,0.019,0.021,0.019,0.019,11142
2024-06-20,0.0171,0.0171,0.017,0.017,3700
2024-06-21,0.0173,0.0188,0.0161,0.0161,11045
2024-06-24,0.018,0.018,0.0179,0.0179,555
2024-06-25,0.016,0.018999,0.0152,0.018,29167
2024-06-26,0.0153,0.0153,0.0152,0.0152,3916
2024-06-27,0.0155,0.01755,0.0151,0.0152,5600
2024-07-01,0.0198,0.0198,0.0154,0.0154,400
2024-07-02,0.0153,0.0153,0.0153,0.0153,400
2024-07-03,0.0153,0.02,0.0153,0.02,1617
2024-07-05,0.02,0.02,0.02,0.02,176
2024-07-08,0.0156,0.02,0.011,0.0199,71190
2024-07-12,0.0199,0.0199,0.0179,0.0179,1248
2024-07-22,0.016849,0.02,0.0168,0.0168,4539
2024-07-24,0.0198,0.02,0.0126,0.019999,53301
2024-07-25,0.019,0.019,0.0127,0.0127,6100
2024-07-30,0.0182,0.02,0.0182,0.0183,900
2024-08-05,0.01845,0.0185,0.01845,0.01845,1200
2024-08-15,0.02,0.02,0.02,0.02,2018
2024-08-19,0.0128,0.02,0.0111,0.02,49631
2024-08-28,0.0198,0.02,0.0198,0.0199,1900
2024-09-04,0.0124,0.0125,0.0124,0.0125,600
2024-09-05,0.0177,0.02,0.0177,0.02,300
2024-09-06,0.0199,0.0199,0.0199,0.0199,500
2024-09-13,0.0131,0.0183,0.0111,0.0183,2241
2024-09-16,0.0152,0.0154,0.0152,0.0154,200
2024-09-17,0.0152,0.0154,0.0152,0.0154,200
2024-09-19,0.0153,0.0153,0.0153,0.0153,200
2024-09-20,0.0152,0.016,0.0152,0.016,1881
2024-09-25,0.017,0.0171,0.017,0.0171,800
2024-09-26,0.0152,0.0153,0.0152,0.0153,436
2024-09-30,0.0111,0.0111,0.008,0.0101,76916
2024-10-01,0.0092,0.0101,0.0075,0.01,30950
2024-10-02,0.01,0.01,0.0081,0.0081,2482
2024-10-03,0.0091,0.01,0.0086,0.01,36728
2024-10-04,0.01,0.0101,0.0091,0.0101,118860
2024-10-07,0.017,0.0171,0.017,0.0171,200
