date,open,high,low,close,volume
2024-03-01,7392,8358,7371,7938,10.8586
2024-03-04,7917,8155.35,7602,7896,17.2633
2024-03-05,8022,8022,7087.5,7350,12.1729
2024-03-06,7812,12096,7476,9870,492.4743
2024-03-07,10206,10206,8673.84,8820,52.7071
2024-03-08,8421,8778,7455,8400,23.7333
2024-03-11,8148,8568,7707,7749,17.9486
2024-03-12,7875,8378.79,7497,7812,31.2919
2024-03-13,8043.21,8284.5,7602,7749,22.9348
2024-03-14,7581,7893.9,7119,7119,7.3119
2024-03-15,7119,7350,6720,6977.46,5.3224
2024-03-18,7413,7812,7014,7455,4.671
2024-03-19,7350,7665,7350,7413,4.1514
2024-03-20,7623,9797.76,7581,9429,185.5724
2024-03-21,9450,9624.93,8904,9240,33.3205
2024-03-22,9030,9419.97,8715,8778,8.0219
2024-03-25,8568,9261,8505.21,8631,5.1462
2024-03-26,8631,9030,8547.84,8568,5.3924
2024-03-27,8589.21,9197.79,8589.21,8946,3.589
2024-03-28,8694,9114,8694,8799,7.4276
2024-04-01,8610,9029.79,8421,8442,5.5538
2024-04-02,8400,8400,8127,8293.95,4.9395
2024-04-03,8484,8484,8001.42,8122.8,0.9029
2024-04-04,8085,8364.72,7980,8295,3.1395
2024-04-05,8064,8400,6868.05,7350,18.6214
2024-04-08,7245,7635.18,6720,7350,3.041
2024-04-09,7423.5,7423.5,7203.21,7371,1.4952
2024-04-10,6797.28,7560,6762,6804,30.551
2024-04-11,6930,7336.77,6930,7035.21,1.2338
2024-04-12,7371,7371,6951,7014,2.7824
2024-04-15,6909,6979.77,6846,6846,2.7052
2024-04-16,7518,7518,6720,6720,9.8262
2024-04-17,6489,6510,6363,6363.21,5.7905
2024-04-18,6447,6678,6426,6426,0.4424
2024-04-19,6426,6678,6363,6560.82,1.3719
2024-04-22,6699,6699,6531,6594,2.1157
2024-04-23,6598.2,6598.2,4956,5229,57.4948
2024-04-24,5229,5355,4200,4536,68.8919
2024-04-25,4095,4179,3468.99,3549,59.3948
2024-04-26,3549,4011,3486,3591,29.1481
2024-04-29,3528,3885,3381,3738,27.871
2024-04-30,3780,3822,2310,2394,274.3057
2024-05-01,630,695.1,588,641.55,8863.5833
2024-05-02,634.2,634.2,591.78,630,1461.8671
2024-05-03,630,634.41,525,580.65,1545.7419
2024-05-06,617.4,617.4,556.92,567.21,667.231
2024-05-07,590.1,669.9,569.1,609,1738.0929
2024-05-08,619.5,621.6,552.3,599.34,787.5576
2024-05-09,609,609,552.72,590.94,478.5795
2024-05-10,591.78,619.5,559.23,590.73,303.0419
2024-05-13,607.53,619.5,573.3,590.73,399.6671
2024-05-14,590.73,651,555.03,630,768.2229
2024-05-15,596.4,661.29,574.35,627.27,1819.7695
2024-05-16,637.35,703.5,600.6,685.65,4263.3114
2024-05-17,777,1043.7,700.77,1022.7,10110.88
2024-05-20,906.15,1007.79,802.2,924,3476.03
2024-05-21,819,925.89,745.5,803.46,2755.0586
2024-05-22,842.1,934.5,779.1,821.52,1851.6386
2024-05-23,798,840,674.73,737.94,1478.7914
2024-05-24,727.86,787.5,693,757.05,1214.8057
2024-05-28,754.32,828.66,732.27,757.89,1095.8752
2024-05-29,758.1,861,749.28,827.4,1552.6805
2024-05-30,861,1176,756,814.8,10387.3981
2024-05-31,787.29,859.11,764.19,782.04,1037.7419
