date,open,high,low,close,volume
2024-03-01,0.68,0.698,0.665,0.6701,191748
2024-03-04,0.68,0.68,0.64,0.6749,100455
2024-03-05,0.6547,0.675,0.61,0.673,140268
2024-03-06,0.673,0.72,0.6588,0.67,185810
2024-03-07,0.671,0.7335,0.671,0.685,78697
2024-03-08,0.71,0.7199,0.681,0.685,54801
2024-03-11,0.714,0.74,0.69,0.7001,95138
2024-03-12,0.6901,0.74,0.68,0.7101,71369
2024-03-13,0.71,0.7462,0.7,0.7222,88955
2024-03-14,0.722,0.805749,0.711,0.7518,171670
2024-03-15,0.7392,0.7675,0.731,0.7435,26832
2024-03-18,0.75297,0.83,0.75,0.7898,154700
2024-03-19,0.829,0.842,0.8,0.804,174964
2024-03-20,0.785,0.8263,0.785,0.791,18466
2024-03-21,0.8,0.97,0.785001,0.8842,324859
2024-03-22,0.88,0.96,0.88,0.9541,107087
2024-03-25,0.99,1.1687,0.9512,1.13,300357
2024-03-26,1.13,1.16,0.9926,1.11,153481
2024-03-27,1.17,1.21,1.12,1.155,99471
2024-03-28,1.15,1.15,1.05,1.07,150713
2024-04-01,1.08,1.19,1.03,1.16,58725
2024-04-02,1.21,1.4,1.1613,1.35,156136
2024-04-03,1.29,1.99,1.261,1.62,1043302.0
2024-04-04,1.57,1.76,1.5201,1.56,141858
2024-04-05,1.52,1.75,1.52,1.58,158721
2024-04-08,1.55,1.7447,1.55,1.7399,87252
2024-04-09,1.73,1.79,1.63,1.64,172471
2024-04-10,1.6,1.6102,1.5501,1.57,50303
2024-04-11,1.57,1.7741,1.57,1.66,78896
2024-04-12,1.6501,1.658,1.62,1.63,21700
2024-04-15,1.6,1.6,1.27,1.58,128940
2024-04-16,1.53,1.66,1.52,1.63,76816
2024-04-17,1.56,1.69,1.47,1.48,95290
2024-04-18,1.46,1.55,1.3801,1.45,64056
2024-04-19,1.52,1.7,1.41,1.47,42020
2024-04-22,1.4,1.62,1.4,1.46,153957
2024-04-23,1.46,1.5,1.38,1.44,35903
2024-04-24,1.39,1.56,1.39,1.54,42025
2024-04-25,1.49,1.54,1.46,1.52,23012
2024-04-26,1.47,1.5258,1.425,1.46,43068
2024-04-29,1.44,1.6499,1.39,1.49,81099
2024-04-30,1.57,1.57,1.4119,1.5,54030
2024-05-01,1.48,1.51,1.45,1.45,35108
2024-05-02,1.475,1.5,1.45,1.5,27363
2024-05-03,1.5,1.5,1.45,1.45,8725
2024-05-06,1.506,1.52,1.34,1.34,41104
2024-05-07,1.38,1.46,1.38,1.42,24154
2024-05-08,1.45,1.45,1.38,1.38,15978
2024-05-09,1.4,1.448,1.38,1.38,11741
2024-05-10,1.37,1.46,1.3,1.33,44701
2024-05-13,1.31,1.42,1.28,1.36,88321
2024-05-14,1.34,1.45,1.34,1.36,38159
2024-05-15,1.33,1.403,1.32,1.35,31785
2024-05-16,1.3899,1.3906,1.3,1.31,19544
2024-05-17,1.25,1.39,1.2202,1.28,64294
2024-05-20,1.38,1.3859,1.23,1.27,24187
2024-05-21,1.25,1.32,1.22,1.32,13426
2024-05-22,1.28,1.2944,1.23,1.25,17876
2024-05-23,1.23,1.33,1.2267,1.33,45964
2024-05-24,1.31,1.35,1.25,1.35,7880
2024-05-28,1.31,1.35,1.25,1.33,13646
2024-05-29,1.3,1.39,1.2493,1.32,46377
2024-05-30,1.29,1.364,1.29,1.31,4876
2024-05-31,1.3,1.37,1.3,1.35,7587
2024-06-03,1.37,1.4411,1.31,1.35,35777
2024-06-04,1.37,1.43,1.31,1.35,32119
2024-06-05,1.33,1.3657,1.26,1.26,35334
2024-06-06,1.24,1.33,1.08,1.13,70805
2024-06-07,1.115,1.2799,1.002,1.23,25048
2024-06-10,1.23,1.3,1.15,1.17,94786
2024-06-11,1.11,1.51,1.11,1.42,141546
2024-06-12,1.44,1.44,1.3001,1.37,32175
2024-06-13,1.35,1.4585,1.35,1.37,49507
2024-06-14,1.36,1.51,1.33,1.45,65623
2024-06-17,1.46,1.51,1.42,1.43,84260
2024-06-18,1.41,1.45,1.3501,1.39,70747
2024-06-20,1.35,1.54,1.3,1.3,154852
2024-06-21,1.3,1.34,1.12,1.24,130279
2024-06-24,1.18,1.225,1.18,1.2,22634
2024-06-25,1.17,1.53,1.17,1.42,121551
2024-06-26,1.38,1.38,1.22,1.22,76342
2024-06-27,1.23,1.25,1.2086,1.25,21376
2024-06-28,1.26,1.32,1.25,1.32,17976
2024-07-01,1.27,1.29,1.2462,1.29,12089
2024-07-02,1.27,1.28,1.26,1.26,9665
2024-07-03,1.26,1.26,1.212,1.24,8967
2024-07-05,1.21,1.25,1.2,1.24,25186
2024-07-08,1.24,1.28,1.2,1.24,20856
2024-07-09,1.225,1.24,1.21,1.24,4203
2024-07-10,1.24,1.24,1.21,1.24,21131
2024-07-11,1.225,1.25,1.22,1.25,6179
2024-07-12,1.238,1.25,1.2001,1.25,9974
2024-07-15,1.2,1.25,1.2,1.25,7463
2024-07-16,1.32,1.32,1.2,1.2,13065
2024-07-17,1.2,1.22,1.2,1.22,17679
2024-07-18,1.26,1.26,1.2088,1.25,4019
2024-07-19,1.22,1.235,1.2,1.2,3684
2024-07-22,1.2,1.2,1.16,1.17,18042
2024-07-23,1.16,1.19,1.1314,1.19,21952
2024-07-24,1.25,1.25,1.1703,1.195,10787
2024-07-25,1.15,1.1899,1.14,1.15,23152
2024-07-26,1.1501,1.19,1.15,1.19,3256
2024-07-29,1.1701,1.19,1.145,1.19,5232
2024-07-30,1.155,1.1701,1.12,1.15,22469
2024-07-31,1.15,1.15,1.12,1.14,7773
2024-08-01,1.12,1.15,1.12,1.13,5791
2024-08-02,1.14,1.14,1.12,1.12,3503
2024-08-05,1.12,1.12,0.92,0.97,71609
2024-08-06,0.97,1.13,0.945,1.06,25876
2024-08-07,1.04,1.05,0.98,1.05,29367
2024-08-08,1.04,1.04,1.0083,1.04,5222
2024-08-09,0.9818,1.04,0.91,1.01,25992
2024-08-12,1,1.02,0.9801,1.02,19954
2024-08-13,1.03,1.05,1.03,1.05,7482
2024-08-14,1.03,1.08,0.98,1.02,20496
2024-08-15,1,1.03,0.87007,0.8775,32596
2024-08-16,0.918,1.11,0.918,1.07,34751
2024-08-19,1.06,1.079,1.04,1.06,9499
2024-08-20,1.03,1.06,0.9924,1.06,18443
2024-08-21,1.04,1.06,0.989,1.06,11410
2024-08-22,1.03,1.03,0.9869,1.03,13129
2024-08-23,1.005,1.03,0.995,1.03,5150
2024-08-26,0.99,1.08,0.99,1.08,9336
2024-08-27,1,1.03,1,1.03,6318
2024-08-28,1.0294,1.14,1.0294,1.14,17557
2024-08-29,1.1,1.13,1.04,1.13,16844
2024-08-30,1.13,1.1612,1.0501,1.11,6310
2024-09-03,1.13,1.17,1.05,1.17,37539
2024-09-04,1.17,1.175,1.16,1.16,32763
2024-09-05,1.16,1.17,1.16,1.1699,4107
2024-09-06,1.16,1.17,1.1,1.16,4587
2024-09-09,1.17,1.17,1.07,1.1,16613
2024-09-10,1.05,1.1,1.05,1.09,5061
2024-09-11,1.0616,1.08,1.0101,1.0488,16049
2024-09-12,1.08,1.0943,1.08,1.0943,1069
2024-09-13,1.0567,1.1,1,1.0397,27315
2024-09-16,1.04,1.07,0.98,1.01,2422
2024-09-17,1.03,1.05,0.9561,0.9561,32762
2024-09-18,1.02,1.02,0.9198,0.9198,14329
2024-09-19,0.9505,1,0.94,0.9652,11568
2024-09-20,0.9555,1.1,0.9211,1.09,60392
