date,open,high,low,close,volume
2024-03-01,26.75,26.9899,26.7153,26.93,9366
2024-03-04,26.81,26.9698,26.7161,26.931,11180
2024-03-05,26.8201,27.2,26.8201,27.19,31219
2024-03-06,27.2,27.27,27.04,27.22,13565
2024-03-07,27.37,27.42,27.2216,27.41,15459
2024-03-08,27.29,27.5,27.29,27.47,23161
2024-03-11,27.35,27.515,27.2,27.44,26296
2024-03-12,27.2433,27.445,27.2433,27.39,10441
2024-03-13,27.3,27.5,27.3,27.34,13608
2024-03-14,26.81,27.04,26.67,26.95,20630
2024-03-15,27.18,27.18,26.8184,26.98,25315
2024-03-18,26.965,27.1,26.9146,27.02,9062
2024-03-19,27.11,27.35,26.9436,27.3,29060
2024-03-20,27.35,27.44,27.1123,27.35,23760
2024-03-21,27.26,27.43,27.26,27.35,16708
2024-03-22,27.34,27.38,27.1014,27.365,10553
2024-03-25,27.3076,27.355,27.1101,27.2,11984
2024-03-26,27.2,27.2828,27,27.03,25799
2024-03-27,27.13,27.19,26.85,27.02,17429
2024-03-28,27.3,27.3,26.81,26.81,76066
2024-04-01,26.85,27.19,26.85,27.04,27715
2024-04-02,26.91,27.11,26.8506,26.95,18076
2024-04-03,27.112,27.1285,26.9601,26.975,8196
2024-04-04,27,27.11,26.9875,26.9875,9486
2024-04-05,27.13,27.17,27.0701,27.09,11558
2024-04-08,27.04,27.1371,26.99,26.99,8902
2024-04-09,27.05,27.15,26.95,26.99,24850
2024-04-10,27.1,27.1,26.61,26.8499,37002
2024-04-11,26.89,26.89,26.66,26.67,16479
2024-04-12,26.79,26.79,26.66,26.7,11999
2024-04-15,26.63,26.63,26.4,26.48,17012
2024-04-16,26.5,26.726,26.5,26.52,5308
2024-04-17,26.5182,26.785,26.5182,26.62,2929
2024-04-18,26.72,26.72,26.45,26.47,20567
2024-04-19,26.64,26.79,26.57,26.58,6133
2024-04-22,26.7015,26.7015,26.52,26.52,9568
2024-04-23,26.54,27.0299,26.54,26.65,4055
2024-04-24,26.585,26.805,26.54,26.61,3648
2024-04-25,26.64,26.64,26.45,26.45,23523
2024-04-26,26.45,26.67,26.45,26.55,12620
2024-04-29,26.52,26.61,26.51,26.53,5877
2024-04-30,26.6302,26.69,26.55,26.67,21393
2024-05-01,26.65,26.79,26.6,26.79,8214
2024-05-02,26.745,26.8599,26.63,26.63,10453
2024-05-03,26.82,26.82,26.65,26.7,6066
2024-05-06,26.98,26.98,26.71,26.75,23274
2024-05-07,26.71,26.88,26.7,26.7,16775
2024-05-08,26.7,26.84,26.61,26.62,11924
2024-05-09,26.61,26.65,26.6,26.62,14120
2024-05-10,26.61,26.9186,26.61,26.61,4653
2024-05-13,26.7,26.9398,26.6758,26.92,11262
2024-05-14,26.84,26.93,26.645,26.9,7939
2024-05-15,26.99,26.99,26.83,26.97,13165
2024-05-16,26.95,26.98,26.69,26.98,11764
2024-05-17,26.75,26.95,26.75,26.95,3364
2024-05-20,26.9222,26.9222,26.76,26.7601,1616
2024-05-21,26.77,26.8499,26.68,26.76,5816
2024-05-22,26.79,27,26.76,26.83,13480
2024-05-23,26.82,26.8277,26.5,26.56,13979
2024-05-24,26.695,26.81,26.635,26.81,3223
2024-05-28,26.85,26.875,26.6179,26.66,12466
2024-05-29,26.63,26.69,26.3,26.41,19834
2024-05-30,26.51,26.56,26.43,26.43,9270
2024-05-31,26.46,27.4,26.46,27.26,152785
2024-06-03,27.18,27.43,27.18,27.25,33454
2024-06-04,27.36,27.45,27.18,27.27,16765
2024-06-05,27.385,27.5,27.32,27.46,29366
2024-06-06,27.4,27.5,27.3,27.48,27127
2024-06-07,27.4,27.66,27.32,27.54,55278
2024-06-10,27.53,27.6899,27.3713,27.52,36655
2024-06-11,27.5,27.6461,27.37,27.58,17339
2024-06-12,27.58,27.73,27.4801,27.61,29214
2024-06-13,27.39,27.39,27.0501,27.12,8728
2024-06-14,27.06,27.2115,26.91,26.96,17316
2024-06-17,26.91,26.91,26.76,26.87,46256
2024-06-18,26.765,26.92,26.75,26.89,37380
2024-06-20,26.9,26.9,26.7572,26.87,10044
2024-06-21,26.88,26.88,26.52,26.52,38432
2024-06-24,26.65,26.73,26.57,26.69,19245
2024-06-25,26.73,26.84,26.65,26.75,4762
2024-06-26,26.66,26.8482,26.66,26.72,7132
2024-06-27,26.84,26.9,26.7401,26.9,14332
