date,open,high,low,close,volume
2024-03-01,27.2,27.2,23.88,24.05,18734.252
2024-03-04,24.45,24.45,22.25,23.28,15775.728
2024-03-05,22.8,24.25,20.93,23.38,9873.78
2024-03-06,24,24,22.25,23,5768.08
2024-03-07,22.5,23.95,22.18,23,6208.564
2024-03-08,23,23.25,22.33,22.95,6077.724
2024-03-11,22.95,23.75,22.53,23.38,4006.168
2024-03-12,22.73,24.23,22.35,22.5,6246.492
2024-03-13,23,23.75,21.25,22.5,9567.876
2024-03-14,22.75,22.78,19.05,19.75,11072
2024-03-15,6.23,7.63,6.13,7.07,814719.688
2024-03-18,7.5,8.15,6.75,7.38,334094.372
2024-03-19,8.05,9.25,6.9,7.53,347663.724
2024-03-20,7.5,8.38,7.28,7.48,156948.544
2024-03-21,7.65,7.95,7.15,7.53,104270.48
2024-03-22,7.45,8.25,6.78,7.78,135624.884
2024-03-25,8,9.18,8,8.8,204606.464
2024-03-26,11.63,16,10.5,12.03,2398742.728
2024-03-27,10.75,11.23,9.03,9.55,408840.36
2024-03-28,9.23,9.55,8.25,8.7,274454.156
2024-04-01,8.52,9.97,7.85,9.03,227312.564
2024-04-02,10.2,11.7,9.83,10.22,560265.408
2024-04-03,12.48,13.63,11.25,12.7,619002.672
2024-04-04,13.5,13.5,10.45,10.95,285779.34
2024-04-05,10.73,12.43,9.38,11.8,204035.576
2024-04-08,12.25,12.25,10.75,11.33,117970.328
2024-04-09,10.83,11.03,10,10.5,103168.024
2024-04-10,7.85,9.2,7.63,8.22,410408.324
2024-04-11,8.35,8.35,6.98,7.2,202942.344
2024-04-12,5.125,5.625,4.2,4.6625,2280388.4
2024-04-15,4.45,4.45,3.375,3.6,1247805.2
2024-04-16,3.3,4.4,3.025,3.975,4988048.0
2024-04-17,4.125,5.625,3.2,3.6,6414872.0
2024-04-18,3.45,3.925,3.3278,3.625,842194.4
2024-04-19,3.375,3.3875,2.825,2.925,1063182.4
2024-04-22,2.925,3.35,2.775,3.25,816958
2024-04-23,3.15,3.525,3.075,3.1375,461774.8
2024-04-24,3.25,3.725,3.15,3.575,721246.8
2024-04-25,3.425,3.6,3.2,3.4,270929.6
2024-04-26,3.475,3.65,3.25,3.375,287668.4
2024-04-29,3.375,3.4745,3.075,3.35,305152
2024-04-30,3.375,3.6,3.2,3.35,383170.4
2024-05-01,3.3,3.375,3.2,3.25,262778.4
2024-05-02,3.225,3.4235,3.175,3.275,309916
2024-05-03,3.325,3.3998,3.2,3.325,232293.2
2024-05-06,3.4,3.65,3.35,3.425,257821.6
2024-05-07,3.4,3.625,3.35,3.425,256842.8
2024-05-08,3.45,3.45,3.3,3.375,151374.8
2024-05-09,3.375,3.45,3.325,3.375,138067.6
2024-05-10,3.35,3.375,3.15,3.15,160680.8
2024-05-13,3.2,3.575,3.1548,3.525,569148.4
2024-05-14,3.625,3.85,3.325,3.475,954559.6
2024-05-15,3.475,3.65,3.3263,3.575,372885.2
2024-05-16,3.65,3.775,3.525,3.725,837084.4
2024-05-17,4.125,4.425,3.825,4.175,1816435.6
2024-05-20,4.1,4.625,3.7,3.775,1291686.4
2024-05-21,3.9,4.125,3.7,4,667096.4
2024-05-22,3.975,4.1,3.7,3.75,408166.4
2024-05-23,3.85,4.05,3.725,3.95,423327.6
2024-05-24,4,4.3,3.925,4.025,640068.8
2024-05-28,4.375,4.6,3.85,3.975,1132958.4
2024-05-29,3.775,4.2625,3.7,4.2,524027.6
2024-05-30,4.2,4.225,3.95,4.1,318420.8
2024-05-31,4.525,4.9,4.275,4.5,7013436.4
2024-06-03,4.6,4.675,4.15,4.525,999699.6
2024-06-04,4.375,4.55,4.175,4.45,534194.8
2024-06-05,4.375,4.4,4.2,4.25,397171.6
2024-06-06,4.175,4.225,3.9,4.025,545342.4
2024-06-07,3.9,4.125,3.85,4.125,272814.4
2024-06-10,4.125,4.125,3.9,3.975,184926.4
2024-06-11,3.95,4.05,3.8,3.925,347426.4
2024-06-12,3.95,4.05,3.85,3.925,301386.4
2024-06-13,3.875,3.9,3.625,3.75,297860.8
2024-06-14,3.675,3.7125,3.375,3.4,663157.2
2024-06-17,3.425,3.65,3.4,3.5,223252.4
2024-06-18,3.45,3.525,3.25,3.275,332657.2
2024-06-20,3.25,3.2998,3.075,3.125,594988.4
2024-06-21,3.15,3.3,3.0753,3.225,273819.6
2024-06-24,3.25,3.775,3.25,3.5,360802.4
2024-06-25,3.575,3.675,3.45,3.675,236334.4
2024-06-26,3.625,3.625,3.475,3.55,84603.6
2024-06-27,3.575,3.575,3.425,3.55,94338.8
2024-06-28,3.575,3.575,3.375,3.475,170349.2
2024-07-01,3.5,3.55,3.35,3.425,90994.8
2024-07-02,3.375,3.45,3.275,3.425,86099.2
2024-07-03,3.4,3.4875,3.375,3.375,55397.6
2024-07-05,3.425,3.45,3.3,3.4,84301.2
2024-07-08,3.4,3.425,3.225,3.275,173473.2
2024-07-09,3.25,3.28,3.125,3.225,229626.8
2024-07-10,3.175,3.525,3.175,3.475,212544
2024-07-11,3.525,3.675,3.425,3.6,202505.2
2024-07-12,3.45,3.575,3.425,3.45,110671.2
2024-07-15,3.45,3.4995,3.375,3.45,59729.2
2024-07-16,3.4,3.6,3.4,3.575,105335.6
2024-07-17,3.575,3.74,3.5,3.675,118527.6
2024-07-18,3.675,3.8748,3.6,3.65,118348.8
2024-07-19,3.675,3.675,3.4,3.5,98933.2
2024-07-22,3.45,3.475,3.325,3.375,84043.2
2024-07-23,3.375,3.4,3.275,3.375,65422.4
2024-07-24,3.3,3.35,3.2,3.25,125084
2024-07-25,3.275,3.45,3.255,3.35,81526.8
2024-07-26,3.325,3.475,3.3,3.375,79439.2
2024-07-29,3.4,3.45,3.3875,3.425,49870.4
2024-07-30,3.45,3.475,3.35,3.375,64023.2
2024-07-31,3.425,3.425,3.25,3.3,75886.8
2024-08-01,3.3188,3.325,3.175,3.25,102077.2
2024-08-02,3.25,3.25,3.0625,3.15,118930.8
2024-08-05,3.075,3.175,2.825,3.15,163084
2024-08-06,3.175,3.225,3.025,3.05,81378.8
2024-08-07,3.1,3.1,3,3.025,70076
2024-08-08,3.075,3.1,3.05,3.1,30140
2024-08-09,3.1,3.15,3,3.1,44536.4
2024-08-12,3.075,3.175,3.075,3.15,44376
2024-08-13,3.175,3.2,3.1,3.2,71086
2024-08-14,3.225,3.275,3.075,3.1,55885.6
2024-08-15,3.125,3.15,3.075,3.1,45827.2
2024-08-16,3.1,3.325,3.1,3.325,72056.4
2024-08-19,3.325,3.475,3.3,3.4,96998.4
2024-08-20,3.428,3.675,3.425,3.675,145418.8
2024-08-21,3.675,3.725,3.525,3.675,161614
2024-08-22,3.75,3.8,3.35,3.425,276143.2
2024-08-23,3.4,3.45,3.25,3.4125,125130.4
2024-08-26,3.45,3.45,3.1753,3.25,131044
2024-08-27,3.175,3.275,2.95,3.1,171237.6
2024-08-28,3.15,3.174,3,3,59984.8
2024-08-29,3.025,3.25,3,3.2,71602.4
2024-08-30,3.2,3.25,3.1,3.1,79698.8
2024-09-03,3.1,3.1483,2.725,2.9,285013.6
2024-09-04,2.9,2.9,2.75,2.825,71936
2024-09-05,2.825,2.8697,2.75,2.8,40636.8
2024-09-06,2.8,2.8,2.725,2.725,103695.6
2024-09-09,2.725,2.925,2.725,2.9,99312.8
2024-09-10,2.9,2.95,2.8,2.9,43284.4
2024-09-11,2.9,3.075,2.9,3.075,64541.6
2024-09-12,3.1,3.1,2.95,2.975,32447.2
2024-09-13,3.05,3.05,2.875,2.9,35028.4
2024-09-16,2.875,2.95,2.875,2.9,28906.4
2024-09-17,2.925,2.925,2.825,2.85,60663.2
2024-09-18,2.875,2.875,2.8,2.8,37615.2
2024-09-19,2.825,2.85,2.8,2.825,20115.2
2024-09-20,2.85,2.9,2.8,2.875,19858
2024-09-23,2.925,2.925,2.85,2.9,24438.8
2024-09-24,2.875,2.95,2.825,2.85,43441.2
2024-09-25,2.825,2.925,2.725,2.8,66628
2024-09-26,2.825,2.825,2.725,2.75,77479.6
2024-09-27,2.775,2.8,2.7,2.8,112003.2
2024-09-30,2.75,2.875,2.75,2.85,39640.8
2024-10-01,2.8232,2.875,2.775,2.775,54977.6
2024-10-02,2.7997,2.95,2.725,2.95,71607.6
2024-10-03,2.875,2.925,2.85,2.9,23073.6
2024-10-04,2.925,2.925,2.8,2.875,41214.8
2024-10-07,2.85,2.85,2.75,2.775,55469.2
2024-10-08,2.8,2.825,2.725,2.75,43700
2024-10-09,2.8,2.8,2.75,2.775,31739.6
2024-10-10,2.825,2.85,2.725,2.75,45055.2
2024-10-11,2.775,2.775,2.7,2.775,45758.8
