date,open,high,low,close,volume
2024-03-01,1.36,1.46,1.35,1.46,16558
2024-03-04,1.46,1.46,1.38,1.39,4190
2024-03-05,1.45,1.45,1.36,1.42,4005
2024-03-06,1.38,1.45,1.36,1.42,2211
2024-03-07,1.41,1.42,1.36,1.39,4586
2024-03-08,1.4069,1.41,1.36,1.41,3278
2024-03-11,1.42,1.43,1.4,1.43,4371
2024-03-12,1.43,1.45,1.4,1.42,4304
2024-03-13,1.4,1.44,1.38,1.44,2905
2024-03-14,1.41,1.4399,1.39,1.42,2945
2024-03-15,1.42,1.45,1.4,1.45,1842
2024-03-18,1.45,1.45,1.41,1.45,1267
2024-03-19,1.4,1.44,1.39,1.43,2666
2024-03-20,1.4041,1.43,1.4,1.43,5791
2024-03-21,1.39,1.43,1.38,1.43,3741
2024-03-25,1.42,1.42,1.36,1.42,2234
2024-03-26,1.36,1.42,1.35,1.42,1247
2024-03-27,1.3501,1.42,1.345,1.42,4241
2024-03-28,1.4,1.42,1.38,1.42,1963
2024-04-01,1.4,1.42,1.32,1.41,4750
2024-04-02,1.41,1.56,1.375,1.56,22867
2024-04-03,1.5093,1.57,1.5,1.57,6027
2024-04-04,1.56,1.57,1.5103,1.57,6605
2024-04-05,1.545,1.6,1.545,1.6,10631
2024-04-08,1.58,1.6,1.58,1.6,3346
2024-04-09,1.57,1.61,1.57,1.61,348
2024-04-10,1.56,1.585,1.56,1.585,263
2024-04-11,1.58,1.62,1.57,1.62,1485
2024-04-12,1.5856,1.5856,1.55,1.55,760
2024-04-15,1.567,1.57,1.5,1.57,8565
2024-04-16,1.59,1.59,1.57,1.58,967
2024-04-17,1.55,1.55,1.46,1.54,3185
2024-04-18,1.5161,1.55,1.51,1.54,1412
2024-04-19,1.51,1.54,1.44,1.54,1534
2024-04-22,1.54,1.54,1.54,1.54,239
2024-04-23,1.52,1.55,1.52,1.55,480
2024-04-24,1.5099,1.54,1.5099,1.54,721
2024-04-25,1.49,1.54,1.49,1.5,2069
2024-04-26,1.5395,1.56,1.525,1.56,2079
2024-04-29,1.56,1.58,1.5368,1.56,3274
2024-04-30,1.56,1.62,1.34,1.57,25626
2024-05-01,1.64,1.65,1.6,1.62,8233
2024-05-02,1.6,1.64,1.57,1.62,3506
2024-05-03,1.58,1.74,1.58,1.74,113945
2024-05-06,1.75,1.79,1.7101,1.78,8014
2024-05-07,1.7303,1.8,1.66,1.79,5926
2024-05-08,1.75,1.79,1.75,1.79,850
2024-05-09,1.73,1.8,1.711,1.8,120596
2024-05-10,1.8,1.8,1.68,1.77,34794
2024-05-13,1.77,1.81,1.7201,1.81,3027
2024-05-14,1.79,1.8,1.725,1.79,3489
2024-05-15,1.79,1.79,1.71,1.77,9407
2024-05-16,1.7601,1.79,1.7101,1.78,9690
2024-05-17,1.726,1.79,1.726,1.78,4000
2024-05-20,1.73,1.78,1.73,1.7799,2032
2024-05-21,1.77,1.77,1.76,1.77,2158
2024-05-22,1.78,1.78,1.74,1.77,1579
2024-05-23,1.74,1.78,1.72,1.77,2175
2024-05-24,1.79,1.94,1.75,1.85,59336
2024-05-28,1.8,1.8,1.72,1.77,11533
2024-05-29,1.79,1.79,1.66,1.69,54888
2024-05-30,1.76,1.76,1.66,1.69,10551
2024-05-31,1.6854,1.69,1.66,1.69,7072
2024-06-03,1.74,1.748,1.6525,1.6899,7351
2024-06-04,1.67,1.69,1.67,1.68,3446
2024-06-05,1.6772,1.68,1.65,1.68,5601
2024-06-06,1.65,1.67,1.5401,1.67,8570
2024-06-07,1.67,1.67,1.59,1.63,14148
2024-06-10,1.63,1.75,1.63,1.7,80196
2024-06-11,1.75,1.75,1.69,1.75,27007
2024-06-12,1.75,1.7799,1.7,1.77,21552
2024-06-13,1.7,1.72,1.44,1.72,54033
2024-06-14,1.73,1.75,1.6616,1.75,13089
2024-06-17,1.76,1.76,1.693,1.75,3524
2024-06-18,1.77,1.83,1.7,1.83,5276
2024-06-20,1.77,1.83,1.69,1.76,8739
2024-06-21,1.81,1.84,1.72,1.81,16039
2024-06-24,1.84,1.84,1.79,1.83,14579
2024-06-25,1.8,1.84,1.71,1.8,13567
2024-06-26,1.73,1.81,1.71,1.79,18380
2024-06-27,1.7301,1.78,1.7,1.77,6167
2024-06-28,1.75,1.78,1.71,1.75,6249
2024-07-01,1.72,1.76,1.62,1.74,21628
2024-07-02,1.6704,1.76,1.62,1.71,23307
2024-07-03,1.64,1.64,1.45,1.48,53848
2024-07-05,1.5559,1.58,1.28,1.49,57701
2024-07-08,1.52,1.54,1.28,1.44,164005
2024-07-09,1.4,1.44,1.4,1.44,5801
2024-07-10,1.44,1.46,1.41,1.45,15610
2024-07-11,1.46,1.51,1.41,1.51,4530
2024-07-12,1.52,1.56,1.45,1.56,7418
2024-07-15,1.515,1.54,1.4401,1.54,6815
2024-07-16,1.55,1.56,1.5,1.5,4079
2024-07-17,1.56,1.57,1.45,1.51,11037
2024-07-18,1.505,1.52,1.5,1.52,1527
2024-07-19,1.47,1.5,1.44,1.45,11414
2024-07-22,1.47,1.47,1.42,1.44,5299
2024-07-23,1.46,1.46,1.41,1.45,7196
2024-07-24,1.46,1.47,1.44,1.47,2865
2024-07-25,1.45,1.49,1.43,1.49,7778
2024-07-26,1.49,1.54,1.4501,1.54,4767
2024-07-29,1.5,1.55,1.4801,1.55,3274
2024-07-30,1.52,1.55,1.39,1.55,6989
2024-07-31,1.48,1.498,1.47,1.48,5368
2024-08-01,1.47,1.49,1.43,1.49,2058
2024-08-02,1.46,1.5,1.4,1.48,6395
2024-08-05,1.4,1.48,1.4,1.47,5719
2024-08-06,1.455,1.49,1.39,1.49,2498
2024-08-07,1.5,1.51,1.47,1.49,743
2024-08-08,1.52,1.52,1.45,1.51,2554
2024-08-09,1.52,1.56,1.44,1.55,5321
2024-08-12,1.55,1.56,1.39,1.56,29003
2024-08-13,1.41,1.53,1.41,1.53,4209
2024-08-14,1.45,1.58,1.45,1.58,3476
2024-08-15,1.5599,1.57,1.5345,1.55,2441
2024-08-16,1.54,1.6,1.5,1.6,1794
2024-08-19,1.55,1.56,1.55,1.56,1194
2024-08-20,1.45,1.56,1.45,1.56,5458
2024-08-21,1.44,1.56,1.44,1.55,3447
2024-08-22,1.57,1.57,1.42,1.55,12922
2024-08-23,1.5548,1.57,1.5548,1.57,469
2024-08-26,1.48,1.58,1.48,1.58,2304
2024-08-27,1.5,1.58,1.5,1.58,4035
2024-08-28,1.5,1.58,1.4,1.58,10919
2024-08-29,1.57,1.59,1.45,1.52,9558
2024-08-30,1.495,1.55,1.48,1.52,2586
2024-09-03,1.53,1.53,1.43,1.45,2014
2024-09-04,1.43,1.54,1.43,1.54,3081
2024-09-05,1.45,1.55,1.45,1.55,3239
2024-09-06,1.5189,1.6,1.5189,1.6,5241
2024-09-09,1.52,1.54,1.4,1.54,9383
2024-09-10,1.5084,1.59,1.5084,1.59,5164
2024-09-11,1.57,1.6,1.525,1.57,1089
2024-09-12,1.6,1.6,1.5,1.54,2290
2024-09-13,1.6,1.6,1.52,1.59,1933
2024-09-16,1.5247,1.65,1.5201,1.65,3370
2024-09-17,1.565,1.7,1.5,1.69,39954
2024-09-18,1.65,1.7,1.6201,1.7,3907
2024-09-19,1.615,1.69,1.5492,1.69,12287
2024-09-20,1.675,1.69,1.55,1.64,11059
2024-09-23,1.62,1.66,1.6,1.64,1292
2024-09-24,1.59,1.66,1.59,1.66,2055
2024-09-25,1.6599,1.6599,1.57,1.62,8837
2024-09-26,1.57,1.66,1.55,1.63,5000
2024-09-27,1.64,1.64,1.57,1.64,2313
2024-09-30,1.65,1.66,1.56,1.63,4762
2024-10-01,1.56,1.65,1.52,1.63,10294
2024-10-02,1.58,1.64,1.56,1.61,5147
2024-10-03,1.62,1.63,1.62,1.62,1245
2024-10-04,1.615,1.66,1.6,1.66,3473
2024-10-07,1.62,1.66,1.5801,1.66,8843
2024-10-08,1.58,1.62,1.49,1.59,7615
2024-10-09,1.59,1.63,1.57,1.63,4146
2024-10-10,1.62,1.66,1.5408,1.66,2106
2024-10-11,1.64,1.65,1.5746,1.65,2802
2024-10-14,1.635,1.64,1.52,1.6,16127
2024-10-15,1.53,1.58,1.45,1.51,9452
2024-10-16,1.55,1.55,1.41,1.49,15633
2024-10-17,1.5,1.5,1.455,1.49,991
2024-10-18,1.49,1.54,1.49,1.54,21406
2024-10-21,1.57,1.57,1.51,1.55,3301
2024-10-22,1.53,1.56,1.53,1.55,1522
2024-10-23,1.51,1.55,1.43,1.53,5397
2024-10-24,1.48,1.54,1.4405,1.54,2744
