date,open,high,low,close,volume
2024-03-01,3.71,3.94,3.68,3.74,77954
2024-03-04,3.7,3.76,3.52,3.55,62941
2024-03-05,3.49,3.59,3.45,3.46,51843
2024-03-06,3.44,3.64,3.44,3.5,97934
2024-03-07,3.52,3.6,3.295,3.51,176357
2024-03-08,3.51,3.87,3.51,3.75,94037
2024-03-11,3.77,3.79,3.6051,3.68,39532
2024-03-12,3.68,3.95,3.66,3.81,144413
2024-03-13,3.82,3.92,3.68,3.73,115672
2024-03-14,3.71,3.75,3.51,3.57,88480
2024-03-15,3.55,3.77,3.55,3.65,171792
2024-03-18,3.6,3.6399,3.36,3.37,88302
2024-03-19,3.55,3.74,3.45,3.48,91513
2024-03-20,3.49,3.704,3.49,3.67,49570
2024-03-21,3.78,3.78,3.5,3.5,84399
2024-03-22,3.53,3.56,3.24,3.41,157520
2024-03-25,3.39,3.52,3.32,3.41,57558
2024-03-26,3.4035,3.41,3.1,3.13,145467
2024-03-27,3.09,3.28,3.08,3.23,120411
2024-03-28,3.31,3.72,3.29,3.59,68846
2024-04-01,3.59,3.605,3.52,3.55,35208
2024-04-02,3.5,3.5,3.26,3.3,78451
2024-04-03,3.26,3.26,3.08,3.08,92673
2024-04-04,3.09,3.15,2.97,2.99,63694
2024-04-05,3.01,3.11,2.985,3.1,55702
2024-04-08,3.1,3.16,3.1,3.13,30890
2024-04-09,3.2,3.2,3.07,3.15,56228
2024-04-10,3.11,3.19,3.08,3.1,70941
2024-04-11,3.08,3.18,3.01,3.18,60356
2024-04-12,3.09,3.34,3.08,3.12,53765
2024-04-15,3.11,3.11,2.84,2.91,42124
2024-04-16,3.12,3.12,2.86,2.87,37269
2024-04-17,2.925,2.925,2.75,2.75,31817
2024-04-18,2.73,2.84,2.67,2.79,35089
2024-04-19,2.84,3.01,2.8,2.99,60977
2024-04-22,3.01,3.25,2.68,2.7,128218
2024-04-23,2.71,2.84,2.7,2.7,67548
2024-04-24,2.745,2.745,2.63,2.7,46983
2024-04-25,2.6309,2.79,2.61,2.76,24119
2024-04-26,2.74,2.89,2.61,2.68,55644
2024-04-29,2.73,2.73,2.66,2.73,41881
2024-04-30,2.6225,2.7,2.5939,2.63,13989
2024-05-01,2.63,2.73,2.61,2.61,23343
2024-05-02,2.67,2.7499,2.61,2.64,28638
2024-05-03,2.65,3.07,2.65,2.75,72676
2024-05-06,2.76,2.98,2.76,2.85,43466
2024-05-07,2.88,2.9398,2.8,2.8,35081
2024-05-08,2.69,2.76,2.65,2.7,62115
2024-05-09,2.7,2.73,2.63,2.67,35343
2024-05-10,2.6685,2.685,2.62,2.67,16042
2024-05-13,2.68,2.74,2.67,2.7,51869
2024-05-14,2.72,2.86,2.6889,2.79,41595
2024-05-15,2.8,2.88,2.74,2.84,34149
2024-05-16,2.85,3.3,2.835,3.3,87143
2024-05-17,3.26,3.34,3.15,3.15,44147
2024-05-20,3.15,3.15,2.9301,2.98,33959
2024-05-21,3.0379,3.0379,2.9,2.9,25417
2024-05-22,2.8724,2.88,2.72,2.78,28879
2024-05-23,2.75,2.87,2.48,2.57,47351
2024-05-24,2.59,2.7494,2.52,2.61,33100
2024-05-28,2.57,2.66,2.48,2.55,33680
2024-05-29,2.52,2.7675,2.34,2.34,28824
2024-05-30,2.3975,2.42,2.26,2.33,47804
2024-05-31,2.32,2.46,2.32,2.33,26355
2024-06-03,2.37,2.4,2.26,2.26,20743
2024-06-04,2.29,2.29,2.11,2.12,40718
2024-06-05,2.15,2.255,2.0757,2.14,29972
2024-06-06,2.1,2.18,1.92,1.95,45969
2024-06-07,1.99,2.49,1.99,2.37,155178
2024-06-10,2.3,2.4,2.18,2.24,25715
2024-06-11,2.18,2.205,2.07,2.07,13640
2024-06-12,2.12,2.1554,2.02,2.03,18177
2024-06-13,2.0183,2.11,1.98,1.98,28572
2024-06-14,1.98,2.0499,1.93,1.94,32769
2024-06-17,1.97,2,1.93,1.95,16832
2024-06-18,2.025,2.025,1.86,1.88,27948
2024-06-20,1.85,1.9002,1.84,1.84,11386
2024-06-21,1.9287,1.96,1.84,1.87,47352
2024-06-24,1.89,2.075,1.89,1.97,21016
2024-06-25,2.0471,2.0471,1.91,1.98,27968
2024-06-26,2,2.03,1.97,2.01,18112
2024-06-27,2,2.015,1.87,2,40420
2024-06-28,1.97,2.08,1.97,2.04,30585
2024-07-01,2.04,2.04,1.89,1.95,27591
2024-07-02,1.979,2,1.89,1.9,5193
2024-07-03,1.96,2,1.94,1.94,4845
2024-07-05,1.91,2,1.89,1.98,22448
2024-07-08,1.94,1.94,1.85,1.89,31481
2024-07-09,1.8684,1.87,1.78,1.87,29650
2024-07-10,1.95,1.95,1.87,1.92,7171
2024-07-11,1.9773,2.06,1.8964,2.02,58735
2024-07-12,2.09,2.24,1.9895,2.09,66684
2024-07-15,2.11,2.224,2.01,2.01,35310
2024-07-16,2.08,2.21,2.04,2.05,44593
2024-07-17,2.1,2.14,2.05,2.14,9125
2024-07-18,2,2.2,2,2.1,20707
2024-07-19,2.14,2.19,2.05,2.05,11007
