date,open,high,low,close,volume
2024-03-01,1.17,1.22,1.1,1.17,714470
2024-03-04,1.2,1.21,1.15,1.18,562687
2024-03-05,1.2,1.22,1.17,1.21,422105
2024-03-06,1.22,1.26,1.19,1.25,401810
2024-03-07,1.26,1.2692,1.23,1.26,312664
2024-03-08,1.28,1.3,1.26,1.26,287807
2024-03-11,1.27,1.295,1.23,1.24,259717
2024-03-12,1.25,1.26,1.18,1.18,185257
2024-03-13,1.18,1.24,1.17,1.17,305850
2024-03-14,1.17,1.19,1.1,1.14,197019
2024-03-15,1.13,1.17,1.122,1.15,281185
2024-03-18,1.16,1.17,1.1,1.1,224464
2024-03-19,1.1,1.12,0.91,0.96,2732225.0
2024-03-20,0.93,0.99,0.921,0.99,712222
2024-03-21,0.9788,0.996,0.9415,0.956,315103
2024-03-22,0.96,1.009,0.933,0.9998,507192
2024-03-25,0.98,1.01,0.96,0.9845,355164
2024-03-26,0.98,1.01,0.96,0.99,125561
2024-03-27,1,1.04,0.9899,1.01,286704
2024-03-28,1.03,1.09,1.005,1.06,377228
2024-04-01,1.05,1.06,1,1.05,319786
2024-04-02,1.03,1.05,0.9901,1.01,226884
2024-04-03,1,1.04,0.99,1.04,360117
2024-04-04,1.05,1.07,1.03,1.04,414598
2024-04-05,1.03,1.05,0.99,1.03,210691
2024-04-08,1.04,1.04,1,1,195100
2024-04-09,1.02,1.0367,0.99,0.99,152086
2024-04-10,0.99,1.01,0.95,0.999,383092
2024-04-11,1.02,1.02,0.97,0.99,205381
2024-04-12,1.01,1.02,0.95,0.9607,235362
2024-04-15,0.95,0.9699,0.9012,0.9146,507109
2024-04-16,0.9121,0.94,0.900199,0.9201,310230
2024-04-17,0.93,0.93,0.8921,0.904,484918
2024-04-18,0.91,0.94,0.892,0.9323,361034
2024-04-19,0.94,0.94,0.88,0.8844,427003
2024-04-22,0.886,0.9323,0.88,0.9139,233440
2024-04-23,0.909,0.94,0.8983,0.9253,182129
2024-04-24,0.93,0.93,0.9,0.906,88247
2024-04-25,0.9,0.9399,0.8815,0.891,242708
2024-04-26,0.9091,0.9091,0.8815,0.8999,228222
2024-04-29,0.901,0.9351,0.9,0.9346,142843
