date,open,high,low,close,volume
2024-03-01,1.16,1.195,1.1,1.18,17164
2024-03-04,1.28,1.4,1.24,1.36,200974
2024-03-05,1.43,1.43,1.25,1.33,53266
2024-03-06,1.39,1.39,1.23,1.33,58125
2024-03-07,1.33,1.3399,1.2,1.2002,33266
2024-03-08,1.2,1.3153,1.2,1.24,47657
2024-03-11,1.24,1.3,1.15,1.16,84743
2024-03-12,1.21,1.28,1.16,1.28,50744
2024-03-13,1.3,1.3,1.19,1.2,47865
2024-03-14,1.25,1.29,1.1,1.12,132083
2024-03-15,1.11,1.3,1.11,1.3,161959
2024-03-18,1.32,1.32,1.16,1.24,94165
2024-03-19,1.27,1.27,1.2,1.2,19631
2024-03-20,1.2,1.27,1.17,1.25,83424
2024-03-21,1.18,1.25,1.171,1.24,23222
2024-03-22,1.21,1.28,1.21,1.28,68139
2024-03-25,1.22,1.27,1.18,1.27,111161
2024-03-26,1.25,1.33,1.2,1.33,134388
2024-03-27,1.35,1.6475,1.34,1.61,367829
2024-03-28,1.69,1.968,1.66,1.74,470059
2024-04-01,1.82,2.46,1.74,2.2,616222
2024-04-02,2.28,2.66,1.84,2.08,623833
2024-04-03,2.13,2.3077,1.97,2.13,378960
2024-04-04,2.1,2.1,1.8,1.8,275012
2024-04-05,1.81,2.15,1.81,2.14,204356
2024-04-08,2.16,2.2899,1.7,1.8,373631
2024-04-09,1.82,1.9636,1.64,1.87,134092
2024-04-10,1.865,1.9777,1.8,1.86,74588
2024-04-11,1.81,1.9464,1.8,1.92,92294
2024-04-12,1.8101,1.9145,1.72,1.72,194952
2024-04-15,1.68,1.8499,1.63,1.67,78477
2024-04-16,1.64,1.78,1.6,1.73,106100
2024-04-17,1.65,1.78,1.55,1.55,78714
2024-04-18,1.62,1.73,1.44,1.52,61909
2024-04-19,1.46,1.5799,1.4496,1.54,32224
2024-04-22,1.54,1.54,1.2801,1.35,51033
2024-04-23,1.34,1.46,1.3201,1.39,73419
2024-04-24,1.45,1.45,1.33,1.37,41055
2024-04-25,1.32,1.4,1.31,1.36,33937
2024-04-26,1.3,1.4,1.3,1.34,58379
2024-04-29,1.31,1.4,1.31,1.37,83200
2024-04-30,1.34,1.4,1.32,1.39,76326
2024-05-01,1.45,1.49,1.33,1.43,75338
2024-05-02,1.47,1.5999,1.4,1.55,114368
2024-05-03,1.61,1.64,1.5146,1.59,58596
2024-05-06,1.67,1.67,1.44,1.57,66931
2024-05-07,1.56,1.57,1.48,1.52,65076
2024-05-08,1.49,1.49,1.445,1.45,15516
