date,open,high,low,close,volume
2024-03-01,66.82,66.82,63.576,66.62,76048
2024-03-04,66.95,67.045,65.9,65.98,46096
2024-03-05,65.89,66.3,65.25,65.74,47268
2024-03-06,66.44,66.44,65.05,65.62,46175
2024-03-07,65.89,66.135,65.0619,65.41,69992
2024-03-08,65.99,66.21,65.18,65.48,57682
2024-03-11,65.08,65.46,64.2361,65.42,58474
2024-03-12,65.7,65.7,65.11,65.41,41459
2024-03-13,65.1,65.35,64.6625,64.9,42008
2024-03-14,64.82,65.82,63.855,64.23,40496
2024-03-15,63.74,64.35,63.1,64.33,244209
2024-03-18,64.43,64.94,63.31,63.31,52143
2024-03-19,63.29,64.9599,63.15,64.53,65006
2024-03-20,64.54,65.28,63.29,65.28,74172
2024-03-21,65.66,66.22,64.96,65.39,78623
2024-03-22,65.49,65.49,64.76,64.96,43702
2024-03-25,65.19,65.19,64.48,64.61,30260
2024-03-26,64.99,65.475,64.7,64.83,45734
2024-03-27,65.39,65.97,64.99,65.74,99956
2024-03-28,65.85,66.2679,65.26,65.93,83414
2024-04-01,66.19,66.3,64.98,65.53,51649
2024-04-02,64.79,64.79,63.53,64.07,77012
2024-04-03,64.25,65.7899,64.08,65.53,56673
2024-04-04,66.02,66.68,64.88,65.02,55087
2024-04-05,65.14,65.64,64.81,65.58,79688
2024-04-08,65.73,65.9231,65.25,65.38,35765
2024-04-09,65.43,65.47,64.5,65.11,32840
2024-04-10,63.98,64.5,63.45,64.06,49243
2024-04-11,64.22,64.87,63.42,64.66,41105
2024-04-12,64.23,64.78,63.47,63.56,54107
2024-04-15,64.03,64.09,62.41,62.64,33590
2024-04-16,62.66,62.99,62.1701,62.3,33020
2024-04-17,62.31,62.8,61.78,61.82,44413
2024-04-18,61.77,62.405,61.1,62.11,44767
2024-04-19,61.79,62.85,61.79,62.82,45631
2024-04-22,62.78,63.33,62.215,62.36,60238
2024-04-23,62.04,65.3899,62,65.04,70148
2024-04-24,64.51,65.27,64.48,64.98,50441
2024-04-25,64.41,64.43,63.45,64.43,43208
2024-04-26,64.28,64.77,63.69,63.69,41715
2024-04-29,63.7,64.17,63.34,63.38,32439
2024-04-30,63.02,63.4975,61.81,61.97,61578
2024-05-01,62.31,62.63,61.15,61.96,51446
2024-05-02,59.48,61.49,57.47,59.29,99625
2024-05-03,60.2,61.35,59.95,61.17,78631
2024-05-06,61.27,62.35,61.27,62.07,72408
2024-05-07,61.95,63.26,61.95,62.56,67338
2024-05-08,61.91,63.9,61.91,63.75,77742
2024-05-09,64.06,65.15,63.885,64.69,102347
2024-05-10,65,65.155,64.05,64.96,73932
2024-05-13,65.39,65.5,64.48,65.1,89978
2024-05-14,65.79,66.89,65.79,66.87,53285
2024-05-15,67.04,68.32,66.5905,68.22,50208
2024-05-16,68.02,68.47,67.2,67.79,56909
2024-05-17,68.13,68.21,67.37,67.99,51819
2024-05-20,68,69.01,68,68.71,50809
2024-05-21,68.38,69.41,68.38,69.31,22613
2024-05-22,68.88,69.49,67.88,69.11,61565
2024-05-23,69.4,69.44,67.6,67.61,49302
2024-05-24,68.07,69.055,67.33,68.18,32649
2024-05-28,68.15,68.35,67.33,67.39,43196
2024-05-29,66.88,66.88,65.08,65.17,38847
2024-05-30,65.81,66.295,65.21,65.95,43748
2024-05-31,66.25,67.64,65.47,67.64,90075
2024-06-03,68.02,68.375,67.3,68.31,53661
2024-06-04,68.09,68.32,66.87,67.52,43380
2024-06-05,67.72,68.6515,66.49,67.99,42387
2024-06-06,67.59,67.59,66.66,66.9,52052
2024-06-07,66.46,66.67,64.985,65.08,64721
2024-06-10,64.71,64.71,63.97,64.57,50695
2024-06-11,64.47,64.47,63.81,63.84,38819
2024-06-12,65.37,65.75,64.08,64.91,91278
2024-06-13,64.7,65.07,63.5,63.6,42388
2024-06-14,63.27,63.35,62.56,63.12,54585
2024-06-17,63.08,64.44,62.79,64.14,87882
2024-06-18,64.22,65.025,63.86,64.66,102929
2024-06-20,64.24,64.95,63.795,64.04,137613
2024-06-21,64.12,65.12,64.12,64.86,464141
2024-06-24,64.75,64.965,63.83,63.89,108258
2024-06-25,63.67,63.75,62.9,63.6,51559
2024-06-26,63.32,64.44,62.0701,64.38,75586
2024-06-27,64.6,64.96,63.615,63.83,52077
2024-06-28,64.18,64.42,63.485,64.2,226912
2024-07-01,64.35,64.35,63,63.72,59571
2024-07-02,63.85,64.42,63.795,64.05,48131
2024-07-03,64.27,64.27,63.47,63.69,37778
2024-07-05,63.46,63.9,62.7,62.92,41205
2024-07-08,63.3,64.145,63.28,63.89,56215
2024-07-09,63.79,63.955,62.08,62.1,65733
2024-07-10,62.04,63.17,62.01,62.58,52065
2024-07-11,63.67,64.5087,63.215,64.06,114519
2024-07-12,64.53,64.97,63.89,64.24,67494
2024-07-15,64.36,65.56,64,64.71,142679
2024-07-16,65.38,67.43,64.815,67.32,134563
2024-07-17,66.99,67.43,65.71,67.09,119652
2024-07-18,66.86,67.475,64.97,65.72,96676
2024-07-19,65.9,65.94,64.73,64.81,65986
2024-07-22,65.33,66.7,64.83,66.59,128391
2024-07-23,66.47,68.72,66.395,68.32,107545
2024-07-24,67.96,68.77,66.83,66.89,56812
2024-07-25,66.99,68.2275,66.315,67.35,51155
2024-07-26,68.26,68.89,67.81,68.8,59772
2024-07-29,68.89,69.25,67.345,68.02,60639
2024-07-30,68.37,70.83,68.205,70.38,107530
2024-07-31,70.4,72.76,70.095,71.57,152647
2024-08-01,73.78,76.395,72,75.07,155187
2024-08-02,73.69,73.87,71.09,72.72,125967
2024-08-05,68.56,71.24,68.56,70.16,132904
2024-08-06,69.94,71.0175,69.5,69.76,134570
2024-08-07,70.26,70.37,68.66,68.87,125960
2024-08-08,69.39,69.74,68.6,69.37,74995
2024-08-09,68.97,69.35,67.21,67.21,75445
2024-08-12,67.41,67.78,66.65,66.93,88267
2024-08-13,67.26,68.1,67.21,67.66,66288
2024-08-14,68.05,68.05,66.52,66.53,51921
2024-08-15,67.86,69.43,67.45,68.39,86829
2024-08-16,68.53,69.375,68.53,68.89,62673
2024-08-19,69.32,69.85,69.01,69.65,59516
2024-08-20,69.95,70.31,69.18,69.5,66209
2024-08-21,69.94,70.68,69.72,70.63,75589
2024-08-22,70.46,71.09,69.49,69.73,49798
2024-08-23,69.9,71.67,69.9,71.46,52773
2024-08-26,71.89,72.14,71.07,71.24,84632
2024-08-27,70.92,72.18,70.5,71.55,54867
2024-08-28,71.62,73.09,71.62,72.08,62465
2024-08-29,71.96,73.24,71.675,72.01,75190
2024-08-30,72.46,73.325,72.38,73.08,119389
2024-09-03,72.81,73.03,69.28,69.44,79421
2024-09-04,68.89,70.66,68.89,69.84,85590
2024-09-05,70.18,70.42,69.62,70.41,84985
2024-09-06,70.12,70.99,68.935,69.16,74083
2024-09-09,69.17,70.57,68.99,69.75,95259
2024-09-10,69.78,70.52,69.11,69.92,87719
2024-09-11,69.47,70.11,67.83,69.94,75653
2024-09-12,70.31,70.95,69.96,70.9,82399
2024-09-13,71.47,73.12,71.47,72.77,81444
2024-09-16,73.19,74.45,73.12,74.33,88668
2024-09-17,74.88,75.53,74.27,74.46,75469
2024-09-18,74.38,75.68,73.41,73.84,80404
2024-09-19,75.44,76.29,74.095,76.14,96289
2024-09-20,75.62,76.65,74.98,75.9,661784
2024-09-23,76.53,76.7,74.18,74.47,120406
2024-09-24,74.47,74.6,73.49,73.94,94273
2024-09-25,74.06,74.8,73.1,73.69,176073
2024-09-26,74.3,76.845,74.3,76.54,108621
2024-09-27,77.1,77.19,75.14,75.26,81978
2024-09-30,74.83,76.03,74.72,75.43,91071
2024-10-01,75.17,75.65,72.7,73.17,77386
2024-10-02,72.94,73.53,72.785,73.03,59358
2024-10-03,72.69,72.96,72.35,72.75,60471
2024-10-04,73.73,73.73,72.64,73.57,37847
2024-10-07,73.08,73.4,72.55,72.66,75788
2024-10-08,72.72,73.73,72.59,73.7,55423
