date,open,high,low,close,volume
2024-03-01,4.71,8.8,4.64,6.25,6171899.0
2024-03-04,6,10,6,8.7,2551429.0
2024-03-05,9.57,9.92,8,9.24,740109
2024-03-06,8.85,10,8.61,9.95,538353
2024-03-07,10,11.46,6.7,7.69,662502
2024-03-08,7.76,9.8806,7.76,9,424807
2024-03-11,8.79,9.6,7,7.5,221825
2024-03-12,7.75,8.6,7.5,7.6,172719
2024-03-13,7.29,7.5599,5.81,5.86,248291
2024-03-14,5.89,6.41,4.01,4.11,255073
2024-03-15,4.13,5,4.0101,5,238046
2024-03-18,5.15,5.38,3.25,3.66,285783
2024-03-19,3.27,4.75,3.2513,4.55,667353
2024-03-20,4.25,4.49,4.01,4.08,93184
2024-03-21,4.17,4.4999,3.77,3.87,115221
2024-03-22,4,4.27,3.55,3.7,121300
2024-03-25,3.84,4.1717,3.7301,3.95,80465
2024-03-26,4.02,4.05,3.85,4.05,101754
2024-03-27,4.1,4.1,3.87,3.91,133791
2024-03-28,4,4.1,3.85,3.92,80255
2024-04-01,3.97,4.63,3.9176,4.4,256868
2024-04-02,4.48,4.87,4.2,4.48,183585
2024-04-03,4.79,6.49,4.48,5.48,639387
2024-04-04,5.38,6.15,5.26,5.86,120717
2024-04-05,5.87,7.2,5.87,6.16,225175
2024-04-08,6.05,6.89,6.05,6.4,67108
2024-04-09,6.49,7.1,6.3,6.85,130843
2024-04-10,7.06,7.08,6.02,6.19,121923
2024-04-11,6.2,6.61,6.07,6.08,42964
2024-04-12,6.08,6.23,4.7001,5.05,164083
2024-04-15,5.66,6.25,5.22,6.07,125719
2024-04-16,6.1,6.19,5.7601,5.95,28605
2024-04-17,6.09,6.24,5.5,5.53,70091
2024-04-18,5.51,5.93,4.78,5.11,55713
2024-04-19,4.9,5.56,4.9,5.06,52330
2024-04-22,5.09,5.21,4.9896,5.04,12926
2024-04-23,5.01,5.77,5.01,5.17,18434
2024-04-24,5.08,5.22,4.98,4.98,16603
2024-04-25,4.83,5.23,4.74,5.06,99325
2024-04-26,5.05,5.4199,4.97,5.18,59498
2024-04-29,5.01,5.26,4.9,4.91,23853
