date,open,high,low,close,volume
2024-03-01,5.93,6.105,5.7701,5.81,18702
2024-03-04,5.81,5.94,5.77,5.77,3587
2024-03-05,5.82,5.9,5.67,5.705,16970
2024-03-06,5.74,5.81,5.66,5.67,16055
2024-03-07,5.7426,5.7426,5.65,5.7,3720
2024-03-08,5.66,5.67,5.62,5.64,10336
2024-03-11,5.67,5.74,5.57,5.57,31513
2024-03-12,5.57,5.63,5.55,5.55,13620
2024-03-13,5.55,5.73,5.55,5.59,23487
2024-03-14,5.57,5.64,5.52,5.52,28671
2024-03-15,5.52,5.6,5.5,5.51,45533
2024-03-18,5.99,6.07,5.5,5.5,67784
2024-03-19,5.57,5.77,5.5,5.6,13770
2024-03-20,5.67,5.8,5.55,5.59,6811
2024-03-21,5.68,5.7199,5.57,5.65,17900
2024-03-22,5.78,5.88,5.65,5.725,15836
2024-03-25,5.745,5.9,5.65,5.655,5015
2024-03-26,5.874,5.874,5.66,5.72,23609
2024-03-27,5.75,5.79,5.72,5.72,1660
2024-03-28,5.71,5.9699,5.71,5.77,21311
2024-04-01,5.9699,5.9699,5.805,5.93,10980
2024-04-02,5.93,6.23,5.93,6.07,24146
2024-04-03,6.075,6.54,6.07,6.52,45340
2024-04-04,6.64,6.64,6.36,6.5,43295
2024-04-05,6.42,6.55,6.38,6.3977,7164
2024-04-08,6.39,6.45,6.35,6.35,13262
2024-04-09,6.35,6.38,6.305,6.32,13281
2024-04-10,6.7,6.71,6.42,6.52,26776
2024-04-11,6.59,6.59,6.33,6.33,10377
2024-04-12,6.33,6.36,6.15,6.16,42437
2024-04-15,6.19,6.3787,6.11,6.12,19391
2024-04-16,6.13,6.3,6.1229,6.23,4138
2024-04-17,6.2,6.2,6.08,6.08,6420
2024-04-18,6.12,6.18,5.98,6,16591
2024-04-19,6.115,6.155,6,6.03,11758
2024-04-22,6.09,6.09,5.95,6,10656
2024-04-23,6.1,6.75,6.1,6.56,47312
2024-04-24,6.65,7.0196,6.65,6.9,36750
2024-04-25,6.93,6.995,6.735,6.915,17792
2024-04-26,7.04,7.04,6.75,6.75,10358
2024-04-29,6.9,6.949,6.71,6.71,6472
2024-04-30,6.67,6.69,6.5714,6.65,4400
2024-05-01,6.56,6.6497,6.5,6.615,2686
2024-05-02,6.5,6.51,6.45,6.51,8348
2024-05-03,6.5101,6.9,6.5101,6.7,3781
2024-05-06,6.85,6.9,6.59,6.77,18683
2024-05-07,6.8888,7,6.81,6.81,6531
2024-05-08,6.9,7.18,6.85,7.08,17938
2024-05-09,7.15,7.15,6.83,6.89,4608
2024-05-10,6.7,7.13,6.66,7.02,6470
2024-05-13,6.86,6.8733,6.56,6.65,12179
2024-05-14,6.55,6.78,6.55,6.77,2013
2024-05-15,6.68,6.69,6.5601,6.69,2938
2024-05-16,6.6498,6.6498,6.55,6.59,1067
2024-05-17,6.77,6.77,6.57,6.57,1166
2024-05-20,6.57,6.8799,6.55,6.79,7935
2024-05-21,6.715,6.715,6.6888,6.6888,1166
2024-05-22,6.823,6.9299,6.5503,6.65,4439
2024-05-23,6.9839,6.9839,6.55,6.55,3447
2024-05-24,6.9,6.9,6.64,6.64,2371
2024-05-28,6.56,6.66,6.52,6.66,15976
2024-05-29,6.67,6.67,6.4,6.41,13529
2024-05-30,6.41,6.52,6.4,6.41,2710
2024-05-31,6.4,6.59,6.4,6.5,13396
2024-06-03,6.5078,6.6,6.5078,6.59,2496
2024-06-04,6.54,6.6,6.53,6.54,12421
2024-06-05,6.45,6.5415,6.4,6.41,6488
2024-06-06,6.3601,6.5,6.36,6.49,1621
2024-06-07,6.39,6.598,6.36,6.58,8493
2024-06-10,6.5292,6.5292,6.3501,6.39,3433
2024-06-11,6.25,6.59,6.25,6.49,13838
2024-06-12,7.19,7.2499,6.33,6.51,79773
2024-06-13,6.74,6.88,6.27,6.39,11109
2024-06-14,6.5,6.5556,6.24,6.32,10509
2024-06-17,6.38,6.38,5.86,6.26,76503
2024-06-18,6.17,6.24,5.9,5.96,36549
2024-06-20,5.96,6.24,5.96,6.1,5813
2024-06-21,6.18,6.18,6.01,6.11,23007
2024-06-24,6.18,6.3,5.96,6.015,29599
2024-06-25,6.09,6.4487,6.01,6.05,3536
2024-06-26,6.07,6.225,5.96,5.98,17274
2024-06-27,6.04,6.26,6.04,6.11,3436
2024-06-28,6.09,6.115,6.02,6.025,2430
2024-07-01,5.96,6.37,5.96,6,5901
2024-07-02,5.96,6.02,5.96,5.96,5384
2024-07-03,6.04,6.04,5.96,6.03,914
2024-07-05,6,6,5.96,5.98,9964
2024-07-08,5.96,6.05,5.96,6.05,5917
2024-07-09,6.1,6.3574,6,6.15,15366
2024-07-10,6.12,6.25,6.0722,6.2,29961
2024-07-11,6.13,6.45,6.13,6.24,16010
2024-07-12,6.21,6.39,6.21,6.38,5852
2024-07-15,6.42,6.42,6.3101,6.41,10658
2024-07-16,6.42,6.85,6.42,6.6929,48017
2024-07-17,6.56,6.75,6.56,6.68,7877
2024-07-18,6.63,6.81,6.5501,6.72,51683
2024-07-19,6.62,6.9799,6.62,6.76,12360
2024-07-22,6.85,6.9759,6.8,6.97,37075
2024-07-23,6.91,6.9925,6.78,6.78,5532
2024-07-24,6.71,6.8489,6.51,6.8,28508
2024-07-25,6.78,6.8545,6.55,6.55,28753
2024-07-26,6.65,6.8,6.56,6.8,10461
2024-07-29,6.83,6.85,6.7,6.84,11930
2024-07-30,6.94,7.2,6.882,7.2,34570
2024-07-31,7.07,7.49,6.8747,7.32,88914
2024-08-01,7.35,7.56,7.2732,7.41,19759
2024-08-02,7.46,7.46,7.2909,7.34,6233
2024-08-05,7.25,7.25,6.85,7.07,65249
2024-08-06,7,7.075,6.8,6.91,24607
2024-08-07,6.86,7.0827,6.86,6.96,23855
2024-08-08,6.92,7.15,6.91,7.1,10148
2024-08-09,7.08,7.15,6.9,6.92,5789
2024-08-12,6.99,7.12,6.902,7.12,16230
2024-08-13,7.15,7.2,7.1,7.13,7134
2024-08-14,7.0457,7.1361,7.03,7.1,5898
2024-08-15,6.98,7.09,6.96,7.03,17849
2024-08-16,7.09,7.15,7.05,7.15,14399
2024-08-19,7.15,7.45,7.05,7.4,39542
2024-08-20,7.45,7.78,7.25,7.67,97798
2024-08-21,7.75,7.8274,7.58,7.58,27098
2024-08-22,7.8,7.8,7.41,7.41,12136
2024-08-23,7.5,7.62,7.28,7.5,18618
2024-08-26,7.56,7.7,7.44,7.52,7620
2024-08-27,7.51,7.55,7.3,7.37,16953
2024-08-28,7.45,7.51,7.1,7.33,56078
2024-08-29,7.28,7.2999,6.99,6.99,136956
2024-08-30,7.2498,7.25,7.01,7.11,13551
2024-09-03,7.12,7.12,7.02,7.1,2471
2024-09-04,7.115,7.145,7.01,7.07,1230
2024-09-05,7.21,7.23,7.06,7.21,7625
2024-09-06,7.1481,7.1481,6.97,7.01,42631
2024-09-09,7.05,7.1,6.9,6.99,30354
2024-09-10,7.06,7.0699,7,7.02,11840
2024-09-11,7,7.1,6.82,6.82,62457
2024-09-12,6.91,6.97,6.82,6.97,7313
2024-09-13,6.95,7.06,6.95,7.05,28357
2024-09-16,7.4,7.64,7.0969,7.43,136552
2024-09-17,7.5,7.5,7.12,7.12,31603
2024-09-18,7.1215,7.3025,6.99,7.06,34385
2024-09-19,7.22,7.24,7.0101,7.22,7719
2024-09-20,7.19,7.38,7.16,7.36,12230
2024-09-23,7.3,7.31,7.18,7.26,12973
2024-09-24,7.26,7.43,7.1501,7.37,16057
2024-09-25,7.28,7.36,7.2605,7.3,9037
2024-09-26,7.3002,7.34,7.27,7.285,16763
2024-09-27,7.38,7.41,7.29,7.39,9418
2024-09-30,7.38,7.435,7.22,7.25,9834
2024-10-01,7.35,7.38,7.25,7.38,16567
2024-10-02,7.26,7.44,7.2339,7.44,15660
2024-10-03,7.4,7.4,7.3101,7.4,3608
2024-10-04,7.4,7.596,7.39,7.47,18601
2024-10-07,7.383,7.99,7.383,7.985,49362
2024-10-08,7.99,8.12,7.85,8.06,23157
2024-10-09,8.11,8.1404,7.77,7.81,44051
2024-10-10,7.76,8.04,7.6615,8,39960
2024-10-11,8.03,8.065,7.9,7.91,34007
2024-10-14,7.97,8.33,7.9,8.21,59337
2024-10-15,8.35,8.5,8.19,8.48,55355
2024-10-16,8.4809,8.83,8.4715,8.56,35976
2024-10-17,8.71,8.71,8.2,8.47,46849
2024-10-18,8.49,8.56,8.1996,8.3,26048
2024-10-21,8.3,8.495,8.15,8.27,48158
2024-10-22,8.27,8.55,8.27,8.5,29814
2024-10-23,8.42,8.42,8.14,8.29,20402
2024-10-24,8.29,8.29,8.04,8.19,36475
2024-10-25,8.185,8.39,8.185,8.32,23683
2024-10-28,8.39,8.9,8.3101,8.81,61835
2024-10-29,8.83,8.89,8.72,8.78,39683
2024-10-30,8.785,9.03,8.66,8.66,78324
2024-10-31,8.76,8.95,8.48,8.53,22643
2024-11-01,8.5,8.67,8.46,8.51,43395
2024-11-04,8.755,8.85,8.5801,8.7,21148
