date,open,high,low,close,volume
2024-03-01,7.8,8.1575,7.72,7.85,163496
2024-03-04,8.2,8.315,7.72,7.73,260999
2024-03-05,7.91,7.91,7.67,7.72,112749
2024-03-06,7.8,8.13,7.76,8.1,261279
2024-03-07,7.99,8.1,7.85,7.92,157568
2024-03-08,7.99,8.041,7.845,8.01,131126
2024-03-11,7.9,7.9738,7.74,7.87,187462
2024-03-12,7.95,7.99,7.82,7.98,125681
2024-03-13,7.98,8.3399,7.98,8.12,308321
2024-03-14,8.12,8.13,7.9,7.91,105851
2024-03-15,7.93,8.16,7.87,7.98,58198
2024-03-18,8,8.46,7.98,8.35,282068
2024-03-19,8.25,8.4525,8.08,8.1,208168
2024-03-20,8.15,8.45,8.11,8.44,267597
2024-03-21,8.53,8.79,8.3556,8.74,255884
2024-03-22,8.73,8.86,8.59,8.79,150032
2024-03-25,8.85,8.9596,8.7,8.75,176935
2024-03-26,8.68,8.8,8.5,8.6,135649
2024-03-27,8.63,8.63,8.46,8.56,67106
2024-03-28,8.63,8.95,8.62,8.93,187246
2024-04-01,8.89,9.03,8.82,8.97,116202
2024-04-02,9.01,9.01,8.71,8.83,113263
2024-04-03,8.88,9.15,8.7774,9.08,153312
2024-04-04,9.18,9.36,9,9.23,179645
2024-04-05,9.09,9.62,9.073,9.6,234128
2024-04-08,9.89,9.9893,9.63,9.69,450826
2024-04-09,9.7,10.13,9.6781,9.77,307707
2024-04-10,9.62,9.62,9.225,9.58,199967
2024-04-11,9.59,9.74,9.41,9.65,96769
2024-04-12,9.68,9.72,9.31,9.35,214034
2024-04-15,9.45,9.47,8.92,8.96,212960
2024-04-16,8.91,8.91,8.62,8.77,217628
2024-04-17,8.78,8.92,8.55,8.73,159011
2024-04-18,8.75,8.89,8.72,8.78,96520
2024-04-19,8.78,9.18,8.755,9.17,158767
2024-04-22,9.16,9.71,9.1,9.61,219980
2024-04-23,9.61,9.74,9.37,9.51,228677
2024-04-24,9.43,9.55,9.1,9.14,81054
2024-04-25,9.06,9.22,8.96,9.18,78274
2024-04-26,9.23,9.36,9.16,9.23,126373
2024-04-29,9.22,9.51,9.1601,9.41,151213
2024-04-30,9.36,9.7,9.36,9.54,243787
2024-05-01,9.54,9.5799,9.28,9.46,121773
2024-05-02,9.47,9.5899,9.42,9.5,101940
2024-05-03,9.7,9.85,9.53,9.77,209938
2024-05-06,9.86,10.75,9.801,10.41,511356
2024-05-07,10.17,10.62,10,10.29,300052
2024-05-08,10.32,10.67,10.28,10.42,235568
2024-05-09,10.44,10.44,10.11,10.32,189995
2024-05-10,10.45,10.7,10.14,10.22,164566
2024-05-13,10.24,10.2857,9.79,9.86,137731
2024-05-14,9.86,10.05,9.67,9.99,135024
2024-05-15,10.11,10.48,9.94,10.4,187397
2024-05-16,10.44,10.44,10,10.21,139899
2024-05-17,10.23,10.28,9.92,10.05,108326
2024-05-20,10.09,10.25,10.0479,10.17,97368
2024-05-21,10.23,10.27,9.96,10.07,121529
2024-05-22,10.07,10.09,9.84,9.87,466513
2024-05-23,9.99,10.0499,9.218,9.28,169497
2024-05-24,9.46,9.5,9.225,9.35,142011
2024-05-28,9.45,9.7,9.36,9.63,177314
2024-05-29,9.77,9.825,9.4454,9.61,89636
2024-05-30,9.65,10.065,9.65,9.95,197672
2024-05-31,9.99,10.03,9.65,9.9,304119
2024-06-03,9.95,10.08,9.43,9.58,115931
