date,open,high,low,close,volume
2024-03-01,24.405,29.005,23.92,27.95,329736
2024-03-04,28.365,29.22,23.005,23.355,277222
2024-03-05,23.46,25.38,22.57,23.46,220756
2024-03-06,24,24,19.83,19.85,194996
2024-03-07,19.73,21.145,19.0051,20.23,189676
2024-03-08,19.875,20.775,17.88,17.88,142464
2024-03-11,17.365,19.185,17.155,18.495,130372
2024-03-12,18.315,20.7,18.2919,20.145,140758
2024-03-13,20.385,21.4238,19.8001,20.65,211116
2024-03-14,20.5,21.39,19.845,19.97,211982
2024-03-15,19.255,21.258,19,20.58,151560
2024-03-18,20.58,23.985,20.58,21.7,259692
2024-03-19,21.5,23.19,20.1701,20.525,175216
2024-03-20,20.5,21.74,19.715,21.61,170420
2024-03-21,21.5,24.4372,20.19,21.21,214173
2024-03-22,20.84,21.29,19.99,20.74,60815
2024-03-25,20.25,22.41,19.3158,21,95498
2024-03-26,21.16,21.16,19.12,19.12,84185
2024-03-27,19.48,20.36,18.3026,18.77,90331
2024-03-28,19,19.22,17.8001,18.46,110190
2024-04-01,19.04,19.19,17.3,17.93,71270
2024-04-02,17.98,18.36,16.88,17.77,81736
2024-04-03,17.38,19.83,17.02,19.09,96193
2024-04-04,18.96,20.0249,18.13,18.28,66280
2024-04-05,18.39,19.34,18,18.86,53787
2024-04-08,18.72,19.79,18.4,18.82,118988
2024-04-09,18.55,20.69,18.4,19.4,275912
2024-04-10,18.44,19.65,17.87,18.39,113814
2024-04-11,18.67,19.99,18,19.57,112633
2024-04-12,19.49,19.51,17.12,17.33,74904
2024-04-15,17.33,17.77,16.01,16.21,101128
2024-04-16,16.23,17.6,16.1,17.1,77542
2024-04-17,17.1,17.51,16.01,16.34,54665
2024-04-18,16.19,16.3985,14.11,14.24,107392
2024-04-19,14.2,15.205,13.95,14.25,140171
2024-04-22,14.53,15,13.79,13.87,104262
2024-04-23,13.79,14.52,13.76,14.33,64461
2024-04-24,14.12,14.48,13.22,13.98,84063
2024-04-25,13.54,13.975,13,13.58,69199
2024-04-26,13.42,14.07,13.18,13.53,136926
2024-04-29,13.7,14.54,13.6603,13.86,89070
2024-04-30,13.7,14.12,12.93,13.07,69151
2024-05-01,12.95,13.4199,12.25,12.39,186621
2024-05-02,12.64,12.64,11.83,12.2,160922
2024-05-03,12.22,13.43,12.21,12.91,126881
2024-05-06,13,13.553,12.7,13.25,66043
2024-05-07,13.37,13.37,12.14,12.33,230492
2024-05-08,11.81,13.79,11.1101,13.38,172077
2024-05-09,13.06,13.41,12.65,13.08,60648
2024-05-10,13.43,13.695,13.03,13.59,70867
2024-05-13,13.66,14.27,13.21,13.48,63747
2024-05-14,13.5,13.88,13.2601,13.64,64033
2024-05-15,13.92,14.5,13.449,14.3,91247
2024-05-16,14.19,15.12,13.79,14.9,76700
2024-05-17,14.83,15.1237,14.17,14.34,58858
2024-05-20,14.45,14.98,14.19,14.81,57036
2024-05-21,14.98,15.4,14.6,15.11,66258
2024-05-22,14.92,15.69,14.73,15.41,48264
2024-05-23,15.7,15.7,14.15,14.28,69352
2024-05-24,14.25,14.79,14.076,14.79,49707
2024-05-28,14.61,14.69,13.9,14.22,58915
2024-05-29,14,15.15,14,14.96,31439
2024-05-30,14.69,15.1599,14.66,14.81,28515
2024-05-31,14.98,15.13,13.89,14.79,59577
2024-06-03,14.99,15.1,14.1,14.38,25319
2024-06-04,14.26,14.55,14.1,14.26,20848
2024-06-05,14.61,14.92,14.35,14.76,23992
2024-06-06,14.71,14.7744,14.02,14.26,32208
2024-06-07,14.25,14.76,13.74,14.02,28435
2024-06-10,13.91,14.8079,13.91,14.38,24027
2024-06-11,14.29,14.7799,14.17,14.45,45952
2024-06-12,14.78,15,14,14.34,51421
2024-06-13,14.23,14.61,14.05,14.48,22391
2024-06-14,14.2,14.41,13.88,14.33,21409
2024-06-17,14.24,14.34,13.68,14.34,35670
2024-06-18,14.12,14.3,13.8,13.92,35718
2024-06-20,13.92,14.25,13.7047,14.25,39875
2024-06-21,14.36,14.36,13.95,13.96,16819
2024-06-24,13.83,13.8799,13.26,13.26,45033
2024-06-25,13.25,13.63,12.73,13.29,46240
2024-06-26,13.202,13.87,13.03,13.87,26307
2024-06-27,13.9654,15.05,13.5645,14.87,65827
2024-06-28,15.05,15.58,14.39,14.9,53317
2024-07-01,15.22,15.27,14.51,15.21,35965
2024-07-02,15.43,15.83,15.05,15.6,44688
2024-07-03,15.6,15.825,15.17,15.17,17478
2024-07-05,15.12,15.7999,15.06,15.71,15952
2024-07-08,15.83,15.83,14.9135,15.48,37162
2024-07-09,15.43,15.715,15.125,15.21,5576
2024-07-10,15.35,15.36,14.78,15.11,16849
2024-07-11,15.15,15.675,15.15,15.44,20584
2024-07-12,15.63,15.75,14.9,15.38,39270
2024-07-15,15.59,15.9709,15.01,15.18,19251
2024-07-16,15.449,15.58,14.963,15.32,21008
2024-07-17,15.27,15.35,14.11,14.49,36400
2024-07-18,14.32,15.18,14.3,14.7,32183
2024-07-19,14.48,15,14.22,14.67,25417
2024-07-22,15.47,18.371,15.1569,17.82,210690
2024-07-23,18.19,18.35,15.22,15.58,169361
2024-07-24,15.59,16.32,15.09,15.44,30502
2024-07-25,15.37,15.45,14.38,14.95,22412
2024-07-26,15.37,15.54,14.96,15.13,19883
2024-07-29,15.14,15.9599,14.9,15.14,23331
2024-07-30,15.24,15.3,14.44,14.85,23987
2024-07-31,14.98,15.5499,14.88,15.46,14007
2024-08-01,15.7158,15.72,14.1971,15.1,37959
2024-08-02,14.75,14.75,13.77,14.56,34387
2024-08-05,13.44,14.66,13.25,14.66,31368
2024-08-06,14.225,15.1499,13.75,14.91,15848
2024-08-07,15.15,15.15,14,14.26,7358
2024-08-08,14.32,15.18,14.3001,15.15,19280
2024-08-09,15.21,15.33,14.52,14.7,11083
2024-08-12,14.85,15.98,14.8,15.98,31438
2024-08-13,14.6,14.6,12.5,13.16,109081
2024-08-14,12.87,13.715,12.85,13.27,93206
2024-08-15,13.0674,13.5061,12.2,13.12,99996
2024-08-16,13.23,13.98,12.7601,13.98,97407
2024-08-19,14.25,16.24,14.25,15,272669
2024-08-20,14.73,14.9,13.9601,14.36,72436
2024-08-21,14.54,14.54,13.81,14.2,49391
2024-08-22,15.1458,15.1458,13.77,14.29,18671
2024-08-23,14.26,14.5,13.76,13.91,11438
2024-08-26,13.75,14.3,13.61,13.77,33273
2024-08-27,13.8,13.99,13.66,13.82,7722
2024-08-28,13.74,13.96,13.52,13.96,17646
2024-08-29,13.89,14.1091,13.6,13.85,8454
2024-08-30,13.84,13.9175,13.5201,13.9,6190
2024-09-03,13.61,13.82,13.175,13.56,24894
2024-09-04,13.37,13.37,12.78,12.98,15643
2024-09-05,13,13.12,12.2,12.28,34309
2024-09-06,12.2047,12.2047,10.98,11.25,49551
2024-09-09,10.99,11.8632,10.99,11.41,24895
2024-09-10,12.03,12.03,10.76,11.46,24416
2024-09-11,11.62,11.74,11.18,11.69,20166
2024-09-12,11.62,12.05,11.55,12.02,23244
2024-09-13,12.1,12.6797,11.78,12.3,23872
2024-09-16,12.33,12.8,11.86,12.29,17605
2024-09-17,12.38,12.89,12.105,12.88,41863
2024-09-18,12.6419,12.7159,12.25,12.26,27034
2024-09-19,12.34,12.59,12.31,12.48,19882
2024-09-20,12.32,12.67,12.32,12.67,16522
2024-09-23,12.58,12.8,12.0001,12.51,21996
2024-09-24,12.35,12.73,12.18,12.56,16991
2024-09-25,12.525,12.77,12.4,12.57,19195
2024-09-26,12.675,12.74,12.3,12.74,17439
2024-09-27,12.52,13.32,12.3388,12.9,30817
2024-09-30,12.83,13,12.7589,12.99,9273
2024-10-01,12.82,13.09,12.32,12.74,19202
2024-10-02,12.54,13.1,12.54,12.76,17929
2024-10-03,12.75,13.06,12.6004,12.73,11449
2024-10-04,12.66,13.0299,12.66,12.81,11999
2024-10-07,12.61,12.8,12.42,12.42,23494
2024-10-08,12.24,12.89,12.24,12.755,13150
2024-10-09,12.88,13,12.58,12.99,11709
2024-10-10,12.81,13.19,12.61,13.19,40394
2024-10-11,13.3,13.3,12.9,13.11,10065
2024-10-14,12.87,12.9,12.53,12.65,9890
2024-10-15,12.59,13.1,12.22,12.5,18222
2024-10-16,13.08,13.08,12.6475,12.78,4013
2024-10-17,12.76,13.45,12.68,13.33,20593
2024-10-18,13.2875,13.47,12.93,13.18,10675
2024-10-21,13.12,13.23,12.71,12.83,13903
2024-10-22,12.89,12.89,12.6,12.72,9995
2024-10-23,12.8,12.8,12.49,12.52,18692
2024-10-24,12.65,13,12.52,13,14346
2024-10-25,13.13,13.13,12.81,13.11,20049
2024-10-28,12.94,13.142,12.71,12.71,12766
2024-10-29,12.675,12.9346,12.39,12.39,18100
2024-10-30,12.29,12.52,12.24,12.52,19812
2024-10-31,12.52,12.64,12.43,12.47,9319
2024-11-01,12.4157,12.6029,12.04,12.2,6271
2024-11-04,12.1,12.81,12.1,12.62,43682
2024-11-05,12.8232,12.96,12.6,12.62,15059
2024-11-06,12.66,12.922,12.3671,12.81,11119
2024-11-07,12.65,13.18,12.3,12.78,24221
2024-11-08,12.95,13.18,12.95,13.16,15527
2024-11-11,13.015,13.1707,12.86,12.92,10626
2024-11-12,12.97,13.09,12.51,12.51,19370
2024-11-13,12.7,12.7369,12.41,12.61,19123
2024-11-14,12.71,13,12.4814,12.98,13749
2024-11-15,12.96,12.96,12.5,12.91,7494
2024-11-18,12.83,12.94,12.6505,12.74,19269
2024-11-19,12.8,13.25,12.78,13.03,10404
2024-11-20,13.06,13.57,12.82,13.57,27834
2024-11-21,13.82,14.6553,13.21,14.19,65985
2024-11-22,14.06,17.1892,13.97,17.18,106995
2024-11-25,17.25,18.63,17.17,18.49,53706
2024-11-26,18.63,18.63,16.13,16.65,56209
2024-11-27,16.64,16.727,15.7,15.82,19008
2024-11-29,15.67,16.76,15.4,16.25,13105
2024-12-02,16.43,16.44,15.44,16.23,48307
2024-12-03,16.45,17.77,16,17.28,30064
2024-12-04,17.8,17.8954,16.28,16.51,35291
2024-12-05,15.7422,17.19,15.7422,16.55,26929
2024-12-06,16.8,17.4372,15.07,17.4,20416
2024-12-09,17.8,17.8,16.7552,16.87,33224
2024-12-10,16,17.61,16,16.79,35156
2024-12-11,16.77,17.95,16.77,17.69,38537
2024-12-12,17.425,21.46,17.4,20.45,86294
2024-12-13,20.2,20.25,16.41,16.79,79447
2024-12-16,17.05,17.48,16.55,17.48,27225
2024-12-17,17.35,18.37,16.68,17.99,39002
2024-12-18,17.72,18.11,16.271,16.31,30126
2024-12-19,16.61,18.41,16.5,16.5,91176
2024-12-20,13.4,15.9,12.45,14.92,105610
2024-12-23,14.87,15.49,14.3,15.33,47571
2024-12-24,15.02,16.3291,14.9291,15.85,18093
2024-12-26,15.96,16.95,15,16.515,25243
2024-12-27,16.8,16.8,15.56,15.56,33391
2024-12-30,14.97,17.19,14.97,16.88,49255
2024-12-31,17,17,15.86,16.07,35058
2025-01-02,15.9,16.87,15.9,16.59,22457
2025-01-03,16.71,17.85,16.02,17.65,42202
2025-01-06,17.99,18.035,17.27,17.48,42437
2025-01-07,17.3,17.42,16.95,17.27,26174
2025-01-08,17.26,17.36,16.595,16.76,20003
2025-01-10,16.3,17.16,16.0783,16.61,26519
2025-01-13,16.11,16.45,15.43,15.52,40468
2025-01-14,15.45,16.3615,15.45,15.68,32623
2025-01-15,16.27,16.44,15.15,15.58,21039
2025-01-16,15.66,16.3647,15.6,15.78,21873
2025-01-17,15.8652,16.39,15.562,16.25,28976
2025-01-21,15.85,17.345,15.3901,16.86,19830
2025-01-22,16.92,17.51,16.91,17.14,18875
2025-01-23,17.32,17.32,16.85,16.91,10941
2025-01-24,16.8,17.1695,16.75,16.96,15812
2025-01-27,16.29,17.12,16.29,16.46,22668
2025-01-28,16.43,17.09,15.67,16.62,26601
2025-01-29,16.66,17.7,16.66,17.46,31931
2025-01-30,17.25,17.935,16.8301,17.52,22476
2025-01-31,17.72,20.49,17.3532,19.98,84551
2025-02-03,19.67,19.78,18.802,19.28,18164
2025-02-04,19.51,19.51,18.38,18.95,26828
2025-02-05,18.66,21.41,18.31,20.33,37999
2025-02-06,20.2,21.95,19.9916,20.82,61443
2025-02-07,21.8,21.8,19.65,19.65,44305
2025-02-10,19.02,21.7886,18.75,19.76,42793
2025-02-11,20.425,20.47,19.8,20.1,24840
2025-02-12,19.7,21.505,19.7,19.92,61237
2025-02-13,19.86,19.86,18.71,18.93,47103
2025-02-14,18.91,19.755,18.25,19.33,46249
2025-02-18,19.46,20.39,18.49,18.74,46381
2025-02-19,18.6481,18.745,17.74,18.04,34849
2025-02-20,17.85,17.86,17.22,17.78,27882
2025-02-21,17.63,18.145,17.31,17.31,34322
2025-02-24,17,17,16.01,16.01,67764
2025-02-25,15.87,16.24,15.4,15.69,42966
2025-02-26,15.55,16.775,15.5,16.76,84927
2025-02-27,16.8,17,16,16.31,22254
2025-02-28,16.2,16.83,15.9756,16.55,24309
