date,open,high,low,close,volume
2024-03-01,24.19,24.19,23.8,23.89,375175
2024-03-04,23.94,24.27,23.92,24.15,486797
2024-03-05,24.06,24.2,24.0128,24.09,321478
2024-03-06,24.15,24.65,23.97,24.21,1083819.0
2024-03-07,24.36,24.66,24.2998,24.44,321236
2024-03-08,24.52,24.75,24.36,24.4,305204
2024-03-11,24.33,24.66,24.31,24.59,539584
2024-03-12,24.76,24.87,24.565,24.82,380910
2024-03-13,24.87,25.12,24.815,24.96,419034
2024-03-14,24.24,24.3025,23.7,23.71,438833
2024-03-15,23.7,24.0899,23.7,23.92,718745
2024-03-18,23.87,23.9,23.65,23.68,344531
2024-03-19,23.6,23.92,23.29,23.82,297367
2024-03-20,23.59,24.07,23.521,24.02,244263
2024-03-21,24.03,24.44,24.02,24.23,244818
2024-03-22,24.21,24.3,24.05,24.07,137347
2024-03-25,24.15,24.4544,24.13,24.18,187455
2024-03-26,24.25,24.55,24.25,24.45,198371
2024-03-27,24.47,24.7,24.45,24.7,212066
2024-03-28,24.75,24.99,24.75,24.96,378337
2024-04-01,24.98,25,24.59,24.7,254407
2024-04-02,24.74,24.74,24.45,24.66,191490
2024-04-03,24.75,24.93,24.6601,24.9,153043
2024-04-04,24.95,25.02,24.6,24.62,199129
2024-04-05,24.58,24.87,24.502,24.87,114415
2024-04-08,24.89,24.9799,24.67,24.96,175938
2024-04-09,24.96,25.16,24.83,25.16,241906
2024-04-10,24.95,25.07,24.72,24.9,186535
2024-04-11,24.91,25.05,24.75,25.03,142883
2024-04-12,25.04,25.1,24.36,24.51,242423
2024-04-15,24.62,24.88,24.36,24.39,203763
2024-04-16,24.3,24.5,24.08,24.42,248074
2024-04-17,24.49,24.87,24.4794,24.79,144585
2024-04-18,24.83,24.97,24.66,24.78,132661
2024-04-19,24.8,25.15,24.8,25.06,174662
2024-04-22,25.09,25.43,25,25.41,219603
2024-04-23,25.37,25.82,25.33,25.69,164072
2024-04-24,25.63,25.9,25.63,25.8,141625
2024-04-25,25.72,25.859,25.55,25.79,120597
2024-04-26,25.85,26.05,25.7806,25.89,136902
2024-04-29,25.9,26.1,25.85,25.96,176870
2024-04-30,25.84,26.04,25.81,25.82,150257
2024-05-01,25.84,26.34,25.84,26.18,213731
2024-05-02,26.18,26.18,25.55,25.79,262842
2024-05-03,26,26.23,25.88,26.17,199920
2024-05-06,26.33,26.5511,26.2891,26.53,254167
2024-05-07,26.7,26.79,26.45,26.57,188843
2024-05-08,26.57,26.68,26.48,26.48,202689
2024-05-09,26.56,26.94,26.5108,26.83,278301
2024-05-10,26.92,27.055,26.585,26.71,234031
2024-05-13,26.71,26.94,26.64,26.73,217191
