date,open,high,low,close,volume
2024-03-01,230.12,232.34,226.58,228.4,61313
2024-03-04,230.43,238.7,230.43,234.35,63601
2024-03-05,232.86,234,230.5,230.8,65847
2024-03-06,232.67,236.655,231.14,234.74,51992
2024-03-07,236.19,240.1,236.17,238.13,55730
2024-03-08,239.75,241.61,232.175,233.72,66282
2024-03-11,232.12,233.19,229.7001,233.11,68526
2024-03-12,232.77,235.24,230.21,231.47,77730
2024-03-13,230.09,233.64,229.67,231.06,150313
2024-03-14,230.02,233.99,229.535,231.04,129466
2024-03-15,229.44,232.58,229.44,230.08,187787
2024-03-18,229.75,233.43,221.1,230.44,157282
2024-03-19,230.22,235.01,229.86,234.57,125079
2024-03-20,234.14,237.66,232.04,236.99,47386
2024-03-21,238.75,243.3,238.75,240.1,88797
2024-03-22,240.57,240.57,232.32,232.67,119207
2024-03-25,233.52,235.2892,227.375,228.18,102144
2024-03-26,230.07,230.88,225.83,228.62,113889
2024-03-27,230.44,233.2,228.47,232.6,52994
2024-03-28,233.47,236.705,233,234.6,77834
2024-04-01,234.6,235,230.1,231.92,41973
2024-04-02,231,231,226.0535,228.58,60038
2024-04-03,227.31,234.115,227.31,230.18,51473
2024-04-04,232.7,233.55,230.1,231.05,96174
2024-04-05,231.95,236.62,231.95,236.27,60248
2024-04-08,236.37,238.87,235.175,236.95,33208
2024-04-09,237.75,239.78,232.6211,239.66,110548
2024-04-10,233.5,235.51,233.28,235.1,80556
2024-04-11,235.86,238.47,233.9,238.33,47721
2024-04-12,238.88,238.88,234.91,236.03,47053
2024-04-15,237.46,237.75,234.205,235.29,44473
2024-04-16,233.5,235.45,231.16,234.66,61816
2024-04-17,235.57,235.57,229.49,232.43,64565
2024-04-18,233.27,236.74,232.88,233.98,94117
2024-04-19,233.42,235.56,231.085,231.88,152106
2024-04-22,232.9,235.97,232.9,234.35,39196
2024-04-23,236.57,240.015,235.86,239.46,45772
2024-04-24,238.06,240.14,235.95,238.05,35714
2024-04-25,233.025,238.09,232.2,237.72,58104
2024-04-26,238.08,240.89,237.43,239,72589
2024-04-29,238.48,242.015,237.53,239.98,61841
2024-04-30,239.41,241.495,237.19,237.62,94277
2024-05-01,238.6,244.3,237.5,240.6,114195
2024-05-02,241.62,244.6184,240.07,241.87,68972
2024-05-03,243.42,245.6452,241.005,242.84,69408
2024-05-06,244.87,248.96,244.87,248.04,50817
2024-05-07,249.24,252.14,247.19,250.34,100183
2024-05-08,248.65,251.115,246.47,247.88,62083
2024-05-09,247.17,248.6106,245.02,246.72,78342
2024-05-10,246.58,249.88,245.685,247.63,74261
2024-05-13,248.93,248.93,241.94,241.94,78261
2024-05-14,244.85,245.28,240.28,245.27,71596
2024-05-15,246.96,247.9,245.61,246.32,65323
2024-05-16,246.97,246.97,242.32,242.79,62111
2024-05-17,243.79,243.8,239.67,240.37,69356
2024-05-20,240.39,250.25,240.21,249.26,100855
2024-05-21,249.26,249.9,245.81,249.83,67458
2024-05-22,249.55,250.875,246.63,247.53,93222
2024-05-23,255.47,261.305,245.105,255.82,154877
2024-05-24,256.96,262.83,252.73,261.69,98477
2024-05-28,262.3,263.91,256.72,258.82,73690
2024-05-29,257.25,259.925,256.13,256.27,60220
2024-05-30,256.62,258.75,255.05,255.46,63608
2024-05-31,255.68,258.08,251.39,254.26,125123
2024-06-03,255.71,258.11,252.6,255.03,136523
2024-06-04,253.92,254.8,248.9,252.38,66699
2024-06-05,252.56,255.99,252.375,255.74,55477
