date,open,high,low,close,volume
2024-03-01,0.176,0.29,0.15,0.151,26607
2024-03-04,0.1578,0.17,0.1505,0.16,14851
2024-03-05,0.19,0.2499,0.1601,0.1601,40104
2024-03-06,0.1602,0.1803,0.1425,0.1431,32722
2024-03-07,0.18,0.2299,0.1325,0.151,10831
2024-03-08,0.1719,0.2,0.15,0.1815,13033
2024-03-11,0.19,0.19,0.1614,0.18,15689
2024-03-12,0.2375,0.2375,0.13,0.16,1640
2024-03-19,0.19,0.19,0.137,0.137,12566
2024-03-21,0.15,0.15,0.137,0.137,700
2024-03-25,0.1825,0.1911,0.1411,0.1412,3592
2024-03-26,0.1702,0.1702,0.132,0.15,11011
2024-03-27,0.16,0.2096,0.1432,0.1523,52436
2024-04-01,0.1374,0.1857,0.1374,0.1641,39205
2024-04-02,0.15,0.15,0.15,0.15,111
2024-04-03,0.12,0.12,0.12,0.12,924
2024-04-05,0.15,0.15,0.145,0.145,1400
2024-04-11,0.15,0.15,0.1499,0.1499,325
2024-04-12,0.138,0.1479,0.11,0.11,18044
2024-04-15,0.11,0.11,0.11,0.11,525
2024-04-16,0.11,0.1171,0.0726,0.0726,9802
2024-04-17,0.08,0.08,0.08,0.08,25198
2024-04-24,0.073349,0.073349,0.073349,0.073349,6096
2024-04-25,0.09,0.09,0.09,0.09,328
2024-05-02,0.073,0.073,0.073,0.073,883
2024-05-07,0.1101,0.1218,0.0975,0.0975,1014
2024-05-14,0.077,0.077,0.077,0.077,246
2024-05-15,0.0819,0.1245,0.0819,0.1245,3886
2024-05-16,0.1166,0.1295,0.0835,0.0835,2244
2024-05-17,0.108,0.1158,0.0853,0.0856,855
2024-05-22,0.0835,0.0899,0.077,0.0775,10405
2024-05-24,0.085,0.1168,0.081,0.081,3013
2024-05-29,0.0978,0.129,0.0978,0.129,778
2024-05-30,0.0801,0.1,0.0799,0.0945,14593
2024-06-05,0.09,0.0975,0.09,0.09,74185
2024-06-07,0.09,0.0999,0.09,0.095,29390
2024-06-12,0.09,0.09,0.081,0.081,55137
2024-06-20,0.08,0.08,0.0736,0.08,52559
2024-06-25,0.08,0.08,0.0725,0.0725,6352
2024-07-08,0.077499,0.084999,0.077499,0.08,3000
2024-07-11,0.081,0.081,0.081,0.081,1447
2024-07-15,0.089899,0.09,0.089899,0.09,2000
2024-07-17,0.0899,0.0899,0.081,0.081,2426
2024-07-18,0.089,0.09,0.0875,0.0875,681
2024-07-19,0.085,0.085,0.085,0.085,171
2024-07-22,0.089899,0.09,0.085,0.085,1702
2024-07-23,0.0875,0.09,0.0875,0.09,18471
2024-07-24,0.095101,0.095101,0.095101,0.095101,200
2024-07-30,0.095,0.0951,0.095,0.0951,600
2024-07-31,0.09,0.09,0.09,0.09,200
2024-08-16,0.09,0.09,0.09,0.09,142440
2024-08-28,0.09,0.09,0.0707,0.0707,10700
2024-09-11,0.0713,0.0713,0.07,0.07,54047
2024-09-13,0.07,0.07,0.0501,0.06,12521
2024-10-16,0.1,0.1,0.05,0.1,11987
2024-10-17,0.1,0.1301,0.085,0.085,16198
2024-11-08,0.1075,0.11,0.087,0.11,10234
2024-11-18,0.0895,0.0895,0.0895,0.0895,100
2024-11-25,0.0612,0.0612,0.055,0.06,7270
2024-12-02,0.051,0.051,0.0505,0.051,1999
2024-12-05,0.059501,0.059501,0.0405,0.0405,2024
2024-12-09,0.0502,0.0502,0.0425,0.0425,1301
2024-12-10,0.04,0.04,0.0162,0.0169,34619
2024-12-11,0.017,0.0634,0.017,0.025,3901
2024-12-13,0.0476,0.048,0.0476,0.0479,1901
2024-12-16,0.025,0.0479,0.025,0.0479,649
2024-12-17,0.025,0.075801,0.018,0.075,31118
2024-12-20,0.0742,0.086251,0.025,0.0452,262897
2024-12-24,0.04,0.04,0.04,0.04,1130
2025-01-02,0.13,0.208496,0.0454,0.0485,220700
2025-01-03,0.051,0.06165,0.046,0.046,46512
2025-01-06,0.046,0.055,0.046,0.055,3481
2025-01-08,0.0544,0.0544,0.0544,0.0544,181
2025-01-10,0.055,0.05765,0.04,0.0407,72218
2025-01-13,0.0594,0.0594,0.0404,0.05,6622
2025-01-14,0.0587,0.0587,0.0419,0.0432,15365
2025-01-15,0.0552,0.0557,0.0434,0.0434,10866
2025-01-16,0.0436,0.0437,0.0436,0.0437,2051
2025-01-17,0.035,0.052,0.034188,0.045,34864
2025-01-21,0.0405,0.0405,0.032,0.032,385
2025-01-22,0.0483,0.054,0.0323,0.0324,23283
2025-01-23,0.0401,0.0425,0.032,0.035,13748
2025-01-24,0.0324,0.034,0.0324,0.0325,1295
2025-01-27,0.0326,0.052,0.0326,0.0327,3275
2025-01-29,0.0446,0.045,0.0355,0.0355,10756
2025-01-30,0.0358,0.0358,0.025,0.026,6060
2025-02-03,0.0347,0.0347,0.0347,0.0347,3500
2025-02-04,0.0252,0.0252,0.025,0.025,436
2025-02-05,0.0343,0.04,0.0254,0.0254,10316
2025-02-06,0.025,0.025,0.0207,0.0207,2075
2025-02-07,0.0462,0.048,0.0366,0.0366,2656
2025-02-10,0.0384,0.0464,0.0381,0.0424,8227
2025-02-11,0.0228,0.0295,0.0228,0.029398,472
2025-02-12,0.0229,0.0229,0.0229,0.0229,110
2025-02-14,0.0299,0.0415,0.0299,0.0365,4385
2025-02-19,0.0365,0.0368,0.0365,0.0368,1448
2025-02-24,0.035,0.0445,0.0256,0.037,11008
2025-02-26,0.0257,0.0257,0.021,0.0213,30649
2025-02-27,0.025,0.025,0.0215,0.0249,4503
