date,open,high,low,close,volume
2024-03-01,31.1,31.9,30.06,31.9,147056
2024-03-04,31.95,31.95,30.39,31.42,111591
2024-03-05,31.95,32.9,31.09,32.13,91566
2024-03-06,31.96,32.2,31.03,32,74184
2024-03-07,32.1,32.8,31.34,31.83,104679
2024-03-08,31.83,32.32,30.74,31.76,72994
2024-03-11,31.95,31.95,30.08,30.23,98021
2024-03-12,30.23,30.81,29.81,30.55,78012
2024-03-13,30.55,31.55,30.55,31.08,60901
2024-03-14,31.36,31.88,30.94,30.97,68800
2024-03-15,30.74,31.26,30.04,30.41,95758
2024-03-18,30.26,30.69,28.83,30.69,142083
2024-03-19,27.01,29.5,26.9,28.75,368520
2024-03-20,27.32,29.36,26.9842,28.6,177191
2024-03-21,29.4,29.4,27.46,28,141509
2024-03-22,27.74,29.06,27.74,28.64,81634
2024-03-25,28.42,28.42,26.71,26.86,108856
2024-03-26,26.76,27.9,26.47,26.74,64898
2024-03-27,26.91,27.31,26.64,26.79,39716
2024-03-28,26.85,27.35,26.78,27.13,68543
2024-04-01,27.15,27.67,26.83,27.58,65973
2024-04-02,27.28,27.79,26.67,27.02,52179
2024-04-03,27.26,28.01,26.47,26.93,83726
2024-04-04,27.08,27.28,24.94,25.27,82966
2024-04-05,25.35,25.77,24.5301,25.08,73369
2024-04-08,25.06,25.1,24.13,24.23,45336
2024-04-09,24.57,24.57,23.68,23.98,59872
2024-04-10,23.46,23.52,22.2,23.45,99530
2024-04-11,23.52,23.52,22.325,23.28,106591
2024-04-12,23.13,23.13,22.12,22.94,58996
2024-04-15,23.03,23.21,21.945,22.52,127372
2024-04-16,22.41,22.85,22.08,22.69,74392
2024-04-17,23.01,23.155,22.06,22.37,55207
2024-04-18,22.49,23.17,22.175,22.19,54329
2024-04-19,22.06,22.445,21.16,22.28,114675
2024-04-22,22.26,22.38,21.62,22.22,77451
2024-04-23,22.28,23,21.86,22.23,101174
2024-04-24,22.35,22.79,21.78,22.06,65314
2024-04-25,21.79,21.98,21.5625,21.78,60205
2024-04-26,21.69,22.52,21.69,22.52,78744
2024-04-29,22.99,23.14,21.17,22.13,109656
2024-04-30,21.94,22.12,20.79,21.44,168590
2024-05-01,21.31,21.88,20.7,21.46,106636
2024-05-02,21.93,22.33,21.74,21.82,95956
2024-05-03,22.285,22.56,21.91,22.1,53385
2024-05-06,22.11,22.85,22.11,22.81,39551
2024-05-07,22.86,23.52,22.86,23.19,77794
2024-05-08,23.21,23.3,22.34,22.93,64231
2024-05-09,22.85,23.205,22.6,23.03,47728
2024-05-10,22.96,23.59,22.9,23.19,53373
2024-05-13,23.34,23.84,23,23.51,56284
