date,open,high,low,close,volume
2024-03-01,2.3535,2.3804,2.3535,2.3804,145949.1634
2024-03-04,2.3804,2.3983,2.3714,2.3714,203044.6442
2024-03-05,2.3714,2.4162,2.3713,2.3983,171842.9373
2024-03-06,2.3983,2.4341,2.3978,2.4162,99113.0792
2024-03-07,2.4251,2.4386,2.4251,2.4251,63499.6418
2024-03-08,2.443,2.452,2.434,2.443,172425.1337
2024-03-11,2.4968,2.5857,2.4341,2.5057,486116.1577
2024-03-12,2.4878,2.5236,2.452,2.5057,59272.2921
2024-03-13,2.4968,2.5415,2.4898,2.5326,61564.2017
2024-03-14,2.5326,2.5505,2.5058,2.5415,462703.1442
2024-03-15,2.5326,2.5326,2.4968,2.5236,37809.2456
2024-03-18,2.5057,2.5326,2.4986,2.5056,130813.1732
2024-03-19,2.4878,2.5057,2.4431,2.5057,81216.9637
2024-03-20,2.5057,2.5863,2.5057,2.5863,100692.0496
2024-03-21,2.6041,2.6399,2.5505,2.5684,48432.934
2024-03-22,2.5505,2.5952,2.4968,2.4968,263655.6529
2024-03-25,2.5863,2.622,2.4072,2.4341,246368.5529
2024-03-26,2.448,2.5331,2.4197,2.4669,569533.038
2024-03-27,2.4858,2.4858,2.4291,2.4386,180022.932
2024-03-28,2.4102,2.457,2.4102,2.448,74624.972
2024-04-01,2.4386,2.4573,2.4197,2.4291,65704.974
2024-04-02,2.4291,2.4291,2.4027,2.4291,35264.198
2024-04-03,2.4127,2.4386,2.4127,2.4386,27405.374
2024-04-04,2.4386,2.4575,2.4342,2.4479,35521.292
2024-04-05,2.4102,2.448,2.4102,2.4291,22868.67
2024-04-08,2.4475,2.4475,2.4102,2.4291,37841.486
2024-04-09,2.4258,2.4291,2.4055,2.4197,70240.62
2024-04-10,2.4102,2.4102,2.3535,2.3629,85521.314
2024-04-11,2.3724,2.3786,2.344,2.3724,63873.576
2024-04-12,2.344,2.344,2.3015,2.3058,99428.724
2024-04-15,2.359,2.359,2.259,2.2637,74377.4
2024-04-16,2.259,2.2684,2.216,2.2306,48825.642
2024-04-17,2.2212,2.2933,2.2212,2.241,54802.284
2024-04-18,2.2684,2.2684,2.2401,2.2495,42263.926
2024-04-19,2.259,2.2684,2.2401,2.2401,63772.008
2024-04-22,2.2495,2.2684,2.2317,2.2684,42922.002
2024-04-23,2.2873,2.2967,2.2684,2.2732,118736.166
2024-04-24,2.2791,2.2826,2.2637,2.2685,23933.018
2024-04-25,2.2684,2.2871,2.2495,2.2779,53711.486
2024-04-26,2.2968,2.3055,2.2873,2.2968,45820.922
2024-04-29,2.2968,2.3251,2.2968,2.3251,32782.13
2024-04-30,2.3157,2.3157,2.2969,2.2998,12451.602
2024-05-01,2.2968,2.3062,2.259,2.2854,43355.782
2024-05-02,2.2878,2.2905,2.259,2.2826,37293.442
2024-05-03,2.2968,2.3251,2.2968,2.3251,26690.166
2024-05-06,2.3251,2.3535,2.3157,2.344,36129.642
2024-05-07,2.344,2.3535,2.3359,2.344,16519.612
2024-05-08,2.3346,2.3629,2.3251,2.3393,46984.722
2024-05-09,2.3535,2.3724,2.3442,2.3629,17266.56
2024-05-10,2.3629,2.38,2.3441,2.3544,21475.284
2024-05-13,2.3629,2.3629,2.3157,2.3251,74061.058
2024-05-14,2.3346,2.344,2.2968,2.3251,58589.924
2024-05-15,2.3157,2.3437,2.3157,2.3346,15027.832
2024-05-16,2.3346,2.344,2.3176,2.3268,52714.85
2024-05-17,2.3157,2.3348,2.3157,2.3299,76025.764
2024-05-20,2.3251,2.3535,2.3172,2.344,27336.604
2024-05-21,2.3346,2.3535,2.3251,2.344,24764.606
2024-05-22,2.3346,2.3818,2.3346,2.3355,59557.994
2024-05-23,2.3251,2.3251,2.3157,2.3201,49193.826
2024-05-24,2.3346,2.3818,2.3346,2.3629,153898.796
2024-05-28,2.3819,2.3913,2.344,2.3724,60152.59
2024-05-29,2.3819,2.3819,2.3219,2.3582,51249.52
2024-05-30,2.3819,2.3913,2.3536,2.3629,82504.956
2024-05-31,2.3819,2.4008,2.3629,2.3771,128479.288
2024-06-03,2.39,2.46,2.31,2.3285,155329
2024-06-04,2.31,2.37,2.31,2.315,63733
