date,open,high,low,close,volume
2024-03-01,29.53,29.62,29.11,29.52,107918
2024-03-04,29.33,29.98,29.33,29.7,94923
2024-03-05,29.69,29.95,29.15,29.37,77342
2024-03-06,29.5,29.6817,29.2,29.63,75450
2024-03-07,29.87,29.9799,29.57,29.7,53894
2024-03-08,29.84,30.2799,29.43,29.52,85275
2024-03-11,29.65,29.65,28.5,28.97,221778
2024-03-12,29,29,27.9,28.34,100178
2024-03-13,28.26,28.5699,28.12,28.29,77327
2024-03-14,28.25,28.26,27.32,27.94,89750
2024-03-15,27.9,28.3,27.64,27.93,122656
2024-03-18,27.88,28,27.2378,27.28,82777
2024-03-19,27.01,27.5,26.5884,27.47,100023
2024-03-20,27.35,30.07,27.32,29.6,395170
2024-03-21,29.85,30.1,29.2501,29.56,174064
2024-03-22,29.13,29.325,28.72,28.79,120583
2024-03-25,29.48,30.1014,29.4,29.74,193878
2024-03-26,29.99,30.2265,29.4,29.79,123159
2024-03-27,30,30.5752,29.85,30.15,224795
2024-03-28,32,33.34,28.42,29.31,650908
2024-04-01,29.53,29.53,25.9,26.64,632069
2024-04-02,26.26,27.16,25.4,26.21,244860
2024-04-03,26.17,26.99,26.06,26.52,154526
2024-04-04,26.67,26.9761,25.48,25.55,141228
2024-04-05,25.52,26.29,25.29,26.09,160121
2024-04-08,26.18,26.33,25.67,26.11,124643
2024-04-09,26.1,26.1,25.53,25.64,169967
2024-04-10,25.18,25.18,24.2,24.35,158807
2024-04-11,24.46,25.12,24.37,24.63,104417
2024-04-12,24.51,24.755,24.26,24.66,88492
2024-04-15,24.7,24.89,24.13,24.38,149578
2024-04-16,24.27,24.42,23.92,24.11,156235
2024-04-17,24.18,24.51,23.82,23.88,110510
2024-04-18,23.91,24.26,23.7,24.11,195306
2024-04-19,24.09,24.675,24.055,24.45,465942
2024-04-22,24.6,24.8,24.02,24.25,132470
2024-04-23,24.25,24.92,24.22,24.81,89327
2024-04-24,24.66,25.11,24.645,24.95,89644
2024-04-25,24.62,24.91,24.38,24.83,67097
2024-04-26,24.89,25.46,24.885,25.22,70696
2024-04-29,25.37,25.7,25.22,25.37,103216
2024-04-30,25.21,25.54,25,25.45,71947
2024-05-01,25.49,26.24,25.49,25.76,94409
2024-05-02,25.8,26.09,25.54,26.02,108540
2024-05-03,26.32,26.799,26.1101,26.26,84895
