date,open,high,low,close,volume
2024-03-01,1.13,1.19,1.12,1.16,4733
2024-03-04,1.11,1.19,1.11,1.19,3411
2024-03-05,1.15,1.2,1.138,1.2,13895
2024-03-06,1.17,1.1975,1.135,1.17,17475
2024-03-07,1.175,1.2,1.13,1.2,2414
2024-03-08,1.14,1.19,1.14,1.19,1896
2024-03-11,1.17,1.17,1.1201,1.13,13776
2024-03-12,1.13,1.16,1.1,1.11,18816
2024-03-13,1.1001,1.11,1.05,1.07,33399
2024-03-14,1.07,1.11,1.07,1.11,11340
2024-03-15,1.11,1.15,1.0738,1.15,2822
2024-03-18,1.13,1.145,1.1185,1.14,1977
2024-03-19,1.095,1.095,1.085,1.09,1829
2024-03-20,1.0901,1.0901,1.05,1.07,23037
2024-03-21,1.06,1.11,1.06,1.11,6373
2024-03-22,1.09,1.1,1.05,1.1,7415
2024-03-25,1.05,1.08,1.05,1.08,5022
2024-03-26,1.05,1.05,1.02,1.03,9390
2024-03-27,1.02,1.064,0.8662,0.9,98767
2024-03-28,0.874,1.03,0.874,1,60757
2024-04-01,0.99,1.04,0.93,1.03,22390
2024-04-02,0.96,1,0.96,0.96,1066
2024-04-03,0.98,1.01,0.877,0.88,61579
2024-04-04,0.98934,1.05,0.9482,0.99,29373
2024-04-05,1.01,1.01,0.95,0.96,2560
2024-04-08,0.98,0.98,0.87,0.87,51500
2024-04-09,0.98,1.04,0.87,0.8999,43310
2024-04-10,0.8994,0.903,0.77,0.87,70178
2024-04-11,0.8901,0.8999,0.85,0.8755,19008
2024-04-12,0.899451,0.95,0.8501,0.92,23733
2024-04-15,0.94,0.94,0.85,0.9,25358
2024-04-16,0.85,0.9,0.85,0.9,19093
2024-04-17,0.91,0.9499,0.8483,0.8483,18159
2024-04-18,0.85,0.9,0.85,0.89,4761
2024-04-19,0.903,0.903,0.85,0.8501,21122
2024-04-22,0.8502,0.869,0.8,0.825,51773
2024-04-23,0.801,0.855,0.795,0.82,24698
2024-04-24,0.82,0.85,0.771,0.819,93083
2024-04-25,0.82,0.84,0.79,0.79,31389
2024-04-26,0.791,0.81,0.7716,0.8,40903
2024-04-29,0.81,0.85,0.79,0.8,37614
2024-04-30,0.8104,0.8468,0.81,0.8399,81407
2024-05-01,0.821,0.85,0.821,0.85,10260
2024-05-02,0.85,0.85,0.8128,0.85,12980
2024-05-03,0.85,0.85,0.808,0.83,6846
2024-05-06,0.849,0.9,0.8,0.8452,49217
2024-05-07,0.791,0.88,0.79,0.871,46788
2024-05-08,0.8032,0.9,0.8,0.8568,50478
2024-05-09,0.827,0.9,0.827,0.8795,11790
2024-05-10,0.85,0.8795,0.7901,0.82,19621
2024-05-13,0.7825,0.83,0.76,0.8166,30366
2024-05-14,0.821,0.87,0.76,0.865,5433
2024-05-15,0.865,0.9,0.835,0.88,38049
2024-05-16,0.881,0.881,0.830101,0.88,4432
2024-05-17,0.894,0.94,0.844,0.9063,12494
2024-05-20,0.93,0.98,0.860001,0.98,26587
2024-05-21,0.98,0.98,0.9483,0.98,3874
2024-05-22,0.97,1,0.9,0.94,44855
2024-05-23,0.8957,1,0.8957,0.98,9914
2024-05-24,0.96,1.02,0.93,1.02,34240
2024-05-28,1.02,1.02,0.98,1.01,55898
2024-05-29,1.02,1.02,0.97,0.97,662
2024-05-30,1.02,1.02,0.99,1.02,4253
2024-05-31,1.02,1.02,0.99,1,5793
2024-06-03,0.98,1.02,0.98,1,2338
2024-06-04,1.02,1.02,0.98,1.02,7160
2024-06-05,1.02,1.02,0.982,1.02,1969
2024-06-06,1.01,1.04,0.98,1.03,12684
2024-06-07,0.99,1.01,0.95,0.96,15226
2024-06-10,0.97,0.97,0.95,0.95,4275
2024-06-11,0.95,0.97,0.93,0.96,7530
2024-06-12,0.959,0.96,0.915,0.96,24437
2024-06-13,0.95,0.95,0.9,0.92,8877
2024-06-14,0.9,0.9345,0.8575,0.86,88159
2024-06-17,0.8542,0.95,0.82,0.8741,80350
2024-06-18,0.8479,0.9557,0.8202,0.94,19862
2024-06-20,0.9,0.9,0.8601,0.9,8551
2024-06-21,0.9,0.93,0.88,0.93,8139
2024-06-24,0.88,0.9,0.862,0.9,4544
2024-06-25,0.9085,0.9286,0.8707,0.8958,9843
2024-06-26,0.9,0.92,0.8602,0.8965,35212
2024-06-27,0.890001,0.92,0.86,0.88,23158
2024-06-28,0.81,0.8601,0.81,0.841,8646
2024-07-01,0.8655,0.8899,0.83,0.86,12116
2024-07-02,0.861221,0.861221,0.8,0.8,36219
2024-07-03,0.8,0.853,0.8,0.853,2743
2024-07-05,0.801,0.847,0.7752,0.8281,35389
2024-07-08,0.82,0.8365,0.82,0.8365,1397
2024-07-09,0.82,0.84,0.77,0.77,23486
2024-07-10,0.76,0.845,0.76,0.81,15904
2024-07-11,0.771,0.848,0.73,0.78,34044
2024-07-12,0.79,0.819,0.79,0.8052,4206
2024-07-15,0.8045,0.81,0.77,0.77,20439
2024-07-16,0.771,0.79,0.771,0.7801,8975
2024-07-17,0.78,0.781,0.71,0.75,21446
2024-07-18,0.7599,0.79,0.74,0.74,14298
2024-07-19,0.7979,0.7979,0.7144,0.7144,5441
2024-07-22,0.73,0.79435,0.71,0.71,23800
2024-07-23,0.73,0.7959,0.73,0.7396,14760
2024-07-24,0.75,0.798,0.74,0.74,22981
2024-07-25,0.741,0.8,0.69,0.699999,33329
2024-07-26,0.700101,0.75,0.68,0.7082,24920
2024-07-29,0.695,0.7,0.65,0.65,59614
2024-07-30,0.651,0.665501,0.542,0.542,33424
2024-07-31,0.5626,0.5959,0.533,0.55,46085
2024-08-01,0.59,0.6,0.543,0.544,24369
2024-08-02,0.5401,0.598,0.54,0.56,19725
2024-08-05,0.512,0.594,0.5,0.55,70565
2024-08-06,0.5501,0.56,0.55,0.55,19042
2024-08-07,0.58,0.58,0.5476,0.5476,12219
2024-08-08,0.576,0.576,0.54,0.54,18816
2024-08-09,0.54,0.5565,0.52,0.52,5041
2024-08-12,0.546,0.56,0.53,0.545,54521
2024-08-13,0.57,0.5999,0.53,0.56,56075
2024-08-14,0.6,0.6,0.51,0.551,36421
2024-08-15,0.544,0.6199,0.544,0.615,52282
2024-08-16,0.615,0.6998,0.59,0.5901,294681
2024-08-19,0.6,0.68,0.6,0.6277,24509
2024-08-20,0.6696,0.6696,0.62,0.648,22758
2024-08-21,0.6827,0.6827,0.625,0.65,46166
2024-08-22,0.65,0.6501,0.6111,0.65,41715
2024-08-23,0.6525,0.6625,0.64,0.6625,21218
2024-08-26,0.645,0.6584,0.6111,0.6111,35687
2024-08-27,0.6997,0.7,0.6111,0.6295,24660
2024-08-28,0.6501,0.6884,0.6117,0.612,18703
2024-08-29,0.6111,0.647899,0.6111,0.616,8207
2024-08-30,0.65,0.7597,0.65,0.667,21152
2024-09-03,0.632,0.653,0.6312,0.6312,17857
2024-09-04,0.6312,0.6312,0.612,0.612,14275
2024-09-05,0.6131,0.6496,0.6112,0.6496,13986
2024-09-06,0.6485,0.6499,0.61,0.635,19835
2024-09-09,0.64,0.689,0.61,0.659,80650
2024-09-10,0.67,0.76,0.6012,0.63,67728
2024-09-11,0.7,0.7,0.612,0.6552,16249
2024-09-12,0.61,0.654,0.6051,0.61,29762
2024-09-13,0.639,0.639,0.61,0.6319,7560
2024-09-16,0.638,0.6598,0.611,0.612,281928
2024-09-17,0.61,0.6131,0.61,0.6113,7792
2024-09-18,0.6116,0.647,0.6112,0.647,21269
2024-09-19,0.62,0.643,0.6112,0.643,10868
2024-09-20,0.66,0.66,0.6138,0.6138,58751
2024-09-23,0.6954,0.7,0.61,0.637,47329
2024-09-24,0.6432,0.68765,0.6055,0.6055,23811
2024-09-25,0.6111,0.6418,0.6012,0.6012,12018
2024-09-26,0.639,0.6676,0.6001,0.638,55732
2024-09-27,0.62,0.6398,0.611,0.624,53675
2024-09-30,0.6699,0.6699,0.61,0.6243,147422
2024-10-01,0.6156,0.638,0.55,0.5916,43272
2024-10-02,0.612,0.76,0.5916,0.6,38266
2024-10-03,0.64,0.64,0.51,0.554,135240
2024-10-04,0.5474,0.61,0.5474,0.5999,8085
2024-10-07,0.57,0.61,0.57,0.61,688033
2024-10-08,0.5674,0.59,0.5301,0.54,194168
2024-10-09,0.55,0.6,0.55,0.5899,61529
2024-10-10,0.584,0.6433,0.5716,0.6199,52145
2024-10-11,0.6405,0.6799,0.6052,0.6755,54441
2024-10-14,0.668,0.668,0.6172,0.622,9645
